No,Namespace,Variable,Bramford Primary School - 139437,Thorns Primary School - 103787,St George and St Teresa Catholic Primary School - 104101,St George and St Teresa Catholic Primary School - 148088,Rushall Primary School - 104196,Field View Primary School - 141775,The Rowan School - 144374,The Old Park School - 103880,Holy Trinity Catholic Primary School - 104378,Dorridge Primary School - 104045,Greenfield Primary School - 104216,Milking Bank Primary School - 103834,Brierley Hill Primary School - 103776,Russells Hall Primary School - 103813,Christ Church CofE Primary School - 104220,Lodge Farm Primary School - 142765,St Giles Church of England Primary School - 104226,Goldsmith Primary Academy - 138591,Withymoor Primary School - 103809,Hurst Hill Primary School - 143537,St Francis Catholic Primary School - 104239,Barcroft Primary School - 135081,Manor Primary School - 141858,Castle School - 104269,Old Hall School - 104274,Phoenix Academy - 143382,Hob Green Primary School - 143196,Leamore Primary School - 104157,Woodsetton School - 103879,Sunshine Infant and Nursery School - 104145,Villiers Primary School - 145715,Roberts Primary School - 103821,Brockmoor Primary School - 103777,Rosedale Church of England C Infant School - 104225,Short Heath Junior School - 104188,Shustoke CofE Primary School - 125684,The King Alfred School - 148564,Rufford Primary School - 148685,Rufford Primary School - 103803,Castlefort Junior Mixed and Infant School - 104204,Blakenall Heath Junior School - 104144,St Mark's CofE Primary School - 103836,Arden - 136333,Thorns Collegiate Academy - 143818,Ormiston SWB Academy - 145008,Bow Street School - 142603,Willenhall E-ACT Academy - 137706,Beacon Hill Academy - 137705,Moseley Park - 138098,Ormiston Shelfield Community Academy - 135769,National state-funded primary,National state-funded secondary and 16 to 18,Description
61,CENSUS_21,PSENELK,10.3%,20.3%,13.4%,,21.0%,11.7%,0%,0%,26.8%,9.8%,14.5%,12.7%,11.8%,18.1%,12.9%,16.5%,14.0%,20.1%,12.0%,14.9%,9.9%,13.2%,9.1%,0.5%,0%,5.1%,14.2%,16.6%,0%,11.2%,22.6%,10.1%,18.9%,10.1%,19.7%,6.8%,,,18.5%,13.5%,20.9%,12.9%,9.0%,20.3%,24.1%,0%,14.6%,15.9%,22.6%,17.2%,,,Percentage of eligible pupils with SEN support
62,CENSUS_21,NUMEAL,11,21,2,,24,137,0,33,137,17,23,31,39,86,17,98,141,70,19,5,31,82,103,17,24,0,31,9,5,28,164,11,106,20,16,4,,,81,0,29,17,66,64,148,0,116,54,254,72,,,No.  pupils where English not first language
63,CENSUS_21,NUMENGFL,457,171,237,,233,308,0,118,117,670,260,427,198,329,370,272,288,377,396,290,171,379,569,170,79,39,230,220,103,178,481,660,338,228,218,202,,,108,237,205,308,1747,786,1012,0,708,989,771,1357,,,No. pupils with English first language
64,CENSUS_21,NUMUNCFL,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,17,0,0,2,2,1,0,,,No. pupils where first language is unclassified
65,CENSUS_21,PNUMEAL,2.4%,10.9%,0.8%,,9.3%,30.8%,0%,21.9%,53.9%,2.5%,8.1%,6.8%,16.5%,20.7%,4.4%,26.5%,32.9%,15.7%,4.6%,1.7%,15.3%,17.8%,15.3%,9.1%,23.3%,0%,11.9%,3.9%,4.6%,13.6%,25.4%,1.6%,23.9%,8.1%,6.8%,1.9%,,,42.9%,0%,12.3%,5.2%,3.6%,7.4%,12.8%,0%,14.0%,5.2%,24.8%,5.0%,,,%  pupils where English not first language
66,CENSUS_21,PNUMENGFL,97.6%,89.1%,99.2%,,90.7%,69.2%,0%,78.1%,46.1%,97.5%,91.9%,93.2%,83.5%,79.3%,95.6%,73.5%,67.1%,84.3%,95.4%,98.3%,84.7%,82.2%,84.7%,90.9%,76.7%,100%,88.1%,96.1%,95.4%,86.4%,74.6%,98.4%,76.1%,91.9%,93.2%,98.1%,,,57.1%,100%,87.2%,94.8%,96.4%,90.7%,87.2%,0%,85.7%,94.6%,75.1%,95.0%,,,% pupils with English first language
67,CENSUS_21,PNUMUNCFL,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,0.4%,0%,0%,2.0%,0%,0%,0.2%,0.2%,0.1%,0%,,,% pupils where first language is unclassified
68,CENSUS_21,NUMFSM,116,79,15,,81,225,0,71,73,34,102,45,105,126,153,158,131,272,52,60,56,170,167,99,49,23,103,112,44,100,175,140,163,90,84,26,,,68,74,152,126,134,199,498,0,336,279,382,482,,,No. pupils eligible for free school meals
69,CENSUS_21,NUMFSMEVER,120,84,16,,85,244,,65,80,41,106,48,110,135,172,167,142,253,57,67,62,184,173,101,52,27,110,115,45,100,184,160,172,91,99,27,,,72,86,162,137,148,258,566,,479,429,455,562,,,Number of pupils eligible for FSM at any time during the past 6 years
70,CENSUS_21,PNUMFSMEVER,25.6%,43.8%,6.7%,,33.1%,54.8%,,43.0%,31.5%,6.0%,37.5%,10.5%,46.4%,32.5%,44.4%,45.1%,33.1%,56.6%,13.7%,22.7%,30.7%,39.9%,25.7%,54.0%,50.5%,69.2%,42.1%,50.2%,41.7%,48.5%,28.5%,23.8%,38.7%,36.7%,42.3%,13.1%,,,38.1%,36.3%,68.9%,42.2%,8.2%,29.8%,48.8%,,58.0%,41.1%,44.3%,39.3%,,,Percentage of pupils eligible for FSM at any time during the past 6 years
71,CENSUS_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
72,SWF_19,LA,332,332,334,,335,336,,,336,334,335,332,332,332,335,335,335,335,332,332,335,335,336,,,,332,335,,335,336,332,332,335,335,937,,,332,335,335,332,334,332,336,,335,332,336,335,,,Local Authority Number
73,SWF_19,URN,139437,103787,104101,,104196,141775,,,104378,104045,104216,103834,103776,103813,104220,142765,104226,138591,103809,143537,104239,135081,141858,,,,143196,104157,,104145,145715,103821,103777,104225,104188,125684,,,103803,104204,104144,103836,136333,143818,145008,,137706,137705,138098,135769,,,Unique Reference Number
74,SWF_19,NTEA,18,11,13,,16,18,,,12,31,13,23,11,18,18,14,16,22,22,14,8,18,32,,,,14,10,,9,29,26,23,13,15,13,,,10,14,12,16,116,51,82,,50,79,77,98,"260,096","219,269",Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
75,SWF_19,NTEAAS,24,8,9,,25,21,,,14,30,16,14,15,26,24,10,16,19,21,14,7,21,18,,,,18,12,,14,17,31,20,12,16,9,,,14,15,10,16,32,7,36,,24,30,15,30,"274,954","57,981",Total Number of Teaching Assistants (Headcount)
76,SWF_19,NNONTEA,4,3,4,,5,3,,,3,13,6,3,3,5,6,5,4,6,4,7,5,4,10,,,,4,3,,4,9,11,4,2,3,2,,,3,2,5,3,32,10,29,,29,23,13,23,"91,158","84,503","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
77,SWF_19,NFTETEA,16.8,10.2,9.8,,15.4,18,,,10.9,28.1,12.4,22,10.1,15.8,15.6,12.7,15.4,22,18.1,12.4,8,16.9,30.4,,,,13.2,9,,8.2,27.4,25,19.4,9.2,13.3,11.8,,,9,12,12,14.6,106.3,50.8,79.4,,50,74,72.6,93.7,"231,728","203,686",Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
78,SWF_19,NFTETEAAS,18.2,6,3.3,,13.4,19.6,,,11.5,16.3,8.9,9.9,11.6,19.4,17.2,9.5,11.7,14.7,15.5,11.1,5.7,14,14.6,,,,14,8.6,,11.5,16,23.5,16.3,10,11.8,3.9,,,10.3,8.4,7.2,11.6,20.6,5.5,26.5,,23.1,28.5,14,26.5,"178,546","45,918",Total Number of Teaching Assistants (Full-time Equivalent)
79,SWF_19,NFTENONTEA,2.1,2.2,2.9,,3.9,2.5,,,2.7,7.8,3,1.6,2.7,3.9,4.1,4.4,3.2,6,2.9,5.2,2.5,3.2,9,,,,3.8,3,,3.8,7.8,7.5,3.9,2,2.4,0.9,,,2.9,2,4.5,2,23.7,9.5,27.2,,29,21.3,13,22.1,61494.7,"71,228","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
80,SWF_19,RATPUPTEA,27.2,19.4,24.4,,15.7,24.3,,,22.9,23.6,20.4,20.2,22.2,26.0,19.8,25.3,24.4,19.4,22.7,21.6,26.7,26.7,19.1,,,,19.1,24.3,,24.1,21.5,26.4,21.4,22.6,18.1,16.2,,,24.0,20.5,19.2,20.8,16.0,17.1,14.0,,15.9,14.9,13.5,14.7,20.7,16.3,Pupil:Teacher Ratio
81,SWF_19,SALARY,"£37,705","£40,387","£40,664",,"£43,613","£33,748",,,"£38,530","£38,249","£36,767","£39,572","£41,429","£41,820","£39,232","£32,675","£37,405","£34,012","£42,663","£38,293","£38,725","£36,739","£39,732",,,,"£41,295","£40,318",,"£41,549","£32,526","£40,484","£40,401","£36,798","£39,522","£36,757",,,"£42,185","£38,584","£38,998","£38,362","£38,854","£42,500","£40,875",,"£36,126","£37,079","£35,219","£39,749","£38,369","£40,571",Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
82,SWF_21,LA,332,332,334,,335,336,,332,336,334,335,332,332,332,335,335,335,335,332,332,335,335,336,335,335,335,332,335,332,335,336,332,332,335,335,937,,,332,335,335,332,334,332,336,,335,332,336,335,,,Local Authority Number
83,SWF_21,URN,139437,103787,104101,,104196,141775,,103880,104378,104045,104216,103834,103776,103813,104220,142765,104226,138591,103809,143537,104239,135081,141858,104269,104274,143382,143196,104157,103879,104145,145715,103821,103777,104225,104188,125684,,,103803,104204,104144,103836,136333,143818,145008,,137706,137705,138098,135769,,,Unique Reference Number
84,SWF_21,NTEA,17,8,16,,12,23,,18,13,32,13,21,9,20,19,16,18,21,23,12,8,24,37,22,14,10,15,10,10,10,31,25,20,16,14,12,,,12,12,13,15,126,56,90,,46,69,78,98,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
85,SWF_21,NTEAAS,19,7,9,,22,22,,96,15,31,18,22,15,26,25,11,16,23,21,13,5,17,21,34,38,15,16,10,32,15,15,31,21,20,13,10,,,14,15,12,19,27,9,42,,17,28,16,31,,,Total Number of Teaching Assistants (Headcount)
86,SWF_21,NNONTEA,4,3,4,,5,3,,9,3,15,5,6,4,4,7,5,6,8,5,9,2,4,16,5,3,6,5,3,4,4,12,12,5,4,2,1,,,3,2,4,4,35,12,21,,18,23,21,23,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
87,SWF_21,NFTETEA,15.4,6.5,10.5,,11.4,22.8,,17.4,11.0,28.1,12.4,18.3,8.5,17.6,16.6,15.2,17.0,21.0,18.4,10.9,8.0,23.1,34.8,22.0,14.0,9.6,13.1,9.5,10.0,9.1,29.0,24.0,17.4,10.7,12.0,9.6,,,10.2,10.6,13.0,13.2,115.3,54.1,85.8,,46.0,65.2,74.0,94.3,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
88,SWF_21,NFTETEAAS,14.8,6.0,3.4,,12.1,21.1,,68.1,11.5,17.8,10.5,13.9,11.9,19.3,19.3,10.1,12.2,18.8,14.8,10.3,4.3,12.3,16.0,27.7,31.1,13.0,12.0,7.7,27.0,11.9,13.4,22.9,17.9,15.2,9.2,6.4,,,10.1,9.0,8.8,13.3,18.9,7.9,33.4,,16.5,24.8,15.3,27.1,,,Total Number of Teaching Assistants (Full-time Equivalent)
89,SWF_21,NFTENONTEA,2.1,2.1,3.1,,3.8,2.8,,7.5,2.7,9.8,2.5,4.1,3.3,3.6,5.4,4.4,5.1,7.6,4.0,6.2,0.8,3.2,13.5,4.5,3.0,4.6,4.8,3.0,3.0,3.5,9.9,8.4,4.6,3.8,1.4,1.0,,,2.9,2.0,3.9,3.3,25.6,11.8,19.2,,18.0,22.1,20.2,21.8,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
90,SWF_21,RATPUPTEA,29.2,29.5,21.9,,22,18.6,,8.7,22.3,23.8,22.2,24.4,25.9,23.6,21.9,22.9,24.3,19.6,22.6,25.9,24.7,19,18.7,8.5,7.4,4.1,18.8,22.6,10.8,20.5,21.6,26.9,23.8,23.1,19.5,21.4,,,18.5,21.7,18.1,23.6,15.7,16,13.5,,18,16,13.9,15.2,,,Pupil:Teacher Ratio
91,SWF_21,SALARY,"£49,979","£41,611","£39,176",,"£46,659","£35,414",,"£46,770","£40,762","£42,054","£39,334","£40,524","£43,883","£42,003","£39,090","£34,842","£39,032","£37,027","£41,956","£42,126","£41,960","£36,810","£41,407","£40,345","£38,956","£37,901","£46,229","£38,187","£48,246","£43,302","£35,814","£45,106","£42,088","£39,855","£44,192","£40,355",,,"£42,925","£42,552","£42,474","£41,888","£41,305","£42,394","£43,259",,"£37,807","£42,920","£36,502","£43,029",,,Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
92,SWF_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
93,CFR_19,URN,,103787,104101,,104196,,,103880,104378,104045,104216,103834,103776,103813,104220,,104226,,103809,,104239,135081,,104269,104274,,,104157,103879,104145,,103821,103777,104225,,125684,,,103803,104204,104144,103836,,,,,,,,,,,Unique Reference Number
94,CFR_19,LONDON/NON-LONDON,,Non-London,Non-London,,Non-London,,,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,,Non-London,,Non-London,,Non-London,Non-London,,Non-London,Non-London,,,Non-London,Non-London,Non-London,,Non-London,Non-London,Non-London,,Non-London,,,Non-London,Non-London,Non-London,Non-London,,,,,,,,,,,London/Non-London
95,CFR_19,MEDIAN,,Primary,Primary,,Primary,,,Special,Primary,Primary,Primary,Primary,Primary,Primary,Primary,,Primary,,Primary,,Primary,Primary,,Special,Special,,,Primary,Special,Primary,,Primary,Primary,Primary,,Primary,,,Primary,Primary,Primary,Primary,,,,,,,,,Primary,Secondary with KS4,Group to compare
96,CFR_19,PUPILS,,198 ,238 ,,243 ,,,151 ,250 ,663 ,254 ,445 ,223 ,411 ,309 ,,375 ,,411 ,,214 ,452 ,,158 ,108 ,,,219 ,108 ,198 ,,661 ,415 ,514 ,,190 ,,,215 ,246 ,230 ,304 ,,,,,,,,,,,Number of pupils (FTE)
97,CFR_19,FSM,,23,2,,25,,,38,17,2,27,5,37,20,30,,23,,8,,19,28,,54,45,,,38,39,43,,14,24,18,,5,,,26,21,60,26,,,,,,,,,,,Percentage of pupils eligible for Free School Meals (FSM)
98,CFR_19,FSMBAND,,Medium,Low,,Medium,,,High,Low,Low,Medium,Low,High,Low,Medium,,Medium,,Low,,Low,Medium,,High,High,,,High,High,High,,Low,Medium,Low,,Low,,,Medium,Medium,High,Medium,,,,,,,,,,,Free school meals eligibility band
99,CFR_19,GRANTFUNDING,,"5,118","3,848",,"6,076",,,"22,759","5,249","3,806","5,117","4,278","5,546","4,915","5,638",,"5,097",,"4,518",,"4,893","5,134",,"16,467","24,280",,,"5,849","16,042","6,418",,"4,541","5,129","5,270",,"3,992",,,"5,399","5,079","6,407","5,385",,,,,,,,,"4,848","5,724",Grant funding (&pound; per pupil)
100,CFR_19,SELFGENERATEDINCOME,,80,921,,"1,397",,,572,24,980,83,216,90,92,73,,36,,127,,0,87,,69,247,,,23,310,279,,243,198,188,,313,,,92,231,5,152,,,,,,,,,188,173,Self generated income (&pound; per pupil)
101,CFR_19,TOTALINCOME,,"5,197","4,770",,"7,473",,,"23,331","5,273","4,786","5,200","4,494","5,636","5,006","5,710",,"5,133",,"4,645",,"4,894","5,221",,"16,536","24,527",,,"5,872","16,352","6,697",,"4,784","5,327","5,458",,"4,305",,,"5,492","5,311","6,412","5,537",,,,,,,,,"5,081","5,928",Total income (&pound; per pupil)
102,CFR_19,TEACHINGSTAFF,,"2,600","2,169",,"2,850",,,"6,778","2,228","1,913","2,221","2,213","2,194","2,283","2,264",,"1,992",,"2,127",,"2,105","2,221",,"6,606","5,471",,,"1,934","5,312","2,157",,"2,017","2,436","2,397",,"2,249",,,"2,113","2,208","2,680","2,332",,,,,,,,,"2,284","3,222",Teaching staff (&pound; per pupil)
103,CFR_19,SUPPLYTEACHERS,,236,96,,111,,,245,141,13,116,70,-4,202,60,,117,,176,,507,228,,235,731,,,514,245,355,,140,24,24,,-47,,,170,278,216,-2,,,,,,,,,105,109,Supply Staff (&pound; per pupil)
104,CFR_19,EDUCATIONSUPPORTSTAFF,,676,467,,"1,698",,,"9,718","1,237",711,976,680,"1,369","1,211","1,363",,889,,972,,730,802,,"4,462","10,140",,,"1,152","5,504","1,506",,"1,046","1,070","1,523",,510,,,"1,296","1,054","1,167","1,048",,,,,,,,,889,594,Education support staff (&pound; per pupil)
105,CFR_19,PREMISES,,335,324,,469,,,"1,050",377,250,478,243,424,239,281,,472,,252,,371,268,,"1,327","1,618",,,473,766,662,,217,249,335,,188,,,398,509,677,272,,,,,,,,,309,356,Premises (incl. Staff costs) (&pound; per pupil)
106,CFR_19,BACKOFFICE,,534,343,,639,,,"1,549",508,311,281,335,456,312,397,,301,,437,,322,336,,916,"1,229",,,453,"1,406",749,,386,540,393,,662,,,475,342,617,906,,,,,,,,,413,565,Back office (incl. Staff costs) (&pound; per pupil)
107,CFR_19,CATERING,,200,162,,210,,,464,168,179,238,125,230,161,238,,211,,139,,221,221,,324,389,,,227,316,371,,155,131,153,,-1,,,220,277,356,198,,,,,,,,,190,51,Catering (incl. Staff costs) (&pound; per pupil)
108,CFR_19,OTHERSTAFF,,161,372,,355,,,"1,161",167,416,318,154,198,100,320,,345,,118,,326,460,,795,"1,719",,,529,734,366,,126,109,310,,136,,,185,250,379,144,,,,,,,,,186,104,Other staff costs (&pound; per pupil)
109,CFR_19,ENERGY,,73,73,,16,,,326,52,60,68,74,84,38,40,,51,,57,,52,72,,117,177,,,104,123,94,,58,76,64,,58,,,74,65,79,52,,,,,,,,,62,96,Energy (&pound; per pupil)
110,CFR_19,LEARNINGRESOURCES,,83,293,,256,,,297,85,189,175,230,248,171,232,,245,,178,,127,221,,761,635,,,321,261,153,,134,164,143,,219,,,238,284,289,120,,,,,,,,,205,220,Learning resources (not ICT equipment) (&pound; per pupil)
111,CFR_19,ICT,,93,139,,214,,,142,27,106,75,128,116,171,28,,73,,117,,23,110,,395,520,,,40,129,52,,132,133,48,,22,,,124,55,73,122,,,,,,,,,51,69,ICT learning resources (&pound; per pupil)
112,CFR_19,BOUGHTINPROFESSIONALSERVICES,,122,140,,12,,,"1,629",155,103,99,71,113,78,128,,228,,65,,76,147,,122,675,,,124,219,110,,75,64,65,,92,,,168,87,151,112,,,,,,,,,93,67,Bought in professional services - curriculum (&pound; per pupil)
113,CFR_19,OTHER,,116,161,,292,,,159,34,235,86,126,113,97,140,,58,,117,,-52,149,,61,28,,,85,112,68,,118,126,59,,110,,,132,15,78,106,,,,,,,,,100,213,Other expenditure (&pound; per pupil)
114,CFR_19,TOTALEXPENDITURE,,"5,230","4,741",,"7,121",,,"23,518","5,181","4,487","5,131","4,448","5,539","5,065","5,490",,"4,982",,"4,755",,"4,810","5,235",,"16,120","23,333",,,"5,956","15,126","6,644",,"4,605","5,121","5,514",,"4,198",,,"5,593","5,425","6,761","5,411",,,,,,,,,"5,034","5,891",Total expenditure (&pound; per pupil)
115,CFR_19,T1415CAT1,,SUPP,"2,325",,"3,995",,,"14,418","3,345","1,792",SUPP,"2,662",SUPP,"3,113","3,397",,"2,709",,"2,541",,"2,829",SUPP,,"12,775","21,143",,,"2,779","10,469","3,926",,"2,560",SUPP,"3,810",,SUPP,,,"3,485",SUPP,"3,521","3,266",,,,,,,,,"2,927","3,825",
116,CFR_19,T1415CAT2,,247,95,,129,,,274,50,18,110,99,158,146,216,,213,,215,,270,175,,869,152,,,726,23,100,,183,121,84,,135,,,241,70,180,162,,,,,,,,,133,124,
117,CFR_19,T1415CAT3,,419,466,,433,,,"1,955",421,228,283,248,442,298,461,,267,,277,,361,183,,"1,180","1,696",,,453,"1,460",691,,297,546,485,,567,,,529,315,586,416,,,,,,,,,366,544,
118,CFR_19,T1415CAT4,,SUPP,67,,115,,,351,58,51,66,65,SUPP,45,55,,49,,68,,68,SUPP,,154,334,,,86,128,93,,46,SUPP,84,,58,,,79,SUPP,85,50,,,,,,,,,61,99,
119,CFR_19,T1415CAT5,,"4,903","4,369",,"5,734",,,"22,698","5,047","2,915","4,860","4,371","5,781","4,402","5,531",,"4,988",,"4,129",,"5,196","4,291",,"19,505","29,113",,,"5,800","15,267","6,775",,"4,059","5,010","5,833",,"3,913",,,"5,754","4,706","5,838","5,008",,,,,,,,,"4,645","5,944",
120,CFR_19,T1415SUM,,4237,1416,,1062,,,5700,1173,826,4401,1297,5181,800,1402,,1750,,1028,,1668,3933,,4527,5788,,,1756,3187,1965,,973,4343,1370,,3153,,,1420,4321,1466,1114,,,,,,,,,,,
121,CFR_19,T1415CAT1LA,,"3,049","2,645",,"2,956",,,"12,480","2,990","2,645","2,956","2,783","3,462","3,049","3,054",,"3,054",,"2,783",,"2,956","3,054",,"20,448","20,448",,,"3,054","10,469","3,263",,"2,783","3,049","2,956",,"2,697",,,"3,462","3,054","3,263","3,462",,,,,,,,,,,
122,CFR_19,T1415CAT2LA,,126,120,,133,,,407,135,120,133,131,158,126,194,,194,,131,,133,194,,829,829,,,194,"1,237",172,,131,126,133,,126,,,158,194,172,158,,,,,,,,,,,
123,CFR_19,T1415CAT3LA,,313,319,,349,,,"1,301",411,319,349,311,337,313,472,,472,,311,,349,472,,"2,702","2,702",,,472,"1,061",444,,311,313,349,,250,,,337,472,444,337,,,,,,,,,,,
124,CFR_19,T1415CAT4LA,,68,58,,57,,,254,64,58,57,61,82,68,66,,66,,61,,57,66,,388,388,,,66,128,97,,61,68,57,,59,,,82,66,97,82,,,,,,,,,,,
125,CFR_19,T1415CAT5LA,,"4,852","4,259",,"4,517",,,"19,385","4,899","4,259","4,517","4,322","5,754","4,852","5,232",,"5,232",,"4,322",,"4,517","5,232",,"27,973","27,973",,,"5,232","15,267","5,548",,"4,322","4,852","4,517",,"4,197",,,"5,754","5,232","5,548","5,754",,,,,,,,,,,
126,CFR_19,T1516CAT1,,"2,975","2,296",,"4,130",,,"15,549","3,612","2,366","3,181","2,732","3,290","3,329","3,425",,"2,903",,"2,724",,"3,141","2,755",,"12,749","18,942",,,"2,695","10,127","3,866",,"2,732","3,186","6,347",,"2,511",,,"3,628","3,188","3,267","3,198",,,,,,,,,"2,976","3,857",
127,CFR_19,T1516CAT2,,289,107,,23,,,466,44,53,140,94,90,79,220,,175,,123,,90,258,,655,374,,,775,308,75,,96,53,98,,117,,,141,84,142,189,,,,,,,,,126,122,
128,CFR_19,T1516CAT3,,462,434,,469,,,"1,454",430,259,276,263,447,341,370,,277,,303,,331,225,,"1,192","1,363",,,349,"1,223",636,,345,615,652,,320,,,469,377,512,405,,,,,,,,,377,545,
129,CFR_19,T1516CAT4,,75,58,,117,,,337,56,56,97,72,109,40,61,,52,,88,,40,67,,116,336,,,85,118,87,,64,88,125,,61,,,76,41,131,51,,,,,,,,,58,97,
130,CFR_19,T1516CAT5,,"4,970","4,343",,"6,138",,,"23,622","5,273","3,932","5,471","4,349","5,630","4,747","5,903",,"5,166",,"4,343",,"4,877","5,919",,"20,567","26,863",,,"5,844","14,299","6,291",,"4,135","5,121","10,132",,"4,015",,,"5,796","4,937","6,064","5,144",,,,,,,,,"4,777","6,013",
131,CFR_19,T1516SUM,,1169,1448,,1399,,,5816,1131,1198,1777,1188,1694,958,1827,,1759,,1105,,1275,2614,,5855,5848,,,1940,2523,1627,,898,1179,2910,,1006,,,1482,1247,2012,1301,,,,,,,,,,,
132,CFR_19,T1516CAT1LA,,"2,850","2,638",,"2,961",,,"12,838","2,802","2,638","2,961","2,850","3,251","3,251","3,104",,"3,104",,"2,850",,"2,961","3,104",,"18,187","18,187",,,"3,104","12,838","3,103",,"2,850","3,251","2,961",,"2,778",,,"3,251","3,104","3,103","3,251",,,,,,,,,,,
133,CFR_19,T1516CAT2LA,,118,92,,103,,,424,125,92,103,118,154,154,156,,156,,118,,103,156,,729,729,,,156,424,154,,118,154,103,,114,,,154,156,154,154,,,,,,,,,,,
134,CFR_19,T1516CAT3LA,,356,337,,317,,,"1,339",340,337,317,356,405,405,359,,359,,356,,317,359,,"1,360","1,360",,,359,"1,339",381,,356,405,317,,320,,,405,359,381,405,,,,,,,,,,,
135,CFR_19,T1516CAT4LA,,64,58,,63,,,242,57,58,63,64,66,66,60,,60,,64,,63,60,,283,283,,,60,242,74,,64,66,63,,56,,,66,60,74,66,,,,,,,,,,,
136,CFR_19,T1516CAT5LA,,"4,501","4,343",,"4,627",,,"19,373","4,404","4,343","4,627","4,501","5,121","5,121","5,185",,"5,185",,"4,501",,"4,627","5,185",,"26,656","26,656",,,"5,185","19,373","5,562",,"4,501","5,121","4,627",,"4,347",,,"5,121","5,185","5,562","5,121",,,,,,,,,,,
137,CFR_19,T1617CAT1,,3058,2254,,3957,,,16166,3233,2323,2855,2569,3066,3598,3477,,2652,,3047,,2937,2614,,13029,19662,,,2817,11690,3503,,2661,3152,3070,,2713,,,3121,2944,3547,3391,,,,,,,,,"3,042","3,919",
138,CFR_19,T1617CAT2,,272,84,,105,,,605,86,67,148,116,105,107,195,,224,,111,,177,335,,544,422,,,263,-196,50,,146,50,35,,101,,,269,161,396,73,,,,,,,,,117,119,
139,CFR_19,T1617CAT3,,491,450,,414,,,1533,357,251,257,231,411,296,367,,292,,321,,336,246,,1201,1439,,,415,1597,594,,339,495,301,,298,,,388,304,488,467,,,,,,,,,384,545,
140,CFR_19,T1617CAT4,,59,57,,0,,,307,38,46,57,56,68,37,43,,52,,52,,49,69,,171,135,,,76,116,78,,52,61,44,,58,,,56,48,111,46,,,,,,,,,55,94,
141,CFR_19,T1617CAT5,,5114,4358,,5419,,,24064,4621,3931,4610,4028,5001,4918,5348,,4780,,4546,,4661,4938,,19292,28878,,,5032,16033,5524,,4030,4609,4593,,4293,,,5249,4818,6310,5020,,,,,,,,,"4,814","6,017",
142,CFR_19,T1617SUM,,1234,1513,,943,,,5453,907,1244,1293,1056,1351,880,1266,,1560,,1015,,1162,1674,,4347,7220,,,1461,2826,1299,,832,851,1143,,1123,,,1415,1361,1768,1043,,,,,,,,,,,
143,CFR_19,T1617CAT1LA,,"2,914","2,616",,"2,814",,,"13,935","2,700","2,616","2,814","2,914","3,283","3,283","3,133",,"3,133",,"2,914",,"2,814","3,133",,"17,111","17,111",,,"3,133","13,935","3,149",,"2,914","3,283","2,814",,"2,812",,,"3,283","3,133","3,149","3,283",,,,,,,,,,,
144,CFR_19,T1617CAT2LA,,98,92,,95,,,484,107,92,95,98,102,102,163,,163,,98,,95,163,,544,544,,,163,484,112,,98,102,95,,112,,,102,163,112,102,,,,,,,,,,,
145,CFR_19,T1617CAT3LA,,5183,4267,,5662,,,23533,4762,4140,4368,4125,4966,5033,5341,,4814,,4433,,4680,4917,,19273,27685,,,5139,16382,5366,,4158,4808,4646,,4307,,,5167,4675,6183,4868,,,,,,,,,,,
146,CFR_19,T1617CAT4LA,,622,377,,1423,,,9072,1118,641,1041,487,1035,1142,1355,,972,,745,,715,753,,5116,10992,,,1069,5384,1410,,897,822,1074,,528,,,1033,947,1048,988,,,,,,,,,,,
147,CFR_19,T1617CAT5LA,,59,57,,0,,,307,38,46,57,56,68,37,43,,52,,52,,49,69,,171,135,,,76,116,78,,52,61,44,,58,,,56,48,111,46,,,,,,,,,,,
