No,Namespace,Variable,Coleshill Heath School - 104070,Park Hall Infant Academy - 136303,Eversfield Preparatory School - 104122,Turves Green Primary School - 144390,The Westminster School - 132233,Holy Cross Catholic Primary School - 140525,The Meadows Primary School - 103296,Our Lady of the Wayside Catholic Primary School - 104098,Our Lady of the Wayside Catholic Primary School - 148085,Oakham Primary School - 103950,Manor Way Primary Academy - 142355,"St Anne's Catholic Primary School, Streetly - 104241",Ruckleigh School - 104127,Coppice Junior School - 104041,Hollyfield Primary School - 131672,Water Orton Primary School - 125620,St John Fisher Catholic Primary School - 103452,St John Fisher Catholic Primary School - 148266,Blackwood School - 148364,Blackwood School - 104211,Cranmore Infant School - 104042,Tenterfields Primary Academy - 143195,Tividale Community Primary School - 133261,Manor Primary School - 104210,Park Hill Primary School - 103910,Mesty Croft Primary - 137972,Widney Junior School - 104054,Tudor Grange Primary Academy Yew Tree - 147364,Yew Tree Primary School - 104058,Dickens Heath Community Primary School - 133720,St Augustine's Catholic Primary School - 148087,St Augustine's Catholic Primary School - 104100,St Joseph's Catholic Primary School - 140528,Brickhouse Primary School - 103936,Springfield Primary School - 132140,Woodrush High School - 136924,Turves Green Boys' School - 103500,Turves Green Boys' School - 148521,Bishop Vesey's Grammar School - 137988,Alderbrook School - 136994,New Ways School - 145417,Fairfax - 136908,John Willmott School - 144721,John Willmott School - 103522,Joseph Leckie Academy - 137830,"Tudor Grange Academy, Solihull - 136310",St Peter's Catholic School - 148094,St Peter's Catholic School - 104119,Solihull College & University Centre - 130481,Halesowen College - 130476,National state-funded primary,National state-funded secondary and 16 to 18,Description
65,CENSUS_21,PNUMEAL,1.5%,67.1%,0%,10.2%,16.2%,8.6%,5.5%,2.0%,,13.1%,6.8%,3.8%,0%,18.1%,6.5%,0%,8.1%,,,12.1%,26.9%,6.4%,46.5%,15.4%,7.1%,10.8%,19.2%,37.4%,,14.8%,,12.1%,14.6%,7.5%,5.2%,1.3%,8.1%,,18.9%,7.2%,0%,5.2%,14.4%,,69.4%,8.8%,,5.2%,,,,,%  pupils where English not first language
66,CENSUS_21,PNUMENGFL,98.5%,32.0%,0%,89.8%,83.8%,91.4%,94.5%,98.0%,,86.9%,93.2%,96.2%,0%,81.9%,93.5%,99.4%,91.9%,,,86.4%,72.6%,93.6%,53.5%,84.6%,92.9%,89.2%,80.8%,62.6%,,85.2%,,87.9%,85.2%,92.5%,94.6%,98.7%,91.6%,,80.2%,92.8%,0%,94.6%,85.6%,,30.6%,91.2%,,93.2%,,,,,% pupils with English first language
67,CENSUS_21,PNUMUNCFL,0%,0.9%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0.6%,0%,,,1.6%,0.5%,0%,0%,0%,0%,0%,0%,0%,,0%,,0%,0.2%,0%,0.2%,0%,0.3%,,0.9%,0%,0%,0.2%,0%,,0%,0%,,1.6%,,,,,% pupils where first language is unclassified
68,CENSUS_21,NUMFSM,274,22,0,187,95,17,254,55,,68,24,14,0,66,123,31,42,,,38,22,26,63,24,49,98,36,51,,60,,19,25,73,136,120,210,,82,181,0,223,347,,504,84,,122,,,,,No. pupils eligible for free school meals
69,CENSUS_21,NUMFSMEVER,288,24,,201,70,20,302,57,,83,27,15,,72,131,36,53,,,47,22,32,79,24,54,114,41,51,,63,,21,30,81,146,187,303,,97,233,,247,405,,623,109,,158,,,,,Number of pupils eligible for FSM at any time during the past 6 years
70,CENSUS_21,PNUMFSMEVER,55.4%,7.5%,,53.7%,31.5%,9.6%,47.7%,12.7%,,17.5%,13.2%,6.4%,,35.3%,31.3%,11.7%,25.2%,,,6.7%,10.6%,14.7%,17.2%,6.4%,21.3%,25.2%,16.1%,18.1%,,14.1%,,9.4%,7.3%,38.0%,31.7%,18.8%,50.0%,,7.5%,15.6%,,15.7%,43.3%,,43.7%,6.6%,,12.4%,,,,,Percentage of pupils eligible for FSM at any time during the past 6 years
71,CENSUS_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
72,SWF_19,LA,334,335,,330,,330,330,334,,333,332,335,,334,330,937,330,,,335,334,332,333,335,333,333,334,,334,334,,334,330,333,333,885,330,,330,334,,330,,330,335,334,,334,,,,,Local Authority Number
73,SWF_19,URN,104070,136303,,144390,,140525,103296,104098,,103950,142355,104241,,104041,131672,125620,103452,,,104211,104042,143195,133261,104210,103910,137972,104054,,104058,133720,,104100,140528,103936,132140,136924,103500,,137988,136994,,136908,,103522,137830,136310,,104119,,,,,Unique Reference Number
74,SWF_19,NTEA,28,15,,19,,10,33,23,,21,11,13,,13,26,16,13,,,32,10,14,20,10,12,19,13,,14,29,,11,15,14,20,82,43,,62,109,,96,,57,91,104,,95,,,"260,096","219,269",Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
75,SWF_19,NTEAAS,19,25,,16,,7,28,27,,29,11,10,,5,12,31,7,,,32,8,12,29,8,10,23,10,,24,33,,11,15,17,29,28,7,,6,19,,22,,11,58,12,,10,,,"274,954","57,981",Total Number of Teaching Assistants (Headcount)
76,SWF_19,NNONTEA,9,6,,3,,2,7,8,,11,3,5,,5,5,4,3,,,9,4,4,5,2,7,3,5,,8,7,,4,2,8,4,24,27,,26,41,,33,,37,32,31,,23,,,"91,158","84,503","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
77,SWF_19,NFTETEA,25.1,12.9,,17.1,,9.6,30,19.3,,19.3,9.8,11.4,,11.3,20.8,13.5,10.4,,,26.8,8.9,11.7,18.4,10,11.8,18.4,11.4,,11.8,21.4,,9.8,15,9.2,17.9,69.5,39.7,,56.8,101,,88.9,,55.8,87.4,102.2,,88.1,,,"231,728","203,686",Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
78,SWF_19,NFTETEAAS,17.5,15.2,,11.2,,5.3,22.7,11,,18.7,7.7,6.8,,3.7,9.1,13.3,6,,,18.3,5.7,9.4,15.9,5.9,7.8,17.3,5,,10.5,20.2,,6.5,11.6,11.8,18,17,6.9,,4.5,12.9,,18.8,,8.5,38.1,10.9,,7.7,,,"178,546","45,918",Total Number of Teaching Assistants (Full-time Equivalent)
79,SWF_19,NFTENONTEA,8.4,3.2,,3,,2,5.6,3.7,,8.2,2.9,2.9,,3.4,4.3,2.6,2.8,,,7.1,3,3.4,3.7,1.3,5.4,3,3.2,,6.8,3.7,,2.7,2,4.7,3.6,21.1,21.4,,21.6,35.7,,31.2,,33,26.5,27.7,,21,,,61494.7,"71,228","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
80,SWF_19,RATPUPTEA,19.5,24.2,,22.7,,21.9,20.4,23.1,,23.4,20.7,20.1,,18.8,20.0,23.8,19.9,,,25.8,22.2,20.3,24.7,33.8,20.4,23.9,22.4,,21.5,20.3,,22.6,23.9,23.3,24.8,14.4,16.3,,20.5,14.6,,16.5,,17.4,15.6,15.2,,14.6,,,20.7,16.3,Pupil:Teacher Ratio
81,SWF_19,SALARY,"£36,625","£41,163",,"£35,727",,"£38,883","£40,576","£40,130",,"£38,462","£40,968","£37,355",,"£36,597","£41,135","£40,510","£38,450",,,"£38,324","£41,185","£37,474","£41,064","£37,134","£35,834","£36,523","£36,206",,"£38,527","£38,313",,"£39,995","£38,007","£38,449","£36,504","£37,263","£40,862",,"£41,043","£37,694",,"£41,483",,"£38,679","£39,156","£37,444",,"£37,109",,,"£38,369","£40,571",Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
82,SWF_21,LA,334,335,,330,333,330,330,334,,333,332,335,,334,330,937,330,,,335,334,332,333,335,333,333,334,334,,334,,334,330,333,333,885,330,,330,334,,330,330,,335,334,,334,,,,,Local Authority Number
83,SWF_21,URN,104070,136303,,144390,132233,140525,103296,104098,,103950,142355,104241,,104041,131672,125620,103452,,,104211,104042,143195,133261,104210,103910,137972,104054,147364,,133720,,104100,140528,103936,132140,136924,103500,,137988,136994,,136908,144721,,137830,136310,,104119,,,,,Unique Reference Number
84,SWF_21,NTEA,28,15,,21,31,10,33,22,,19,9,14,,13,26,16,11,,,27,10,13,23,14,11,20,16,14,,29,,13,19,13,21,71,35,,70,107,,94,60,,90,115,,94,,,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
85,SWF_21,NTEAAS,20,25,,13,49,6,25,29,,38,11,12,,5,12,29,6,,,37,7,9,23,8,16,29,12,23,,38,,6,13,14,23,22,8,,5,22,,20,12,,53,14,,14,,,,,Total Number of Teaching Assistants (Headcount)
86,SWF_21,NNONTEA,8,5,,4,11,5,8,11,,8,3,4,,6,4,4,3,,,12,4,3,4,5,3,3,5,4,,5,,5,2,6,5,35,27,,25,42,,40,28,,35,32,,24,,,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
87,SWF_21,NFTETEA,25.0,13.3,,18.9,29.2,10.0,29.2,18.3,,18.2,8.6,11.3,,10.6,20.4,13.3,9.8,,,23.6,9.5,9.7,20.1,14.0,10.6,18.6,14.4,11.8,,22.3,,10.7,17.8,9.3,19.2,64.0,32.8,,66.6,99.0,,87.3,57.6,,86.6,108.7,,87.9,,,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
88,SWF_21,NFTETEAAS,18.3,14.2,,9.1,43.8,5.0,20.4,13.3,,22.5,6.8,9.3,,4.0,9.9,13.1,5.2,,,21.9,4.3,7.4,14.6,6.6,12.3,20.0,6.6,12.8,,23.6,,3.5,10.3,11.1,13.7,13.2,7.8,,4.4,16.4,,16.7,9.6,,37.2,11.7,,10.3,,,,,Total Number of Teaching Assistants (Full-time Equivalent)
89,SWF_21,NFTENONTEA,7.8,2.7,,3.1,10.3,1.7,6.3,6.7,,6.2,2.9,2.4,,3.9,3.6,2.6,2.8,,,7.8,3.0,2.5,3.3,2.4,2.3,3.0,3.2,2.6,,4.2,,3.0,1.4,4.2,4.5,26.9,21.8,,20.5,37.4,,36.1,25.2,,29.4,29.2,,21.2,,,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
90,SWF_21,RATPUPTEA,19.9,23.3,,19.8,7.6,20.9,21.7,24.6,,25,23.9,20.7,,19.2,20.5,23.2,21.4,,,29.4,20.3,22.1,21.9,26.2,22.5,23.3,17.7,22.7,,19.6,,20.3,23.1,22.3,22.8,15.6,18.5,,19.4,15.1,,18,16.2,,16.5,15.1,,14.5,,,,,Pupil:Teacher Ratio
91,SWF_21,SALARY,"£40,223","£43,859",,"£41,298","£41,718","£43,223","£43,216","£42,336",,"£35,561","£40,995","£37,796",,"£39,261","£42,762","£41,673","£37,378",,,"£41,303","£41,626","£40,333","£43,413","£38,316","£39,032","£36,953","£37,770","£43,495",,"£41,482",,"£42,067","£42,024","£43,806","£37,219","£41,453","£43,429",,"£42,931","£40,430",,"£45,672","£39,675",,"£40,532","£41,678",,"£40,383",,,,,Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
92,SWF_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
93,CFR_19,URN,104070,,,,132233,,103296,104098,,103950,,104241,,104041,131672,125620,103452,,,104211,104042,,133261,104210,103910,,104054,,104058,133720,,104100,,103936,132140,,103500,,,,,,,103522,,,,104119,,,,,Unique Reference Number
94,CFR_19,LONDON/NON-LONDON,Non-London,,,,Non-London,,Non-London,Non-London,,Non-London,,Non-London,,Non-London,Non-London,Non-London,Non-London,,,Non-London,Non-London,,Non-London,Non-London,Non-London,,Non-London,,Non-London,Non-London,,Non-London,,Non-London,Non-London,,Non-London,,,,,,,Non-London,,,,Non-London,,,,,London/Non-London
95,CFR_19,MEDIAN,Primary,,,,Special,,Primary,Primary,,Primary,,Primary,,Primary,Primary,Primary,Primary,,,Primary,Primary,,Primary,Primary,Primary,,Primary,,Primary,Primary,,Primary,,Primary,Primary,,Secondary with KS4,,,,,,,Secondary with KS4,,,,Secondary with KS4,,,Primary,Secondary with KS4,Group to compare
96,CFR_19,PUPILS,490 ,,,,198 ,,611 ,445 ,,452 ,,229 ,,213 ,417 ,322 ,207 ,,,691 ,197 ,,456 ,338 ,241 ,,255 ,,254 ,435 ,,222 ,,215 ,445 ,,649 ,,,,,,,973 ,,,,"1,285 ",,,,,Number of pupils (FTE)
97,CFR_19,FSM,41,,,,40,,33,7,,11,,2,,14,25,6,11,,,3,5,,11,2,11,,12,,17,8,,5,,31,23,,31,,,,,,,24,,,,7,,,,,Percentage of pupils eligible for Free School Meals (FSM)
98,CFR_19,FSMBAND,High,,,,High,,Medium,Low,,Low,,Low,,Low,Medium,Low,Low,,,Low,Low,,Low,Low,Low,,Low,,Low,Low,,Low,,Medium,Medium,,Medium,,,,,,,Medium,,,,Low,,,,,Free school meals eligibility band
99,CFR_19,GRANTFUNDING,"5,909",,,,"23,468",,"5,158","3,784",,"4,875",,"4,436",,"4,675","4,711","4,560","4,892",,,"3,814","5,156",,"4,886","3,739","5,003",,"4,479",,"5,278","4,453",,"4,155",,"5,678","5,048",,"6,091",,,,,,,"5,874",,,,"4,615",,,"4,848","5,724",Grant funding (&pound; per pupil)
100,CFR_19,SELFGENERATEDINCOME,879,,,,327,,89,309,,278,,200,,473,271,194,177,,,123,995,,65,72,106,,307,,496,729,,282,,52,142,,747,,,,,,,240,,,,304,,,188,173,Self generated income (&pound; per pupil)
101,CFR_19,TOTALINCOME,"6,787",,,,"23,794",,"5,247","4,092",,"5,153",,"4,636",,"5,148","4,981","4,754","5,070",,,"3,937","6,151",,"4,950","3,812","5,108",,"4,786",,"5,774","5,182",,"4,437",,"5,730","5,189",,"6,839",,,,,,,"6,114",,,,"4,919",,,"5,081","5,928",Total income (&pound; per pupil)
102,CFR_19,TEACHINGSTAFF,"2,335",,,,"7,398",,"2,435","2,145",,"2,055",,"2,297",,"2,414","2,490","2,121","1,966",,,"1,887","2,382",,"2,155","1,759","2,086",,"2,142",,"2,186","2,330",,"2,193",,"2,174","2,055",,"3,068",,,,,,,"2,774",,,,"3,140",,,"2,284","3,222",Teaching staff (&pound; per pupil)
103,CFR_19,SUPPLYTEACHERS,-12,,,,288,,180,13,,37,,12,,11,30,185,8,,,218,0,,30,140,98,,234,,63,60,,122,,81,252,,0,,,,,,,426,,,,65,,,105,109,Supply Staff (&pound; per pupil)
104,CFR_19,EDUCATIONSUPPORTSTAFF,"1,859",,,,"6,596",,969,575,,"1,461",,861,,502,657,"1,001",788,,,513,961,,"1,160",510,"1,106",,618,,"1,119","1,089",,651,,"1,542","1,256",,363,,,,,,,270,,,,263,,,889,594,Education support staff (&pound; per pupil)
105,CFR_19,PREMISES,390,,,,80,,211,251,,301,,260,,387,323,433,291,,,242,348,,191,334,397,,333,,456,252,,316,,500,362,,273,,,,,,,374,,,,297,,,309,356,Premises (incl. Staff costs) (&pound; per pupil)
106,CFR_19,BACKOFFICE,673,,,,"5,203",,791,253,,441,,278,,450,675,327,872,,,246,417,,376,281,377,,363,,412,285,,283,,515,348,,"1,979",,,,,,,"1,711",,,,382,,,413,565,Back office (incl. Staff costs) (&pound; per pupil)
107,CFR_19,CATERING,248,,,,126,,56,194,,122,,129,,45,315,21,285,,,118,383,,162,190,127,,48,,204,187,,196,,220,160,,87,,,,,,,76,,,,22,,,190,51,Catering (incl. Staff costs) (&pound; per pupil)
108,CFR_19,OTHERSTAFF,217,,,,692,,189,117,,185,,317,,427,180,193,171,,,286,848,,186,93,93,,144,,303,487,,134,,147,178,,157,,,,,,,114,,,,29,,,186,104,Other staff costs (&pound; per pupil)
109,CFR_19,ENERGY,78,,,,0,,72,58,,65,,37,,67,85,59,67,,,42,70,,46,44,48,,66,,59,53,,56,,44,66,,151,,,,,,,105,,,,45,,,62,96,Energy (&pound; per pupil)
110,CFR_19,LEARNINGRESOURCES,203,,,,"1,841",,108,156,,242,,242,,203,126,177,190,,,199,144,,267,143,238,,318,,157,163,,196,,248,194,,427,,,,,,,190,,,,215,,,205,220,Learning resources (not ICT equipment) (&pound; per pupil)
111,CFR_19,ICT,86,,,,157,,9,90,,14,,31,,133,10,53,7,,,95,158,,39,1,38,,138,,128,69,,137,,1,66,,0,,,,,,,7,,,,79,,,51,69,ICT learning resources (&pound; per pupil)
112,CFR_19,BOUGHTINPROFESSIONALSERVICES,134,,,,"1,064",,2,58,,27,,45,,239,1,79,4,,,35,36,,23,153,56,,149,,146,51,,179,,53,55,,0,,,,,,,62,,,,45,,,93,67,Bought in professional services - curriculum (&pound; per pupil)
113,CFR_19,OTHER,302,,,,91,,52,48,,85,,25,,146,66,111,44,,,-151,105,,75,13,123,,109,,-9,194,,58,,129,115,,188,,,,,,,269,,,,145,,,100,213,Other expenditure (&pound; per pupil)
114,CFR_19,TOTALEXPENDITURE,"6,513",,,,"23,537",,"5,073","3,959",,"5,035",,"4,532",,"5,025","4,957","4,760","4,694",,,"3,729","5,853",,"4,709","3,661","4,789",,"4,661",,"5,223","5,220",,"4,520",,"5,653","5,106",,"6,693",,,,,,,"6,379",,,,"4,729",,,"5,034","5,891",Total expenditure (&pound; per pupil)
115,CFR_19,T1415CAT1,"3,335",,,,"10,530",,"3,111","2,499",,"3,083",,"2,769",,"2,717","2,754","2,578","2,848",,,"2,268","2,774",,"3,071",SUPP,"2,973",,"2,828",,"2,990","2,527",,"2,540",,"3,382","3,434",,"3,609",,,,,,,"3,706",,,,"3,314",,,"2,927","3,825",
116,CFR_19,T1415CAT2,101,,,,"1,226",,262,83,,35,,280,,41,42,188,19,,,126,156,,45,181,15,,199,,181,214,,126,,380,141,,158,,,,,,,106,,,,3,,,133,124,
117,CFR_19,T1415CAT3,385,,,,"5,454",,"1,034",211,,354,,282,,314,763,209,875,,,200,376,,281,249,452,,320,,436,229,,251,,606,297,,"2,048",,,,,,,"1,475",,,,349,,,366,544,
118,CFR_19,T1415CAT4,96,,,,0,,56,50,,71,,50,,50,45,75,55,,,52,85,,54,57,61,,60,,61,51,,46,,77,84,,148,,,,,,,76,,,,75,,,61,99,
119,CFR_19,T1415CAT5,"5,525",,,,"22,580",,"5,118","3,692",,"4,762",,"4,273",,"4,185","4,228","4,012","5,110",,,"3,347","5,308",,"4,288","3,517","4,518",,"4,344",,"5,076","4,205",,"3,980",,"5,688","5,208",,"7,118",,,,,,,"6,275",,,,"4,575",,,"4,645","5,944",
120,CFR_19,T1415SUM,1608,,,,5370,,655,849,,1219,,892,,1063,624,962,1313,,,701,1917,,837,3030,1017,,937,,1408,1184,,1017,,1243,1252,,1155,,,,,,,912,,,,834,,,,,
121,CFR_19,T1415CAT1LA,"3,263",,,,"16,764",,"3,004","2,645",,"2,957",,"2,956",,"2,645","3,004","2,697","2,834",,,"2,956","2,645",,"2,957","2,956","2,957",,"2,645",,"3,105","2,645",,"2,645",,"3,086","2,957",,"3,874",,,,,,,"3,874",,,,"3,151",,,,,
122,CFR_19,T1415CAT2LA,218,,,,"1,141",,194,120,,95,,133,,120,194,126,118,,,133,120,,95,133,95,,120,,153,120,,120,,184,95,,106,,,,,,,106,,,,157,,,,,
123,CFR_19,T1415CAT3LA,344,,,,"2,436",,323,319,,339,,349,,319,323,250,308,,,349,319,,339,349,339,,319,,336,319,,319,,341,339,,461,,,,,,,461,,,,350,,,,,
124,CFR_19,T1415CAT4LA,72,,,,482,,58,58,,64,,57,,58,58,59,56,,,57,58,,64,57,64,,58,,61,58,,58,,74,64,,89,,,,,,,89,,,,87,,,,,
125,CFR_19,T1415CAT5LA,"5,324",,,,"26,760",,"5,210","4,259",,"4,712",,"4,517",,"4,259","5,210","4,197","4,747",,,"4,517","4,259",,"4,712","4,517","4,712",,"4,259",,"4,699","4,259",,"4,259",,"4,922","4,712",,"6,538",,,,,,,"6,538",,,,"4,768",,,,,
126,CFR_19,T1516CAT1,"3,770",,,,"12,921",,"3,275","2,504",,"3,192",,"2,867",,"2,760","3,142",SUPP,"2,448",,,"2,163","2,860",,"3,231",SUPP,SUPP,,"2,749",,"3,118","2,623",,"2,623",,"3,581","3,652",,"3,807",,,,,,,"3,719",,,,"3,187",,,"2,976","3,857",
127,CFR_19,T1516CAT2,-74,,,,491,,209,55,,25,,249,,19,56,99,81,,,304,98,,40,32,64,,181,,48,165,,73,,239,91,,0,,,,,,,239,,,,0,,,126,122,
128,CFR_19,T1516CAT3,448,,,,"5,449",,649,216,,299,,297,,370,720,230,892,,,212,445,,274,575,373,,337,,414,252,,257,,551,342,,"1,848",,,,,,,"1,557",,,,352,,,377,545,
129,CFR_19,T1516CAT4,82,,,,0,,47,58,,75,,78,,51,53,69,41,,,36,65,,51,42,60,,54,,66,55,,42,,89,64,,112,,,,,,,70,,,,67,,,58,97,
130,CFR_19,T1516CAT5,"5,974",,,,"22,993",,"4,936","3,707",,"4,611",,"4,493",,"4,344","4,924","4,306","4,685",,,"3,371","5,439",,"4,589","4,227","4,838",,"4,536",,"5,147","4,319",,"3,973",,"5,889","5,224",,"6,997",,,,,,,"6,391",,,,"4,259",,,"4,777","6,013",
131,CFR_19,T1516SUM,1748,,,,4132,,756,874,,1020,,1002,,1144,953,3908,1223,,,656,1971,,993,3578,4341,,1215,,1501,1224,,978,,1429,1075,,1230,,,,,,,806,,,,653,,,,,
132,CFR_19,T1516CAT1LA,"3,310",,,,"16,558",,"3,120","2,638",,"3,085",,"2,961",,"2,638","3,120","2,778","2,902",,,"2,961","2,638",,"3,085","2,961","3,085",,"2,638",,"3,122","2,638",,"2,638",,"3,056","3,085",,"3,909",,,,,,,"3,909",,,,"3,187",,,,,
133,CFR_19,T1516CAT2LA,185,,,,800,,200,92,,103,,103,,92,200,114,122,,,103,92,,103,103,103,,92,,65,92,,92,,239,103,,115,,,,,,,115,,,,0,,,,,
134,CFR_19,T1516CAT3LA,399,,,,"3,324",,859,337,,402,,317,,337,859,320,685,,,317,337,,402,317,402,,337,,354,337,,337,,301,402,,"1,181",,,,,,,"1,181",,,,352,,,,,
135,CFR_19,T1516CAT4LA,80,,,,458,,59,58,,60,,63,,58,59,56,52,,,63,58,,60,63,60,,58,,59,58,,58,,67,60,,94,,,,,,,94,,,,67,,,,,
136,CFR_19,T1516CAT5LA,"4,932",,,,"26,904",,"5,323","4,343",,"4,784",,"4,627",,"4,343","5,323","4,347","4,789",,,"4,627","4,343",,"4,784","4,627","4,784",,"4,343",,"4,814","4,343",,"4,343",,"4,870","4,784",,"6,391",,,,,,,"6,391",,,,"4,259",,,,,
137,CFR_19,T1617CAT1,3212,,,,14558,,3392,2544,,3096,,2705,,2727,3328,2769,2800,,,2186,2648,,2996,2276,2863,,2944,,3330,2773,,2515,,3350,3402,,3914,,,,,,,3461,,,,3311,,,"3,042","3,919",
138,CFR_19,T1617CAT2,-17,,,,463,,303,33,,30,,324,,17,62,64,16,,,253,25,,65,31,43,,136,,83,138,,100,,203,14,,0,,,,,,,299,,,,20,,,117,119,
139,CFR_19,T1617CAT3,694,,,,5807,,790,215,,323,,299,,348,597,317,866,,,199,382,,274,327,479,,352,,395,249,,237,,639,349,,1861,,,,,,,1594,,,,420,,,384,545,
140,CFR_19,T1617CAT4,64,,,,0,,46,41,,60,,70,,37,86,38,67,,,42,52,,39,42,54,,47,,52,41,,31,,69,60,,124,,,,,,,69,,,,69,,,55,94,
141,CFR_19,T1617CAT5,5455,,,,24548,,5487,3692,,4482,,4369,,4254,5214,4194,5173,,,3491,4798,,4176,3441,4325,,4681,,5524,4429,,3833,,5709,4824,,7472,,,,,,,6465,,,,4678,,,"4,814","6,017",
142,CFR_19,T1617SUM,1502,,,,3720,,956,859,,973,,971,,1125,1141,1006,1424,,,811,1691,,802,765,886,,1202,,1664,1228,,950,,1448,999,,1573,,,,,,,1042,,,,858,,,,,
143,CFR_19,T1617CAT1LA,"3,300",,,,"16,757",,"3,089","2,616",,"3,029",,"2,814",,"2,616","3,089","2,812","2,999",,,"2,814","2,616",,"3,029","2,814","3,029",,"2,616",,"3,092","2,616",,"2,616",,"3,334","3,029",,"3,825",,,,,,,"3,825",,,,"3,311",,,,,
144,CFR_19,T1617CAT2LA,111,,,,774,,203,92,,105,,95,,92,203,112,133,,,95,92,,105,95,105,,92,,61,92,,92,,203,105,,102,,,,,,,102,,,,20,,,,,
145,CFR_19,T1617CAT3LA,5438,,,,24759,,5392,3691,,4459,,4381,,4395,5154,4313,5161,,,3432,4871,,4365,3592,4258,,4849,,5626,4641,,3838,,5625,4874,,7023,,,,,,,6017,,,,4733,,,,,
146,CFR_19,T1617CAT4LA,977,,,,6564,,913,438,,1302,,668,,580,850,721,675,,,418,645,,1135,399,1013,,769,,796,836,,528,,1312,1302,,419,,,,,,,312,,,,314,,,,,
147,CFR_19,T1617CAT5LA,64,,,,0,,46,41,,60,,70,,37,86,38,67,,,42,52,,39,42,54,,47,,52,41,,31,,69,60,,124,,,,,,,69,,,,69,,,,,
148,CFR_19,T1718CAT1,"4,218 ",,,,"13,936 ",,"3,267 ","2,676 ",,"3,350 ",,"2,992 ",,"3,210 ","3,181 ","2,966 ","2,916 ",,,"2,281 ","3,126 ",,"3,273 ","2,355 ","3,117 ",,"2,820 ",,"3,564 ","3,243 ",,"2,669 ",,"3,419 ","3,475 ",,"3,444 ",,,,,,,"3,521 ",,,,"3,438 ",,,"3,078","3,817",
149,CFR_19,T1718CAT2,14 ,,,,516 ,,313 ,-9 ,,38 ,,249 ,,50 ,80 ,95 ,8 ,,,256 ,4 ,,16 ,41 ,58 ,,141 ,,49 ,130 ,,130 ,,62 ,110 ,,7 ,,,,,,,352 ,,,,37 ,,,106,114,
150,CFR_19,T1718CAT3,768 ,,,,"5,079 ",,773 ,243 ,,413 ,,286 ,,430 ,717 ,329 ,"1,037 ",,,234 ,440 ,,353 ,386 ,370 ,,347 ,,406 ,290 ,,265 ,,557 ,306 ,,"1,551 ",,,,,,,"1,617 ",,,,343 ,,,392,542,
151,CFR_19,T1718CAT4,69 ,,,,-   ,,38 ,32 ,,74 ,,63 ,,59 ,77 ,79 ,50 ,,,53 ,74 ,,46 ,42 ,41 ,,43 ,,52 ,41 ,,47 ,,69 ,78 ,,81 ,,,,,,,82 ,,,,74 ,,,58,91,
152,CFR_19,T1718CAT5,"6,596 ",,,,"23,393 ",,"5,135 ","3,962 ",,"4,834 ",,"4,493 ",,"5,193 ","4,948 ","4,596 ","5,221 ",,,"3,892 ","5,331 ",,"4,583 ","3,645 ","4,787 ",,"4,475 ",,"5,431 ","5,144 ",,"4,217 ",,"5,296 ","5,063 ",,"6,570 ",,,,,,,"7,058 ",,,,"4,843 ",,,"4,893","5,872",
153,CFR_19,T1718SUM,1527,,,,3862,,744,1020,,959,,903,,1444,893,1127,1210,,,1068,1687,,895,821,1201,,1124,,1360,1440,,1106,,1189,1094,,1487,,,,,,,1486,,,,951,,,,,
154,CFR_19,T1718CAT1LA,"3,597 ",,,,"16,308 ",,"3,340 ","2,812 ",,"3,159 ",,"2,991 ",,"2,812 ","3,060 ","2,836 ","3,060 ",,,"2,991 ","2,812 ",,"3,159 ","2,991 ","3,159 ",,"2,812 ",,"2,812 ","2,812 ",,"2,812 ",,"3,232 ","3,232 ",,"3,607 ",,,,,,,"3,607 ",,,,"3,438 ",,,,,
155,CFR_19,T1718CAT2LA,75 ,,,,546 ,,169 ,72 ,,95 ,,115 ,,72 ,98 ,95 ,98 ,,,115 ,72 ,,95 ,115 ,95 ,,72 ,,72 ,72 ,,72 ,,110 ,110 ,,104 ,,,,,,,104 ,,,,37 ,,,,,
