No,Namespace,Variable,Greenholm Primary School - 138693,Hawthorn Primary School - 103214,Cedars Academy - 143088,Devonshire Junior Academy - 141292,Devonshire Infant Academy - 141293,Kimichi School - 141242,St Peter and St Paul RC Junior and Infant School - 103454,St Peter and St Paul RC Junior and Infant School - 146298,Selly Oak Trust School - 103613,Colmore Junior School - 103188,Colmore Infant and Nursery School - 103189,Acocks Green Primary School - 139443,Wheelers Lane Primary School - 134099,Cottesbrooke Infant and Nursery School - 140706,Oasis Academy Short Heath - 139125,Annie Lennard Primary School - 103932,Osborne Primary School - 147758,Osborne Primary School - 103363,The Dame Ellen Pinsent School - 103615,St Mark's Catholic Primary School - 148973,St Mark's Catholic Primary School - 103468,Court Farm Primary School - 103267,Story Wood School - 103213,Highclare School - 103576,Welsh House Farm Community School and Special Needs Resources Base - 103295,Holy Souls Catholic Primary School - 147009,Holy Souls Catholic Primary School - 103429,Priestley Smith School - 103614,Beeches Infant School - 103164,Beeches Junior School - 103163,Abbey Catholic Primary School - 103422,Abbey Catholic Primary School - 147669,Gilbertstone Primary School - 103201,Glenmead Primary School - 103320,Bournville Village Primary - 103445,Bournville Infant School - 103446,The Oval School - 143087,Swanshurst School - 103514,Wheelers Lane Technology College - 103501,Hamstead Hall Academy - 139746,Hall Green School - 137858,Oscott Academy - 142115,"Ninestiles, an Academy - 136406",The University of Birmingham School - 140863,Aspire Ap School - 139962,Archbishop Ilsley Catholic School - 103541,Archbishop Ilsley Catholic School - 146124,Arena Academy - 145580,Sandwell Valley School - 143038,Fircroft College of Adult Education - 130467,National state-funded primary,National state-funded secondary and 16 to 18,Description
62,CENSUS_21,NUMEAL,115,81,95,285,268,0,,61,58,134,86,323,125,82,114,55,,143,45,,112,54,73,0,104,101,,38,53,65,191,,69,55,43,,208,918,155,568,279,0,761,256,0,,316,191,0,,,,No.  pupils where English not first language
63,CENSUS_21,NUMENGFL,517,151,233,67,72,0,,144,327,342,312,161,513,188,350,176,,168,105,,97,178,159,0,130,295,,51,215,293,226,,359,265,598,,424,903,497,544,616,0,725,812,0,,880,827,0,,,,No. pupils with English first language
64,CENSUS_21,NUMUNCFL,0,0,0,0,0,0,,0,0,0,16,0,11,3,2,0,,0,0,,0,0,0,0,2,0,,0,2,1,0,,0,2,12,,1,9,0,0,4,0,1,13,0,,0,3,0,,,,No. pupils where first language is unclassified
65,CENSUS_21,PNUMEAL,18.2%,34.9%,29.0%,81.0%,78.8%,0%,,29.8%,15.1%,28.2%,20.8%,66.7%,19.3%,30.0%,24.5%,23.8%,,46.0%,30.0%,,53.6%,23.3%,31.5%,0%,44.1%,25.5%,,42.7%,19.6%,18.1%,45.8%,,16.1%,17.1%,6.6%,,32.9%,50.2%,23.8%,51.1%,31.0%,0%,51.2%,23.7%,0%,,26.4%,18.7%,0%,,,,%  pupils where English not first language
66,CENSUS_21,PNUMENGFL,81.8%,65.1%,71.0%,19.0%,21.2%,0%,,70.2%,84.9%,71.8%,75.4%,33.3%,79.0%,68.9%,75.1%,76.2%,,54.0%,70.0%,,46.4%,76.7%,68.5%,0%,55.1%,74.5%,,57.3%,79.6%,81.6%,54.2%,,83.9%,82.3%,91.6%,,67.0%,49.3%,76.2%,48.9%,68.5%,0%,48.8%,75.1%,0%,,73.6%,81.0%,0%,,,,% pupils with English first language
67,CENSUS_21,PNUMUNCFL,0%,0%,0%,0%,0%,0%,,0%,0%,0%,3.9%,0%,1.7%,1.1%,0.4%,0%,,0%,0%,,0%,0%,0%,0%,0.8%,0%,,0%,0.7%,0.3%,0%,,0%,0.6%,1.8%,,0.2%,0.5%,0%,0%,0.4%,0%,0.1%,1.2%,0%,,0%,0.3%,0%,,,,% pupils where first language is unclassified
68,CENSUS_21,NUMFSM,152,125,139,61,40,0,,28,195,100,75,151,175,84,201,48,,186,82,,57,139,94,0,155,144,,38,79,106,103,,130,112,74,,316,573,162,297,275,0,644,269,0,,396,236,0,,,,No. pupils eligible for free school meals
69,CENSUS_21,NUMFSMEVER,178,133,170,80,40,,,30,165,115,75,146,191,88,201,56,,198,92,,63,134,101,,155,155,,35,79,121,114,,137,121,108,,309,719,225,378,349,,849,285,,,484,321,,,,,Number of pupils eligible for FSM at any time during the past 6 years
70,CENSUS_21,PNUMFSMEVER,28.2%,57.3%,51.8%,22.7%,11.8%,,,14.6%,42.9%,24.2%,18.1%,30.2%,29.4%,32.2%,43.1%,24.2%,,63.7%,61.3%,,30.1%,57.8%,43.5%,,65.7%,39.1%,,39.3%,29.3%,33.7%,27.3%,,32.0%,37.6%,16.5%,,48.8%,39.3%,34.5%,34.0%,38.8%,,57.1%,26.4%,,,40.5%,31.4%,,,,,Percentage of pupils eligible for FSM at any time during the past 6 years
71,CENSUS_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
72,SWF_19,LA,330,330,330,333,333,,330,,,330,330,330,330,330,330,333,,330,,,330,330,330,,330,,330,,330,330,330,,330,330,330,330,330,330,330,330,330,,330,330,,330,,330,,,,,Local Authority Number
73,SWF_19,URN,138693,103214,143088,141292,141293,,103454,,,103188,103189,139443,134099,140706,139125,103932,,103363,,,103468,103267,103213,,103295,,103429,,103164,103163,103422,,103201,103320,103445,103446,143087,103514,103501,139746,137858,,136406,140863,,103541,,145580,,,,,Unique Reference Number
74,SWF_19,NTEA,29,18,17,16,18,,12,,,27,20,24,37,18,20,14,,17,,,11,11,16,,14,,22,,14,19,20,,26,17,23,12,41,132,43,83,67,,94,56,,91,,69,,,"260,096","219,269",Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
75,SWF_19,NTEAAS,16,18,8,25,44,,6,,,14,15,18,14,24,16,10,,13,,,7,14,10,,15,,23,,17,10,13,,14,13,12,9,21,12,12,11,25,,22,10,,16,,12,,,"274,954","57,981",Total Number of Teaching Assistants (Headcount)
76,SWF_19,NNONTEA,7,5,8,5,5,,2,,,7,4,7,5,2,6,4,,8,,,4,7,6,,6,,4,,5,4,6,,5,7,7,7,8,44,20,28,31,,31,26,,25,,21,,,"91,158","84,503","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
77,SWF_19,NFTETEA,27.4,14.6,16.2,15.5,15.2,,10.2,,,22.5,16.5,23.8,32.9,14.3,19.6,11.9,,15.4,,,10.6,10.4,14.8,,12,,16.8,,12.4,17.6,18.4,,23.1,16,20.5,10.8,37.4,120,41.4,78.8,60.9,,92.4,56,,84,,67,,,"231,728","203,686",Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
78,SWF_19,NFTETEAAS,12.8,14.5,6.6,18.3,25.7,,4.9,,,12.2,12.1,16.2,11.4,18.4,14.4,9.2,,10.8,,,6.3,13,8,,11.4,,16.7,,11.6,8.6,10.1,,9.8,9.8,8.7,6.2,14.3,9.6,9.9,9,17.5,,20.8,10,,13.4,,11.9,,,"178,546","45,918",Total Number of Teaching Assistants (Full-time Equivalent)
79,SWF_19,NFTENONTEA,6.1,3.8,7.3,3.8,3.7,,1.8,,,5,2.7,4.9,5,2,5.1,4,,8,,,4,6.5,4.4,,5.4,,2.7,,3.7,3.3,5.2,,4.4,4,5,3.8,6.6,40.8,18.8,24.3,23.3,,30.5,25.8,,23.2,,18.7,,,61494.7,"71,228","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
80,SWF_19,RATPUPTEA,22.3,15.7,21.9,23.6,20.6,,20.4,,,21.3,23.2,19.3,19.9,20.2,22.8,20.8,,18.7,,,19.8,21.8,14.9,,18.2,,24.3,,21.7,20.5,23.0,,18.9,23.3,18.7,25.0,17.9,15.0,15.6,13.9,14.7,,15.5,14.4,,13.9,,13.4,,,20.7,16.3,Pupil:Teacher Ratio
81,SWF_19,SALARY,"£38,946","£38,587","£36,363","£35,783","£39,471",,"£39,404",,,"£42,664","£43,149","£42,214","£39,885","£39,033","£36,904","£36,547",,"£38,846",,,"£36,149","£41,994","£41,342",,"£40,987",,"£39,535",,"£41,206","£38,376","£39,048",,"£36,440","£38,199","£41,713","£34,808","£37,288","£39,867","£42,489","£42,434","£40,880",,"£34,993","£36,356",,"£41,945",,"£36,670",,,"£38,369","£40,571",Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
82,SWF_21,LA,330,330,330,333,333,,,330,,330,330,330,330,330,330,333,,330,330,,330,330,330,,330,330,,330,330,330,330,,330,330,330,,330,330,330,330,330,,330,330,,,330,330,,,,,Local Authority Number
83,SWF_21,URN,138693,103214,143088,141292,141293,,,146298,,103188,103189,139443,134099,140706,139125,103932,,103363,103615,,103468,103267,103213,,103295,147009,,103614,103164,103163,103422,,103201,103320,103445,,143087,103514,103501,139746,137858,,136406,140863,,,146124,145580,,,,,Unique Reference Number
84,SWF_21,NTEA,30,16,20,17,16,,,12,,28,19,23,37,17,20,12,,18,17,,10,13,18,,12,24,,18,16,18,22,,22,18,31,,38,136,43,76,66,,107,73,,,93,70,,,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
85,SWF_21,NTEAAS,26,18,9,24,44,,,6,,14,14,17,9,17,16,8,,15,29,,7,13,6,,14,19,,26,7,12,14,,12,2,18,,19,12,11,13,22,,23,17,,,14,8,,,,,Total Number of Teaching Assistants (Headcount)
86,SWF_21,NNONTEA,9,5,4,5,3,,,4,,6,4,7,5,3,6,3,,8,6,,3,7,5,,6,3,,3,4,5,6,,5,7,9,,8,44,17,32,31,,38,25,,,25,16,,,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
87,SWF_21,NFTETEA,27.3,14.8,19.6,16.4,13.2,,,10.2,,23.3,16.3,22.4,33.6,13.3,19.5,11.0,,15.7,16.6,,9.2,11.9,16.5,,11.0,18.7,,16.3,14.8,17.2,19.8,,20.0,17.4,28.7,,34.2,124.9,41.6,72.4,58.4,,101.9,72.2,,,87.4,68.3,,,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
88,SWF_21,NFTETEAAS,12.5,14.1,7.1,17.2,24.8,,,5.4,,10.9,10.6,14.6,7.8,13.3,14.5,7.3,,12.3,26.4,,6.2,11.4,4.7,,10.9,14.0,,21.2,4.4,10.6,11.0,,8.5,1.6,12.4,,13.5,10.4,8.4,11.4,15.5,,21.2,17.0,,,11.8,6.8,,,,,Total Number of Teaching Assistants (Full-time Equivalent)
89,SWF_21,NFTENONTEA,7.3,3.8,3.8,3.7,3.0,,,3.2,,4.4,2.8,5.8,5.0,2.7,5.3,3.0,,7.8,6.0,,3.0,6.8,3.4,,5.3,2.5,,2.3,3.4,3.4,5.2,,4.6,4.8,5.3,,6.6,40.7,15.8,28.7,22.3,,37.0,25.0,,,23.5,14.6,,,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
90,SWF_21,RATPUPTEA,23.2,15,16.7,21.5,23.4,,,20.1,,20.4,23.8,20.4,18.8,19,22.8,20,,19.8,9,,22.7,18.9,13.3,,20.4,21.2,,5.5,18.2,20.9,21.1,,20.7,18.5,22.8,,18,14.7,15.7,15.4,15.4,,14.6,15,,,13.7,14.9,,,,,Pupil:Teacher Ratio
91,SWF_21,SALARY,"£37,424","£40,411","£38,307","£39,562","£39,851",,,"£43,815",,"£43,335","£45,257","£41,693","£42,623","£41,890","£39,542","£39,410",,"£41,762","£44,388",,"£41,445","£42,864","£39,202",,"£44,871","£40,881",,"£47,476","£40,599","£39,870","£39,275",,"£40,254","£38,885","£42,590",,"£41,163","£42,653","£45,277","£43,935","£42,521",,"£39,221","£37,050",,,"£41,973","£40,551",,,,,Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
92,SWF_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
93,CFR_19,URN,,103214,,,,,,,103613,103188,103189,,134099,,,103932,,103363,103615,,103468,103267,103213,,103295,,103429,103614,103164,103163,103422,,103201,103320,103445,103446,,103514,103501,,,,,,,103541,,,,,,,Unique Reference Number
94,CFR_19,LONDON/NON-LONDON,,Non-London,,,,,,,Non-London,Non-London,Non-London,,Non-London,,,Non-London,,Non-London,Non-London,,Non-London,Non-London,Non-London,,Non-London,,Non-London,Non-London,Non-London,Non-London,Non-London,,Non-London,Non-London,Non-London,Non-London,,Non-London,Non-London,,,,,,,Non-London,,,,,,,London/Non-London
95,CFR_19,MEDIAN,,Primary,,,,,,,Special,Primary,Primary,,Primary,,,Primary,,Primary,Special,,Primary,Primary,Primary,,Primary,,Primary,Special,Primary,Primary,Primary,,Primary,Primary,Primary,Primary,,Secondary with KS4,Secondary with KS4,,,,,,,Secondary with KS4,,,,,Primary,Secondary with KS4,Group to compare
96,CFR_19,PUPILS,,229 ,,,,,,,373 ,480 ,382 ,,654 ,,,248 ,,289 ,150 ,,210 ,227 ,220 ,,219 ,,409 ,87 ,270 ,361 ,423 ,,437 ,373 ,383 ,270 ,,"1,806 ",647 ,,,,,,,"1,168 ",,,,,,,Number of pupils (FTE)
97,CFR_19,FSM,,43,,,,,,,50,10,10,,19,,,18,,44,41,,14,49,32,,53,,24,40,22,18,16,,17,23,10,13,,27,18,,,,,,,24,,,,,,,Percentage of pupils eligible for Free School Meals (FSM)
98,CFR_19,FSMBAND,,High,,,,,,,High,Low,Low,,Low,,,Low,,High,High,,Low,High,Medium,,High,,Medium,High,Medium,Low,Low,,Low,Medium,Low,Low,,Medium,Low,,,,,,,Medium,,,,,,,Free school meals eligibility band
99,CFR_19,GRANTFUNDING,,"8,157",,,,,,,"15,100","4,171","4,715",,"4,796",,,"5,387",,"6,059","15,579",,"4,946","6,929","7,414",,"7,898",,"4,905","21,283","5,763","5,298","4,423",,"4,715","4,915","4,278","4,649",,"5,869","6,120",,,,,,,"6,205",,,,,"4,848","5,724",Grant funding (&pound; per pupil)
100,CFR_19,SELFGENERATEDINCOME,,116,,,,,,,"1,602","1,045",342,,109,,,130,,470,659,,219,332,39,,17,,219,"3,791",68,136,416,,247,646,"1,316",350,,177,327,,,,,,,499,,,,,188,173,Self generated income (&pound; per pupil)
101,CFR_19,TOTALINCOME,,"8,273",,,,,,,"16,702","5,217","5,057",,"4,905",,,"5,517",,"6,529","16,238",,"5,165","7,261","7,454",,"7,916",,"5,124","25,074","5,831","5,435","4,839",,"4,961","5,561","5,594","4,999",,"6,046","6,446",,,,,,,"6,705",,,,,"5,081","5,928",Total income (&pound; per pupil)
102,CFR_19,TEACHINGSTAFF,,"3,190",,,,,,,"6,784","2,489","2,237",,"2,518",,,"2,062",,"2,528","5,003",,"2,355","2,407","3,212",,"2,895",,"2,189","11,309","2,392","2,214","2,161",,"2,133","2,173","2,531","2,058",,"3,221","3,312",,,,,,,"3,804",,,,,"2,284","3,222",Teaching staff (&pound; per pupil)
103,CFR_19,SUPPLYTEACHERS,,43,,,,,,,168,70,188,,59,,,107,,186,436,,47,49,42,,432,,126,134,40,154,94,,190,307,80,24,,60,-104,,,,,,,0,,,,,105,109,Supply Staff (&pound; per pupil)
104,CFR_19,EDUCATIONSUPPORTSTAFF,,"2,069",,,,,,,"2,831",794,999,,574,,,"1,036",,967,"5,386",,892,"1,270","1,027",,"1,460",,"1,163","6,758","1,274",724,607,,637,764,586,697,,191,272,,,,,,,626,,,,,889,594,Education support staff (&pound; per pupil)
105,CFR_19,PREMISES,,286,,,,,,,574,262,207,,59,,,392,,242,619,,401,350,"1,054",,317,,298,25,17,19,254,,333,384,458,322,,396,295,,,,,,,481,,,,,309,356,Premises (incl. Staff costs) (&pound; per pupil)
106,CFR_19,BACKOFFICE,,"1,154",,,,,,,"5,828",819,592,,767,,,655,,"1,779","2,412",,700,"1,853","1,440",,"1,606",,509,"7,525","1,959","1,633",846,,705,"1,142","1,251",983,,782,"1,455",,,,,,,758,,,,,413,565,Back office (incl. Staff costs) (&pound; per pupil)
107,CFR_19,CATERING,,279,,,,,,,304,18,335,,194,,,139,,13,474,,352,321,372,,520,,327,"-2,547",20,67,322,,223,84,181,249,,192,359,,,,,,,182,,,,,190,51,Catering (incl. Staff costs) (&pound; per pupil)
108,CFR_19,OTHERSTAFF,,255,,,,,,,37,286,229,,126,,,267,,146,492,,284,478,206,,216,,240,566,178,184,163,,189,218,133,157,,71,163,,,,,,,117,,,,,186,104,Other staff costs (&pound; per pupil)
109,CFR_19,ENERGY,,80,,,,,,,168,104,60,,101,,,39,,65,85,,64,85,187,,106,,39,0,0,0,86,,58,60,65,38,,96,219,,,,,,,139,,,,,62,96,Energy (&pound; per pupil)
110,CFR_19,LEARNINGRESOURCES,,241,,,,,,,141,199,85,,129,,,308,,179,390,,327,177,206,,399,,182,638,91,193,264,,236,205,257,131,,199,183,,,,,,,440,,,,,205,220,Learning resources (not ICT equipment) (&pound; per pupil)
111,CFR_19,ICT,,9,,,,,,,3,72,65,,68,,,46,,8,123,,0,5,186,,57,,74,96,13,5,25,,22,41,34,0,,41,50,,,,,,,78,,,,,51,69,ICT learning resources (&pound; per pupil)
112,CFR_19,BOUGHTINPROFESSIONALSERVICES,,20,,,,,,,0,102,9,,75,,,112,,6,9,,87,6,0,,88,,53,49,4,103,1,,9,0,5,7,,121,137,,,,,,,0,,,,,93,67,Bought in professional services - curriculum (&pound; per pupil)
113,CFR_19,OTHER,,89,,,,,,,93,65,57,,175,,,127,,83,30,,35,59,75,,98,,41,96,121,141,34,,115,91,36,23,,221,223,,,,,,,102,,,,,100,213,Other expenditure (&pound; per pupil)
114,CFR_19,TOTALEXPENDITURE,,"7,715",,,,,,,"16,932","5,279","5,063",,"4,846",,,"5,290",,"6,200","15,460",,"5,545","7,059","8,005",,"8,194",,"5,241","24,649","6,108","5,437","4,859",,"4,851","5,470","5,617","4,690",,"5,592","6,564",,,,,,,"6,727",,,,,"5,034","5,891",Total expenditure (&pound; per pupil)
115,CFR_19,T1415CAT1,,"4,965",,,,,,,"10,299","3,188","3,375",,"2,792",,,SUPP,,"3,634","8,709",,"2,702","3,305","4,687",,"3,731",,"3,092","17,639","3,250","2,833","2,445",,"2,603","2,852","2,834","2,865",,"3,210","3,874",,,,,,,"4,278",,,,,"2,927","3,825",
116,CFR_19,T1415CAT2,,540,,,,,,,135,59,99,,112,,,5,,126,273,,265,238,59,,391,,189,639,53,146,124,,161,256,38,174,,295,127,,,,,,,92,,,,,133,124,
117,CFR_19,T1415CAT3,,"1,657",,,,,,,"2,245",898,654,,604,,,405,,"2,017","3,251",,687,"1,702","1,370",,"1,315",,474,"5,238","1,547",865,738,,833,806,"1,032",899,,885,"1,084",,,,,,,545,,,,,366,544,
118,CFR_19,T1415CAT4,,81,,,,,,,152,71,48,,134,,,SUPP,,69,130,,77,72,92,,74,,42,0,0,23,35,,43,69,61,44,,89,203,,,,,,,88,,,,,61,99,
119,CFR_19,T1415CAT5,,"8,710",,,,,,,"14,066","5,015","5,135",,"4,612",,,"5,233",,"6,638","14,813",,"4,742","6,859","8,484",,"6,740",,"4,673","23,048","5,679","4,767","4,232",,"4,368","4,683","4,672","4,697",,"5,994","6,735",,,,,,,"6,538",,,,,"4,645","5,944",
120,CFR_19,T1415SUM,,1467,,,,,,,1235,799,959,,970,,,4823,,792,2450,,1011,1542,2276,,1229,,876,-468,829,900,890,,728,700,707,715,,1515,1447,,,,,,,1535,,,,,,,
121,CFR_19,T1415CAT1LA,,"3,202",,,,,,,"14,442","2,834","2,834",,"3,004",,,"3,060",,"3,202","14,442",,"2,834","3,202","3,202",,"3,202",,"3,004","17,639","2,834","2,834","2,834",,"2,834","3,004","2,834","2,834",,"3,874","3,874",,,,,,,"3,874",,,,,,,
122,CFR_19,T1415CAT2LA,,184,,,,,,,414,118,118,,194,,,171,,184,414,,118,184,184,,184,,194,639,118,118,118,,118,194,118,118,,106,106,,,,,,,106,,,,,,,
123,CFR_19,T1415CAT3LA,,358,,,,,,,"1,169",308,308,,323,,,377,,358,"1,169",,308,358,358,,358,,323,"1,100",308,308,308,,308,323,308,308,,461,461,,,,,,,461,,,,,,,
124,CFR_19,T1415CAT4LA,,72,,,,,,,178,56,56,,58,,,70,,72,178,,56,72,72,,72,,58,0,56,56,56,,56,58,56,56,,89,89,,,,,,,89,,,,,,,
125,CFR_19,T1415CAT5LA,,"5,758",,,,,,,"22,905","4,747","4,747",,"5,210",,,"5,113",,"5,758","22,905",,"4,747","5,758","5,758",,"5,758",,"5,210","23,048","4,747","4,747","4,747",,"4,747","5,210","4,747","4,747",,"6,538","6,538",,,,,,,"6,538",,,,,,,
126,CFR_19,T1516CAT1,,"4,505",,,,,,,"7,857","3,213","3,512",,"2,680",,,"2,382",,"3,937","9,266",,"2,459","3,602","4,258",,"3,802",,"3,086","17,500","3,410","2,637","2,554",,"2,671","2,814","2,835","2,993",,"3,244","3,864",,,,,,,"4,447",,,,,"2,976","3,857",
127,CFR_19,T1516CAT2,,602,,,,,,,93,116,74,,107,,,133,,65,387,,433,292,135,,443,,244,779,41,197,60,,303,84,40,41,,251,34,,,,,,,47,,,,,126,122,
128,CFR_19,T1516CAT3,,"1,272",,,,,,,"5,926","1,006",654,,716,,,394,,"1,871","3,544",,685,"1,595","2,951",,"1,299",,541,"4,878","1,257",921,607,,832,795,"1,256",662,,"1,219","1,181",,,,,,,572,,,,,377,545,
129,CFR_19,T1516CAT4,,57,,,,,,,162,107,79,,124,,,20,,45,100,,40,73,93,,60,,41,0,0,0,35,,36,44,31,29,,94,247,,,,,,,84,,,,,58,97,
130,CFR_19,T1516CAT5,,"8,234",,,,,,,"18,295","5,199","5,118",,"4,807",,,"4,608",,"6,722","15,418",,"4,732","7,229","8,863",,"7,100",,"4,741","22,270","5,844","4,617","4,417",,"4,747","4,466","4,788","4,633",,"6,119","6,818",,,,,,,"6,198",,,,,"4,777","6,013",
131,CFR_19,T1516SUM,,1798,,,,,,,4257,757,799,,1180,,,1679,,804,2121,,1115,1667,1426,,1496,,829,-887,1136,862,1161,,905,729,626,908,,1311,1492,,,,,,,1048,,,,,,,
132,CFR_19,T1516CAT1LA,,"3,347",,,,,,,"14,439","2,902","2,902",,"2,902",,,"3,085",,"3,347","16,073",,"2,902","3,347","3,347",,"3,347",,"3,120","16,073","2,902","2,902","2,902",,"2,902","2,902","2,902","2,902",,"3,909","3,909",,,,,,,"3,909",,,,,,,
133,CFR_19,T1516CAT2LA,,173,,,,,,,392,122,122,,122,,,103,,173,384,,122,173,173,,173,,200,384,122,122,122,,122,122,122,122,,115,115,,,,,,,115,,,,,,,
134,CFR_19,T1516CAT3LA,,911,,,,,,,"4,004",685,685,,685,,,402,,911,"3,752",,685,911,911,,911,,859,"3,752",685,685,685,,685,685,685,685,,"1,181","1,181",,,,,,,"1,181",,,,,,,
135,CFR_19,T1516CAT4LA,,60,,,,,,,175,52,52,,52,,,60,,60,50,,52,60,60,,60,,59,50,52,52,52,,52,52,52,52,,94,94,,,,,,,94,,,,,,,
136,CFR_19,T1516CAT5LA,,"5,854",,,,,,,"22,032","4,789","4,789",,"4,789",,,"4,784",,"5,854","21,912",,"4,789","5,854","5,854",,"5,854",,"5,323","21,912","4,789","4,789","4,789",,"4,789","4,789","4,789","4,789",,"6,391","6,391",,,,,,,"6,391",,,,,,,
137,CFR_19,T1617CAT1,,4691,,,,,,,10519,3385,3319,,2951,,,2474,,4202,10206,,2732,3732,3203,,3834,,3203,18849,3397,2766,2699,,2605,2770,2874,2821,,3354,3968,,,,,,,4447,,,,,"3,042","3,919",
138,CFR_19,T1617CAT2,,389,,,,,,,159,65,116,,109,,,286,,98,177,,437,265,586,,640,,159,524,127,319,33,,361,145,31,56,,123,39,,,,,,,38,,,,,117,119,
139,CFR_19,T1617CAT3,,1305,,,,,,,4733,1050,680,,395,,,497,,1691,3722,,768,2035,2333,,1392,,383,4591,1139,989,665,,798,525,1202,722,,840,1128,,,,,,,623,,,,,384,545,
140,CFR_19,T1617CAT4,,84,,,,,,,146,91,52,,118,,,38,,93,83,,87,110,77,,86,,48,0,0,4,20,,56,66,68,52,,80,241,,,,,,,82,,,,,55,94,
141,CFR_19,T1617CAT5,,7641,,,,,,,16931,5614,5085,,5238,,,4822,,7341,16615,,5591,7990,8807,,7363,,4888,26032,5882,5283,4600,,4664,4517,4985,4632,,5612,6989,,,,,,,6192,,,,,"4,814","6,017",
142,CFR_19,T1617SUM,,1172,,,,,,,1374,1023,918,,1665,,,1527,,1257,2427,,1567,1848,2608,,1411,,1095,2068,1219,1205,1183,,844,1011,810,981,,1215,1613,,,,,,,1002,,,,,,,
143,CFR_19,T1617CAT1LA,,"3,406",,,,,,,"15,116","2,999","2,999",,"2,999",,,"3,029",,"3,406","16,622",,"2,999","3,406","3,406",,"3,406",,"3,089","16,622","2,999","2,999","2,999",,"2,999","2,999","2,999","2,999",,"3,825","3,825",,,,,,,"3,825",,,,,,,
144,CFR_19,T1617CAT2LA,,201,,,,,,,644,133,133,,133,,,105,,201,308,,133,201,201,,201,,203,308,133,133,133,,133,133,133,133,,102,102,,,,,,,102,,,,,,,
145,CFR_19,T1617CAT3LA,,7617,,,,,,,16331,5548,4994,,4766,,,5478,,7588,17146,,5480,7710,9185,,7587,,4948,26057,5782,5206,4573,,4512,4622,5137,4685,,6014,6708,,,,,,,6147,,,,,,,
146,CFR_19,T1617CAT4LA,,1594,,,,,,,3865,812,1108,,712,,,664,,1238,4464,,771,1334,742,,1424,,1015,6772,1050,672,525,,680,743,546,692,,134,548,,,,,,,821,,,,,,,
147,CFR_19,T1617CAT5LA,,84,,,,,,,146,91,52,,118,,,38,,93,83,,87,110,77,,86,,48,0,0,4,20,,56,66,68,52,,80,241,,,,,,,82,,,,,,,
148,CFR_19,T1718CAT1,,"5,403 ",,,,,,,"10,322 ","3,214 ","3,338 ",,"3,179 ",,,"2,760 ",,"3,638 ","10,400 ",,"3,174 ","3,674 ","4,800 ",,"4,130 ",,"3,268 ","17,729 ","3,700 ","2,918 ","2,799 ",,"2,611 ","2,863 ","2,927 ","2,984 ",,"3,289 ","3,481 ",,,,,,,"4,355 ",,,,,"3,078","3,817",
149,CFR_19,T1718CAT2,,268 ,,,,,,,376 ,75 ,205 ,,105 ,,,205 ,,84 ,403 ,,42 ,211 ,31 ,,547 ,,185 ,128 ,56 ,236 ,87 ,,339 ,239 ,62 ,46 ,,112 ,7 ,,,,,,,94 ,,,,,106,114,
150,CFR_19,T1718CAT3,,"1,319 ",,,,,,,"4,912 ",816 ,594 ,,"1,790 ",,,523 ,,"1,646 ","2,526 ",,674 ,"1,971 ","3,520 ",,"1,665 ",,425 ,"2,878 ",556 ,457 ,780 ,,798 ,628 ,"1,282 ",943 ,,903 ,"1,276 ",,,,,,,695 ,,,,,392,542,
151,CFR_19,T1718CAT4,,70 ,,,,,,,135 ,93 ,55 ,,174 ,,,37 ,,65 ,186 ,,53 ,83 ,37 ,,84 ,,27 ,-   ,-   ,-   ,40 ,,45 ,44 ,32 ,29 ,,95 ,307 ,,,,,,,81 ,,,,,58,91,
152,CFR_19,T1718CAT5,,"8,391 ",,,,,,,"16,699 ","5,029 ","5,316 ",,"6,314 ",,,"4,952 ",,"6,390 ","15,542 ",,"5,075 ","7,281 ","10,331 ",,"8,095 ",,"4,968 ","23,813 ","6,250 ","5,425 ","4,633 ",,"4,708 ","4,720 ","5,179 ","4,842 ",,"5,618 ","6,380 ",,,,,,,"6,230 ",,,,,"4,893","5,872",
153,CFR_19,T1718SUM,,1331,,,,,,,954,831,1124,,1066,,,1427,,957,2027,,1132,1342,1943,,1669,,1063,3078,1938,1814,927,,915,946,876,840,,1219,1309,,,,,,,1005,,,,,,,
