No,Namespace,Variable,Marston Green Infant Academy - 140733,Blackheath Primary School - 103981,Town Junior School - 141206,St Anthony's Catholic Primary School - 104103,St Anthony's Catholic Primary School - 148090,Minworth Junior and Infant School - 103345,Marston Green Junior School - 104060,Kingshurst Primary School - 135139,The Priory Primary School - 131212,Rowley Hall Primary School - 103955,St Anne's Catholic Primary School - 148092,St Anne's Catholic Primary School - 104104,Moorlands Primary School - 103908,Greswold Primary School - 104079,Forest Oak School - 104132,Merstone School - 104133,Smith's Wood Primary Academy - 140923,West Heath Primary School - 134279,Homeschool - 141501,Shirley Heath Junior School - 104050,Newtown Primary School - 103924,Newtown Primary School - 146434,Delves Junior School - 104170,Delves Infant School - 104150,Woodlands Infant School - 104053,Merritts Brook Primary E-ACT Academy - 139014,Grace Mary Primary School - 103945,Highfields Primary School - 103946,St John the Baptist Catholic Primary School - 148093,St John the Baptist Catholic Primary School - 104107,Hawkesley Church Primary Academy - 139269,Damson Wood Nursery and Infant School - 143051,Lea Hall Academy - 148722,Coppice Primary School - 137697,Tameside Primary School - 131735,Harvills Hawthorn Primary School - 131591,Park Hall Junior Academy - 137797,Tameside Primary Academy - 146358,Tudor Grange Academy Kingshurst - 146379,Plantsbrook School - 137053,Lode Heath School - 137008,Light Hall School - 137231,Smith's Wood Academy - 143895,WMG Academy for Young Engineers (Solihull) - 142900,Wodensborough Ormiston Academy - 139918,Ormiston Sandwell Community Academy - 135979,King Edward VI Northfield School for Girls - 148684,Turves Green Girls' School - 103499,High Point Academy - 148400,St Michael's Church of England High School - 104019,National state-funded primary,National state-funded secondary and 16 to 18,Description
62,CENSUS_21,NUMEAL,61,61,33,19,,6,31,17,78,68,,56,28,125,7,6,28,24,0,75,,77,205,214,43,48,36,83,,8,23,20,,12,,178,289,85,50,83,95,81,32,40,277,222,,62,,97,,,No.  pupils where English not first language
63,CENSUS_21,NUMENGFL,275,431,202,239,,201,318,504,307,581,,405,176,527,167,121,427,378,0,343,,141,153,126,162,172,210,346,,217,197,149,,679,,282,114,429,1241,1396,1007,1117,918,367,817,859,,616,,1123,,,No. pupils with English first language
64,CENSUS_21,NUMUNCFL,0,0,0,0,,0,0,3,1,0,,0,0,2,0,0,0,0,0,0,,0,0,3,0,0,0,0,,0,0,0,,0,,0,6,0,25,15,60,4,0,0,16,5,,1,,1,,,No. pupils where first language is unclassified
65,CENSUS_21,PNUMEAL,18.2%,12.4%,14.0%,7.4%,,2.9%,8.9%,3.2%,20.2%,10.5%,,12.1%,13.7%,19.1%,4.0%,4.7%,6.2%,6.0%,0%,17.9%,,35.3%,57.3%,62.4%,21.0%,21.8%,14.6%,19.3%,,3.6%,10.5%,11.8%,,1.7%,,38.7%,70.7%,16.5%,3.8%,5.6%,8.2%,6.7%,3.4%,9.8%,25.0%,20.4%,,9.1%,,7.9%,,,%  pupils where English not first language
66,CENSUS_21,PNUMENGFL,81.8%,87.6%,86.0%,92.6%,,97.1%,91.1%,96.2%,79.5%,89.5%,,87.9%,86.3%,80.6%,96.0%,95.3%,93.8%,94.0%,0%,82.1%,,64.7%,42.7%,36.7%,79.0%,78.2%,85.4%,80.7%,,96.4%,89.5%,88.2%,,98.3%,,61.3%,27.9%,83.5%,94.3%,93.4%,86.7%,92.9%,96.6%,90.2%,73.6%,79.1%,,90.7%,,92.0%,,,% pupils with English first language
67,CENSUS_21,PNUMUNCFL,0%,0%,0%,0%,,0%,0%,0.6%,0.3%,0%,,0%,0%,0.3%,0%,0%,0%,0%,0%,0%,,0%,0%,0.9%,0%,0%,0%,0%,,0%,0%,0%,,0%,,0%,1.5%,0%,1.9%,1.0%,5.2%,0.3%,0%,0%,1.4%,0.5%,,0.1%,,0.1%,,,% pupils where first language is unclassified
68,CENSUS_21,NUMFSM,71,150,51,84,,102,86,270,159,205,,117,63,79,98,56,211,178,0,59,,82,92,66,16,125,76,89,,128,152,38,,78,,114,31,251,479,145,185,276,446,79,464,279,,266,,341,,,No. pupils eligible for free school meals
69,CENSUS_21,NUMFSMEVER,71,170,63,83,,103,100,284,175,224,,124,73,81,94,51,227,207,,65,,87,109,66,16,129,86,98,,136,149,37,,87,,130,35,267,612,177,265,374,580,69,553,378,,349,,426,,,Number of pupils eligible for FSM at any time during the past 6 years
70,CENSUS_21,PNUMFSMEVER,21.1%,34.6%,26.8%,32.2%,,49.8%,28.7%,54.2%,45.3%,34.5%,,26.9%,35.8%,12.4%,54.0%,40.2%,49.9%,51.5%,,15.6%,,39.9%,30.4%,19.2%,7.8%,58.6%,35.0%,22.8%,,60.4%,67.7%,21.9%,,12.6%,,28.3%,8.6%,51.9%,46.5%,11.8%,22.8%,31.1%,61.1%,17.0%,49.8%,34.8%,,51.4%,,34.9%,,,Percentage of pupils eligible for FSM at any time during the past 6 years
71,CENSUS_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
72,SWF_19,LA,334,333,330,334,,330,334,334,333,333,,334,333,334,,,334,330,,334,333,,335,335,334,330,333,333,,334,330,334,,885,,333,335,333,334,330,334,334,334,334,333,333,,330,,333,,,Local Authority Number
73,SWF_19,URN,140733,103981,141206,104103,,103345,104060,135139,131212,103955,,104104,103908,104079,,,140923,134279,,104050,103924,,104170,104150,104053,139014,103945,103946,,104107,139269,143051,,137697,,131591,137797,146358,146379,137053,137008,137231,143895,142900,139918,135979,,103499,,104019,,,Unique Reference Number
74,SWF_19,NTEA,17,26,12,11,,14,17,33,14,34,,33,10,27,,,26,23,,21,9,,16,15,10,12,13,20,,15,13,9,,30,,21,18,25,82,90,74,76,64,23,69,60,,43,,87,"260,096","219,269",Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
75,SWF_19,NTEAAS,18,27,11,18,,9,16,27,21,35,,19,19,26,,,31,13,,10,8,,17,23,14,9,26,28,,11,11,9,,37,,31,21,35,18,27,15,12,26,2,26,21,,13,,33,"274,954","57,981",Total Number of Teaching Assistants (Headcount)
76,SWF_19,NNONTEA,7,7,4,6,,4,8,9,4,9,,6,2,9,,,16,6,,6,4,,3,6,2,1,4,5,,4,3,5,,4,,8,8,7,34,32,24,30,21,13,28,21,,18,,22,"91,158","84,503","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
77,SWF_19,NFTETEA,15.6,20.4,11,10.7,,11.6,16.2,27.5,13.8,30.2,,28.9,9.6,23.9,,,23.7,21.2,,17.2,8.6,,12.7,12.6,9.1,11.6,11.8,19.2,,13.3,12.4,8.8,,28.1,,20.4,16.3,23.2,81.3,83.7,69.5,72.4,60.4,20.9,68.2,59,,37.6,,82.3,"231,728","203,686",Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
78,SWF_19,NFTETEAAS,13.6,22.3,7.8,11.1,,6.5,6.9,20.6,15.9,26.8,,13.5,8.4,13.4,,,22.6,10.2,,6.7,6.6,,11.4,14.4,7.7,7.5,20.5,20.5,,9,7.2,6.2,,24.4,,22.3,14.5,28.6,16.6,20,9.5,9.1,23.2,2,20,18.1,,9.9,,24.5,"178,546","45,918",Total Number of Teaching Assistants (Full-time Equivalent)
79,SWF_19,NFTENONTEA,4.4,5.6,3.1,4.4,,2.6,5.7,8,3.8,6.7,,5,1.8,5.5,,,10.6,5.4,,4.2,3,,2.6,4.2,1.9,1,2.5,3,,3.7,2.8,3.8,,3.1,,5.2,6.6,5.7,28,27.3,19.5,27.2,18.9,9.4,27,20.3,,14,,19,61494.7,"71,228","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
80,SWF_19,RATPUPTEA,20.2,23.4,21.6,22.9,,17.2,21.7,17.5,23.0,21.5,,15.5,21.8,23.5,,,18.0,19.2,,22.7,26.0,,28.4,24.6,22.6,18.1,22.5,22.9,,15.9,19.4,16.0,,24.0,,23.4,25.1,24.1,16.4,16.5,16.3,16.3,16.4,15.5,14.0,17.1,,16.2,,14.2,20.7,16.3,Pupil:Teacher Ratio
81,SWF_19,SALARY,"£33,292","£40,574","£37,844","£38,346",,"£38,806","£36,788","£36,892","£36,690","£37,928",,"£36,752","£35,111","£36,751",,,"£36,693","£36,423",,"£37,400","£41,213",,"£37,489","£37,412","£36,946","£35,887","£36,391","£37,252",,"£39,903","£41,988","£39,612",,"£33,153",,"£38,503","£39,828","£37,084","£37,144","£41,860","£39,195","£38,648","£40,077","£36,788","£41,379","£44,356",,"£41,679",,"£40,932","£38,369","£40,571",Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
82,SWF_21,LA,334,333,330,334,,330,334,334,333,333,,334,333,334,334,334,334,330,,334,,,335,335,334,330,333,333,,334,330,334,,885,,333,335,333,334,330,334,334,334,334,333,333,,330,,333,,,Local Authority Number
83,SWF_21,URN,140733,103981,141206,104103,,103345,104060,135139,131212,103955,,104104,103908,104079,104132,104133,140923,134279,,104050,,,104170,104150,104053,139014,103945,103946,,104107,139269,143051,,137697,,131591,137797,146358,146379,137053,137008,137231,143895,142900,139918,135979,,103499,,104019,,,Unique Reference Number
84,SWF_21,NTEA,16,26,13,11,,13,18,35,18,31,,25,10,36,23,18,28,20,,24,,,16,16,11,13,13,20,,14,11,12,,33,,21,17,24,87,91,70,83,56,30,72,59,,53,,91,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
85,SWF_21,NTEAAS,18,32,8,13,,11,21,27,27,35,,19,17,27,37,48,27,13,,13,,,19,26,11,11,29,25,,11,9,5,,41,,26,19,19,26,25,10,13,0,3,21,22,,15,,28,,,Total Number of Teaching Assistants (Headcount)
86,SWF_21,NNONTEA,7,8,3,6,,4,7,8,4,9,,8,2,10,10,7,17,6,,7,,,3,6,2,2,2,6,,3,3,4,,6,,9,7,7,29,34,30,29,30,18,29,23,,20,,24,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
87,SWF_21,NFTETEA,14.6,21.2,11.2,10.6,,11.0,16.2,28.7,18.0,27.8,,21.2,9.4,29.0,19.4,15.5,25.4,18.5,,19.2,,,14.1,14.1,8.6,11.1,11.8,19.2,,12.8,10.6,10.4,,30.7,,20.4,17.0,22.6,86.4,85.2,66.7,79.4,53.8,27.2,70.6,57.4,,47.2,,83.5,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
88,SWF_21,NFTETEAAS,14.7,26.1,5.3,8.3,,7.7,11.5,20.1,20.7,26.7,,13.3,8.9,15.7,27.6,36.3,18.8,11.0,,8.0,,,11.8,16.6,5.6,7.9,23.6,18.3,,9.0,6.4,3.3,,27.4,,19.4,13.2,13.9,25.2,18.8,7.4,10.1,0.0,3.0,17.4,18.1,,10.7,,21.0,,,Total Number of Teaching Assistants (Full-time Equivalent)
89,SWF_21,NFTENONTEA,4.6,6.5,1.9,5.4,,2.6,4.5,7.0,3.8,6.1,,6.6,1.8,5.6,8.2,5.2,11.2,5.1,,4.1,,,2.8,4.6,1.9,2.0,1.6,4.1,,2.9,3.0,2.7,,3.9,,5.8,5.9,6.8,27.1,29.5,25.0,26.4,28.0,12.5,27.0,22.3,,15.3,,21.0,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
90,SWF_21,RATPUPTEA,20.8,22.2,21,22.9,,18.8,21.5,17.6,20.3,22.8,,20.8,21.7,21.5,9,7.8,17.1,21.7,,21.8,,,25.4,22.4,22.1,19.4,20,21.7,,17.3,20.8,14.3,,21.7,,21.8,24.1,22.3,15.2,17.5,17.4,15.1,17.7,15,15.7,18.9,,14.4,,14.6,,,Pupil:Teacher Ratio
91,SWF_21,SALARY,"£38,840","£41,591","£39,793","£40,768",,"£40,460","£39,809","£39,638","£38,293","£38,257",,"£41,849","£40,782","£39,112","£44,603","£40,608","£36,904","£40,010",,"£39,732",,,"£42,482","£40,748","£40,124","£41,808","£41,761","£39,311",,"£42,628","£40,232","£40,440",,"£36,258",,"£42,210","£41,298","£38,863","£41,040","£43,832","£44,517","£43,137","£43,687","£42,112","£42,002","£46,653",,"£42,231",,"£43,662",,,Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
92,SWF_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
93,CFR_19,URN,,103981,,104103,,103345,104060,135139,131212,103955,,104104,103908,104079,104132,104133,,134279,,104050,103924,,104170,104150,104053,,103945,103946,,104107,,,,,131735,131591,,,,,,,,,,,,103499,,104019,,,Unique Reference Number
94,CFR_19,LONDON/NON-LONDON,,Non-London,,Non-London,,Non-London,Non-London,Non-London,Non-London,Non-London,,Non-London,Non-London,Non-London,Non-London,Non-London,,Non-London,,Non-London,Non-London,,Non-London,Non-London,Non-London,,Non-London,Non-London,,Non-London,,,,,Non-London,Non-London,,,,,,,,,,,,Non-London,,Non-London,,,London/Non-London
95,CFR_19,MEDIAN,,Primary,,Primary,,Primary,Primary,Primary,Primary,Primary,,Primary,Primary,Primary,Special,Special,,Primary,,Primary,Primary,,Primary,Primary,Primary,,Primary,Primary,,Primary,,,,,Primary,Primary,,,,,,,,,,,,Secondary with KS4,,Secondary with KS4,Primary,Secondary with KS4,Group to compare
96,CFR_19,PUPILS,,478 ,,245 ,,200 ,352 ,482 ,317 ,651 ,,449 ,209 ,561 ,175 ,107 ,,406 ,,389 ,224 ,,361 ,310 ,206 ,,266 ,441 ,,212 ,,,,,605 ,477 ,,,,,,,,,,,,608 ,,"1,167 ",,,Number of pupils (FTE)
97,CFR_19,FSM,,23,,26,,40,17,33,33,21,,17,27,6,47,36,,38,,10,26,,22,15,5,,21,18,,46,,,,,35,21,,,,,,,,,,,,32,,22,,,Percentage of pupils eligible for Free School Meals (FSM)
98,CFR_19,FSMBAND,,Medium,,Medium,,High,Low,Medium,Medium,Medium,,Low,Medium,Low,High,High,,High,,Low,Medium,,Medium,Low,Low,,Medium,Low,,High,,,,,Medium,Medium,,,,,,,,,,,,Medium,,Medium,,,Free school meals eligibility band
99,CFR_19,GRANTFUNDING,,"5,060",,"5,201",,"5,823","4,197","5,476","5,077","4,629",,"4,775","5,591","3,871","13,094","20,510",,"5,552",,"3,664","5,613",,"4,803","5,165","4,754",,"5,822","4,509",,"6,216",,,,,"2,482","5,519",,,,,,,,,,,,"6,276",,"6,421","4,848","5,724",Grant funding (&pound; per pupil)
100,CFR_19,SELFGENERATEDINCOME,,93,,207,,436,786,81,240,117,,102,29,640,218,232,,208,,583,188,,33,163,519,,205,20,,211,,,,,48,11,,,,,,,,,,,,96,,185,188,173,Self generated income (&pound; per pupil)
101,CFR_19,TOTALINCOME,,"5,153",,"5,408",,"6,259","4,983","5,557","5,317","4,745",,"4,878","5,620","4,510","13,312","20,741",,"5,760",,"4,247","5,801",,"4,837","5,328","5,273",,"6,028","4,529",,"6,427",,,,,"2,530","5,529",,,,,,,,,,,,"6,373",,"6,607","5,081","5,928",Total income (&pound; per pupil)
102,CFR_19,TEACHINGSTAFF,,"2,109",,"2,219",,"2,841","2,167","2,551","2,079","2,017",,"2,557","2,112","1,904","5,140","6,655",,"2,383",,"2,091","1,831",,"2,292","1,720","2,016",,"2,020","1,962",,"3,099",,,,,"1,030","2,018",,,,,,,,,,,,"3,159",,"3,746","2,284","3,222",Teaching staff (&pound; per pupil)
103,CFR_19,SUPPLYTEACHERS,,94,,39,,35,5,-18,135,91,,83,70,44,165,-52,,323,,45,598,,82,262,35,,0,99,,-17,,,,,240,141,,,,,,,,,,,,18,,2,105,109,Supply Staff (&pound; per pupil)
104,CFR_19,EDUCATIONSUPPORTSTAFF,,"1,207",,"1,310",,760,524,"1,230","1,145","1,121",,854,"1,067",630,"4,428","7,931",,632,,407,834,,740,"1,160","1,209",,"2,368","1,174",,"1,168",,,,,773,"1,185",,,,,,,,,,,,351,,700,889,594,Education support staff (&pound; per pupil)
105,CFR_19,PREMISES,,431,,510,,375,436,329,357,216,,329,546,338,823,"1,345",,395,,321,440,,187,371,382,,289,268,,454,,,,,116,318,,,,,,,,,,,,260,,12,309,356,Premises (incl. Staff costs) (&pound; per pupil)
106,CFR_19,BACKOFFICE,,413,,402,,"1,532",365,380,498,503,,299,428,285,781,"1,217",,"1,044",,339,518,,357,403,369,,716,484,,330,,,,,138,470,,,,,,,,,,,,"1,593",,"1,310",413,565,Back office (incl. Staff costs) (&pound; per pupil)
107,CFR_19,CATERING,,51,,214,,170,57,253,185,161,,218,210,242,212,221,,252,,41,179,,88,290,376,,165,117,,242,,,,,53,158,,,,,,,,,,,,9,,67,190,51,Catering (incl. Staff costs) (&pound; per pupil)
108,CFR_19,OTHERSTAFF,,189,,240,,309,362,216,167,141,,182,179,387,376,574,,273,,318,266,,335,370,186,,167,116,,203,,,,,74,189,,,,,,,,,,,,73,,52,186,104,Other staff costs (&pound; per pupil)
109,CFR_19,ENERGY,,2,,62,,91,48,71,109,45,,61,58,52,124,204,,75,,56,67,,29,53,49,,60,54,,74,,,,,17,59,,,,,,,,,,,,120,,0,62,96,Energy (&pound; per pupil)
110,CFR_19,LEARNINGRESOURCES,,114,,217,,112,241,152,221,180,,147,381,151,276,464,,337,,264,264,,54,164,221,,223,102,,183,,,,,81,656,,,,,,,,,,,,193,,83,205,220,Learning resources (not ICT equipment) (&pound; per pupil)
111,CFR_19,ICT,,47,,145,,0,131,64,49,17,,158,19,116,181,371,,1,,138,137,,83,114,144,,66,28,,224,,,,,67,82,,,,,,,,,,,,1,,209,51,69,ICT learning resources (&pound; per pupil)
112,CFR_19,BOUGHTINPROFESSIONALSERVICES,,39,,107,,6,93,125,71,170,,82,127,94,291,900,,4,,93,259,,129,107,80,,4,38,,249,,,,,37,166,,,,,,,,,,,,2,,123,93,67,Bought in professional services - curriculum (&pound; per pupil)
113,CFR_19,OTHER,,133,,45,,74,195,190,184,-148,,68,106,118,104,89,,72,,122,103,,63,-134,80,,124,103,,52,,,,,49,176,,,,,,,,,,,,190,,97,100,213,Other expenditure (&pound; per pupil)
114,CFR_19,TOTALEXPENDITURE,,"4,830",,"5,511",,"6,307","4,623","5,543","5,201","4,516",,"5,037","5,304","4,361","12,902","19,918",,"5,790",,"4,234","5,497",,"4,441","4,879","5,147",,"6,199","4,547",,"6,260",,,,,"2,676","5,618",,,,,,,,,,,,"5,968",,"6,402","5,034","5,891",Total expenditure (&pound; per pupil)
115,CFR_19,T1415CAT1,,"3,132",,"3,247",,"3,314","2,003","3,191","3,336","2,976",,"3,105","3,373","2,376","9,894","15,677",,"2,621",,"2,326","3,062",,"2,966","2,793","2,852",,"4,086","2,827",,"3,438",,,,,"3,182","2,900",,,,,,,,,,,,"3,968",,"4,102","2,927","3,825",
116,CFR_19,T1415CAT2,,198,,191,,45,381,244,380,101,,153,42,94,695,340,,389,,192,143,,268,152,103,,67,209,,246,,,,,147,139,,,,,,,,,,,,188,,14,133,124,
117,CFR_19,T1415CAT3,,414,,302,,"1,423",334,285,570,391,,292,449,253,"2,070","3,196",,"1,111",,295,651,,294,467,302,,585,362,,403,,,,,248,456,,,,,,,,,,,,"1,764",,334,366,544,
118,CFR_19,T1415CAT4,,1,,63,,67,40,99,136,50,,61,70,61,141,250,,61,,59,74,,30,58,61,,67,64,,68,,,,,79,121,,,,,,,,,,,,175,,0,61,99,
119,CFR_19,T1415CAT5,,"5,006",,"5,102",,"5,679","3,948","4,890","6,126","4,699",,"4,608","5,254","3,984","14,811","23,746",,"5,558",,"4,012","5,447",,"4,829","4,723","4,864",,"5,969","4,387",,"5,770",,,,,"4,839","5,038",,,,,,,,,,,,"7,032",,"6,485","4,645","5,944",
120,CFR_19,T1415SUM,,1261,,1299,,830,1190,1071,1704,1181,,997,1320,1200,2011,4283,,1376,,1140,1517,,1271,1253,1546,,1164,925,,1615,,,,,1183,1422,,,,,,,,,,,,937,,2035,,,
121,CFR_19,T1415CAT1LA,,"3,060",,"3,105",,"3,004","2,645","3,263","3,060","3,060",,"3,105","3,060","2,645","9,894","15,677",,"3,202",,"2,645","3,060",,"3,054","3,054","2,645",,"3,060","2,957",,"3,263",,,,,"3,086","3,060",,,,,,,,,,,,"3,874",,"3,813",,,
122,CFR_19,T1415CAT2LA,,171,,153,,194,120,218,171,171,,153,171,120,695,340,,184,,120,171,,194,194,120,,171,95,,218,,,,,184,171,,,,,,,,,,,,106,,157,,,
123,CFR_19,T1415CAT3LA,,377,,336,,323,319,344,377,377,,336,377,319,761,"1,429",,358,,319,377,,472,472,319,,377,339,,344,,,,,341,377,,,,,,,,,,,,461,,481,,,
124,CFR_19,T1415CAT4LA,,70,,61,,58,58,72,70,70,,61,70,58,141,250,,72,,58,70,,66,66,58,,70,64,,72,,,,,74,70,,,,,,,,,,,,89,,28,,,
125,CFR_19,T1415CAT5LA,,"5,113",,"4,699",,"5,210","4,259","5,324","5,113","5,113",,"4,699","5,113","4,259","14,811","23,666",,"5,758",,"4,259","5,113",,"5,232","5,232","4,259",,"5,113","4,712",,"5,324",,,,,"4,922","5,113",,,,,,,,,,,,"6,538",,"6,127",,,
126,CFR_19,T1516CAT1,,"3,548",,"3,125",,"3,415","2,115","2,928","3,552","3,126",,"3,145","3,591","2,238","10,440",SUPP,,"2,547",,"2,336","2,957",,"3,050","2,856","2,689",,SUPP,"2,910",,"3,339",,,,,"3,212","3,134",,,,,,,,,,,,"3,962",,"4,260","2,976","3,857",
127,CFR_19,T1516CAT2,,24,,62,,108,287,250,334,166,,119,32,94,113,222,,304,,161,153,,240,190,9,,2,128,,334,,,,,289,126,,,,,,,,,,,,200,,29,126,122,
128,CFR_19,T1516CAT3,,430,,339,,"1,312",328,275,629,415,,265,508,242,"2,154","3,273",,"1,198",,309,702,,268,362,297,,530,436,,399,,,,,270,544,,,,,,,,,,,,"1,695",,330,377,545,
129,CFR_19,T1516CAT4,,2,,53,,58,46,83,111,52,,64,62,52,149,252,,45,,56,54,,53,66,50,,61,59,,73,,,,,67,111,,,,,,,,,,,,85,,0,58,97,
130,CFR_19,T1516CAT5,,"5,170",,"4,906",,"5,853","4,069","4,693","6,107","5,095",,"4,516","5,382","3,934","14,616","22,678",,"5,108",,"3,897","5,503",,"4,622","5,031","4,644",,"5,668","4,461",,"6,214",,,,,"5,243","5,931",,,,,,,,,,,,"6,857",,"6,472","4,777","6,013",
131,CFR_19,T1516SUM,,1166,,1327,,960,1293,1157,1481,1336,,923,1189,1308,1760,18931,,1014,,1035,1637,,1011,1557,1599,,5075,928,,2069,,,,,1405,2016,,,,,,,,,,,,915,,1853,,,
132,CFR_19,T1516CAT1LA,,"3,148",,"3,122",,"3,120","2,638","3,310","3,148","3,148",,"3,122","3,148","2,638","10,440","15,557",,"3,347",,"2,638","3,148",,"3,104","2,961","2,638",,"3,148","3,085",,"3,310",,,,,"3,056","3,148",,,,,,,,,,,,"3,909",,"3,855",,,
133,CFR_19,T1516CAT2LA,,157,,65,,200,92,185,157,157,,65,157,92,113,178,,173,,92,157,,156,103,92,,157,103,,185,,,,,239,157,,,,,,,,,,,,115,,205,,,
134,CFR_19,T1516CAT3LA,,413,,354,,859,337,399,413,413,,354,413,337,"2,154","1,615",,911,,337,413,,359,317,337,,413,402,,399,,,,,301,413,,,,,,,,,,,,"1,181",,430,,,
135,CFR_19,T1516CAT4LA,,62,,59,,59,58,80,62,62,,59,62,58,149,252,,60,,58,62,,60,63,58,,62,60,,80,,,,,67,62,,,,,,,,,,,,94,,34,,,
136,CFR_19,T1516CAT5LA,,"5,117",,"4,814",,"5,323","4,343","4,932","5,117","5,117",,"4,814","5,117","4,343","14,616","22,678",,"5,854",,"4,343","5,117",,"5,185","4,627","4,343",,"5,117","4,784",,"4,932",,,,,"4,870","5,117",,,,,,,,,,,,"6,391",,"5,961",,,
137,CFR_19,T1617CAT1,,3236,,3081,,3677,2546,3216,3719,3108,,3196,3416,2368,11111,15785,,2811,,2586,2861,,3112,2687,2444,,3752,2870,,3803,,,,,3306,3180,,,,,,,,,,,,3869,,4570,"3,042","3,919",
138,CFR_19,T1617CAT2,,95,,60,,15,167,121,287,177,,15,41,92,262,223,,269,,67,391,,320,225,102,,0,107,,123,,,,,305,115,,,,,,,,,,,,75,,12,117,119,
139,CFR_19,T1617CAT3,,380,,371,,1254,383,266,552,469,,269,400,241,775,1076,,1195,,327,583,,327,326,266,,558,361,,373,,,,,275,431,,,,,,,,,,,,1640,,413,384,545,
140,CFR_19,T1617CAT4,,2,,33,,74,38,71,115,44,,51,54,54,112,179,,79,,46,56,,26,6,30,,31,47,,56,,,,,47,63,,,,,,,,,,,,215,,0,55,94,
141,CFR_19,T1617CAT5,,4832,,5143,,6375,4321,4862,6183,4927,,4492,5230,4211,14248,21116,,5519,,4168,5452,,4700,4600,4139,,5395,4119,,6074,,,,,5043,5337,,,,,,,,,,,,6685,,6692,"4,814","6,017",
142,CFR_19,T1617SUM,,1119,,1598,,1355,1187,1188,1510,1129,,961,1319,1456,1988,3853,,1165,,1142,1561,,915,1356,1297,,1054,734,,1719,,,,,1110,1548,,,,,,,,,,,,886,,1697,,,
143,CFR_19,T1617CAT1LA,,"3,170",,"3,092",,"3,089","2,616","3,300","3,170","3,170",,"3,092","3,170","2,616","11,112","15,642",,"3,406",,"2,616","3,170",,"3,133","2,814","2,616",,"3,170","3,029",,"3,300",,,,,"3,334","3,170",,,,,,,,,,,,"3,825",,"4,096",,,
144,CFR_19,T1617CAT2LA,,150,,61,,203,92,111,150,150,,61,150,92,262,223,,201,,92,150,,163,95,92,,150,105,,111,,,,,203,150,,,,,,,,,,,,102,,202,,,
145,CFR_19,T1617CAT3LA,,5011,,5342,,6335,4463,4837,6100,4942,,4527,5334,4359,13693,21460,,5636,,4266,5074,,4604,4450,4186,,5470,4369,,5900,,,,,4966,5275,,,,,,,,,,,,6459,,6691,,,
146,CFR_19,T1617CAT4LA,,1176,,901,,899,519,1056,1290,1187,,882,1088,548,5244,8869,,628,,522,1108,,670,920,694,,2062,943,,1230,,,,,1441,1024,,,,,,,,,,,,352,,822,,,
147,CFR_19,T1617CAT5LA,,2,,33,,74,38,71,115,44,,51,54,54,112,179,,79,,46,56,,26,6,30,,31,47,,56,,,,,47,63,,,,,,,,,,,,215,,0,,,
148,CFR_19,T1718CAT1,,"3,241 ",,"3,430 ",,"3,661 ","2,643 ","3,459 ","3,401 ","3,179 ",,"3,316 ","3,141 ","2,412 ","9,566 ","15,353 ",,"2,683 ",,"2,681 ","2,836 ",,"2,761 ","3,032 ","2,945 ",,"4,455 ","3,165 ",,"4,087 ",,,,,"3,424 ","3,006 ",,,,,,,,,,,,"3,533 ",,"4,521 ","3,078","3,817",
149,CFR_19,T1718CAT2,,110 ,,54 ,,139 ,66 ,2 ,142 ,129 ,,50 ,166 ,70 ,229 ,78 ,,496 ,,45 ,"1,190 ",,382 ,313 ,48 ,,-   ,70 ,,53 ,,,,,498 ,74 ,,,,,,,,,,,,152 ,,29 ,106,114,
150,CFR_19,T1718CAT3,,409 ,,374 ,,"1,643 ",382 ,286 ,518 ,501 ,,273 ,541 ,284 ,725 ,"1,175 ",,"1,278 ",,365 ,418 ,,339 ,409 ,304 ,,660 ,368 ,,348 ,,,,,205 ,447 ,,,,,,,,,,,,"1,631 ",,436 ,392,542,
151,CFR_19,T1718CAT4,,2 ,,58 ,,68 ,45 ,53 ,93 ,41 ,,41 ,62 ,39 ,102 ,174 ,,97 ,,36 ,65 ,,31 ,97 ,44 ,,102 ,57 ,,68 ,,,,,44 ,44 ,,,,,,,,,,,,75 ,,-   ,58,91,
