No,Namespace,Variable,James Watt Primary School - 134102,Norfolk House School - 103572,Cannon Hill House 14 Russell Road - 103588,Deykin Avenue Junior and Infant School - 103313,Oasis Academy Boulton - 139242,Grove School - 103392,Bordesley Green Primary School - 103172,Arden Primary School - 103324,Anderton Park Primary School - 103192,St Benedict's Primary School - 103261,Holy Family Catholic Primary School - 103421,Birmingham Muslim School - 133521,Ark Victoria Academy - 141752,St Martin de Porres Catholic Primary School - 103467,The Blue Coat School Birmingham - 103580,Starbank School - 147757,Starbank  School - 103258,English Martyrs' Catholic Primary School - 103425,Chad Vale Primary School - 103332,Greet Primary School - 143090,Shireland Hall Primary Academy - 139875,William Murdoch Primary School - 103317,Wilkes Green Infant School (NC) - 103308,Slade Primary School - 138590,St John's CofE Primary School - 139173,Cape Primary School - 103937,Alston Primary School - 140656,George Dixon Primary School - 103200,St Teresa's Catholic Primary School - 103456,Sladefield Infant School - 103255,Woodbourne Hospital School - 142623,Hamilton School - 103600,King David Primary School - 103444,Waverley School - 142219,Ark Boulton Academy - 140014,King Edward VI Handsworth Grammar School for Boys - 143562,Green Oak Academy - 131164,Spring Hill High School - 134982,Harborne Academy - 136213,Myles Academy - 148644,"Eden Boys' School, Birmingham - 141969",Waverley Studio College - 139788,King Edward's School - 103584,Saltley Academy - 141668,King Edward VI High School for Girls - 103585,V.A.S.E Academy - 147702,King Edward VI Handsworth Wood Girls' Academy - 138937,Prince Albert High School - 148553,George Dixon Academy - 138695,Holyhead School - 137034,National state-funded primary,National state-funded secondary and 16 to 18,Description
63,CENSUS_21,NUMENGFL,80,0,0,49,63,202,57,207,105,15,74,,229,158,0,519,,89,266,275,239,167,,248,77,248,68,180,143,212,0,71,129,661,210,644,0,0,394,,319,87,0,452,0,0,385,,315,368,,,No. pupils with English first language
64,CENSUS_21,NUMUNCFL,2,0,0,0,0,0,2,0,1,0,0,,9,0,0,28,,0,0,0,0,0,,0,0,0,0,7,1,0,0,1,7,33,8,6,0,0,1,,2,0,0,44,0,0,18,,1,0,,,No. pupils where first language is unclassified
65,CENSUS_21,PNUMEAL,81.7%,0%,0%,76.3%,74.2%,70.9%,91.3%,70.2%,77.5%,96.3%,65.9%,,84.7%,23.3%,0%,75.1%,,77.1%,36.8%,68.5%,64.4%,75.4%,,45.9%,84.1%,58.7%,89.6%,52.8%,31.4%,40.6%,0%,40.5%,41.6%,59.0%,75.9%,38.3%,0%,0%,34.2%,,46.6%,55.2%,0%,58.4%,0%,0%,58.5%,,67.4%,71.2%,,,%  pupils where English not first language
66,CENSUS_21,PNUMENGFL,17.8%,0%,0%,23.7%,25.8%,29.1%,8.4%,29.8%,22.3%,3.7%,34.1%,,14.7%,76.7%,0%,23.6%,,22.9%,63.2%,31.5%,35.6%,24.6%,,54.1%,15.9%,41.3%,10.4%,45.5%,68.1%,59.4%,0%,58.7%,55.4%,39.1%,23.2%,61.2%,0%,0%,65.7%,,53.1%,44.8%,0%,37.9%,0%,0%,39.6%,,32.5%,28.8%,,,% pupils with English first language
67,CENSUS_21,PNUMUNCFL,0.4%,0%,0%,0%,0%,0%,0.3%,0%,0.2%,0%,0%,,0.6%,0%,0%,1.3%,,0%,0%,0%,0%,0%,,0%,0%,0%,0%,1.8%,0.5%,0%,0%,0.8%,3.0%,2.0%,0.9%,0.6%,0%,0%,0.2%,,0.3%,0%,0%,3.7%,0%,0%,1.9%,,0.1%,0%,,,% pupils where first language is unclassified
68,CENSUS_21,NUMFSM,174,0,0,82,81,213,242,232,199,157,87,,496,62,0,665,,125,47,277,177,275,,183,108,180,282,193,38,117,0,76,72,662,477,133,0,0,263,,172,61,0,418,0,0,340,,467,542,,,No. pupils eligible for free school meals
69,CENSUS_21,NUMFSMEVER,167,,,91,85,247,265,270,213,155,81,,640,72,,996,,136,56,293,196,305,,185,125,197,293,203,42,126,,78,73,815,565,112,,,413,,238,71,,572,,,386,,591,633,,,Number of pupils eligible for FSM at any time during the past 6 years
70,CENSUS_21,PNUMFSMEVER,37.2%,,,44.0%,34.8%,35.5%,39.0%,38.8%,45.2%,38.2%,37.3%,,41.1%,35.0%,,45.4%,,35.0%,13.3%,33.6%,29.2%,44.9%,,40.4%,25.9%,32.8%,44.7%,51.3%,20.0%,35.3%,,64.5%,31.3%,48.2%,62.4%,10.6%,,,68.8%,,39.6%,36.6%,,47.9%,,,39.8%,,61.1%,49.5%,,,Percentage of pupils eligible for FSM at any time during the past 6 years
71,CENSUS_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
72,SWF_19,LA,330,,,330,330,330,330,330,330,330,330,,330,330,,,330,330,330,330,333,330,330,330,330,333,330,330,330,330,,,330,330,330,330,,,330,,330,330,,330,,,330,,330,330,,,Local Authority Number
73,SWF_19,URN,134102,,,103313,139242,103392,103172,103324,103192,103261,103421,,141752,103467,,,103258,103425,103332,143090,139875,103317,103308,138590,139173,103937,140656,103200,103456,103255,,,103444,142219,140014,143562,,,136213,,141969,139788,,141668,,,138937,,138695,137034,,,Unique Reference Number
74,SWF_19,NTEA,21,,,10,5,43,35,28,34,24,15,,NA,12,,,136,20,20,58,34,21,8,20,27,30,30,25,8,18,,,14,118,64,63,,,41,,38,17,,82,,,64,,75,91,"260,096","219,269",Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
75,SWF_19,NTEAAS,18,,,8,6,19,30,37,23,24,8,,NA,7,,,82,19,14,33,54,7,18,24,17,37,33,17,9,15,,,9,43,19,5,,,8,,1,5,,19,,,11,,10,10,"274,954","57,981",Total Number of Teaching Assistants (Headcount)
76,SWF_19,NNONTEA,5,,,4,1,6,6,4,11,5,7,,NA,4,,,33,4,3,22,10,5,5,6,8,10,8,3,2,4,,,3,40,24,21,,,21,,11,4,,35,,,21,,24,35,"91,158","84,503","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
77,SWF_19,NFTETEA,20,,,9.6,5,39.8,33,26.2,32.2,22.2,12.6,,NA,9.6,,,126,19.6,18.8,50.1,29.6,20.2,7.9,19,21.9,27.8,28,23.6,8,16.6,,,11.7,111.2,63.8,60.5,,,40.6,,32.9,15.1,,76,,,61.8,,74,87.9,"231,728","203,686",Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
78,SWF_19,NFTETEAAS,14.5,,,6.9,5.4,16.4,22.7,30.7,17.3,18.7,6.2,,NA,5.6,,,67.6,14.7,12.7,24.4,41.5,5.9,15.5,18.7,13.5,30,26,15,6.3,12.3,,,7.2,39.3,19,4.8,,,8,,1,4.9,,15,,,9.6,,9.9,9.9,"178,546","45,918",Total Number of Teaching Assistants (Full-time Equivalent)
79,SWF_19,NFTENONTEA,4.3,,,2.9,1,5.6,5.6,3.8,9.8,4.8,3,,NA,3.2,,,30.3,4,3,18.5,8.7,5,3.1,3.7,5.9,9.2,7.8,3,1.5,3.6,,,2.9,36.6,24,19.2,,,20.3,,8.9,3.6,,32.9,,,20.7,,21.7,33.2,61494.7,"71,228","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
80,SWF_19,RATPUPTEA,22.7,,,22.0,47.1,16.6,21.6,25.3,19.8,14.9,20.3,,NA,21.0,,,17.2,21.2,22.4,17.0,22.3,17.6,38.7,23.1,20.8,22.6,23.0,16.7,26.0,21.6,,,19.0,15.1,14.0,17.1,,,15.6,,14.8,15.6,,14.4,,,14.8,,12.6,15.0,20.7,16.3,Pupil:Teacher Ratio
81,SWF_19,SALARY,"£40,862",,,"£42,525","£43,327","£38,099","£41,666","£39,873","£37,943","£40,520","£38,449",,NA,"£39,832",,,"£35,838","£37,116","£40,685","£41,359","£40,914","£37,090","£34,369","£34,301","£37,917","£37,592","£37,129","£34,722","£43,870","£39,786",,,"£37,618","£36,499","£37,235","£35,753",,,"£43,845",,"£36,834","£37,046",,"£41,587",,,"£42,747",,"£42,709","£37,565","£38,369","£40,571",Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
82,SWF_21,LA,330,,,330,330,330,330,330,330,330,330,,330,330,,,,330,330,330,333,330,,330,330,333,330,330,330,330,,330,330,330,330,330,,,330,,330,330,,330,,,330,,330,330,,,Local Authority Number
83,SWF_21,URN,134102,,,103313,139242,103392,103172,103324,103192,103261,103421,,141752,103467,,,,103425,103332,143090,139875,103317,,138590,139173,103937,140656,103200,103456,103255,,103600,103444,142219,140014,143562,,,136213,,141969,139788,,141668,,,138937,,138695,137034,,,Unique Reference Number
84,SWF_21,NTEA,25,,,11,12,38,33,31,25,25,14,,74,12,,,,21,21,48,34,27,,23,25,32,29,25,10,16,,17,14,130,63,56,,,43,,47,21,,96,,,63,,81,67,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
85,SWF_21,NTEAAS,17,,,8,10,14,31,34,13,13,11,,28,9,,,,17,13,26,47,9,,21,17,28,31,18,6,14,,46,9,47,9,5,,,9,,1,6,,27,,,5,,8,11,,,Total Number of Teaching Assistants (Headcount)
86,SWF_21,NNONTEA,7,,,5,4,6,7,5,9,5,7,,18,4,,,,3,4,12,11,7,,5,9,9,9,4,2,6,,10,3,41,22,24,,,23,,15,4,,30,,,20,,23,31,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
87,SWF_21,NFTETEA,19.6,,,9.9,12.0,35.0,30.6,28.8,23.0,23.2,11.3,,71.9,9.0,,,,20.6,19.6,40.3,31.7,26.2,,21.0,22.3,31.2,28.3,22.8,10.0,15.3,,16.1,12.4,120.2,62.5,53.9,,,42.3,,44.5,19.9,,87.4,,,61.6,,79.4,64.2,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
88,SWF_21,NFTETEAAS,13.1,,,6.9,6.5,11.9,24.3,28.1,9.0,9.5,7.2,,23.7,6.4,,,,13.4,11.8,17.9,36.3,8.0,,15.3,13.9,22.2,24.5,16.0,4.7,11.3,,38.7,7.0,43.6,9.0,4.8,,,8.9,,1.0,6.0,,22.3,,,4.1,,7.7,10.4,,,Total Number of Teaching Assistants (Full-time Equivalent)
89,SWF_21,NFTENONTEA,6.8,,,3.4,4.0,5.8,6.1,4.8,8.2,4.8,3.5,,16.9,3.3,,,,3.0,3.1,9.8,8.3,7.0,,4.1,6.6,8.1,8.4,4.0,1.5,4.9,,8.2,2.9,37.8,22.0,22.2,,,22.5,,12.8,3.6,,27.9,,,20.0,,21.7,27.7,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
90,SWF_21,RATPUPTEA,21.7,,,20.9,18.9,18.9,21.4,23,20,16.9,19.2,,21.3,22.9,,,,18.9,21.5,20.3,20.5,24.7,,21,20.3,18.7,22.5,17.4,21,23.4,,7.5,18.1,14.1,14.5,19.5,,,14.2,,13.5,9.7,,13.7,,,15.8,,12.2,19.9,,,Pupil:Teacher Ratio
91,SWF_21,SALARY,"£43,617",,,"£43,047","£39,811","£40,506","£44,107","£41,517","£41,250","£43,357","£42,248",,"£37,017","£41,882",,,,"£38,695","£43,065","£40,221","£39,889","£38,076",,"£36,992","£39,929","£38,705","£39,990","£39,369","£44,894","£44,592",,"£40,224","£40,674","£40,133","£36,853","£42,111",,,"£43,455",,"£38,716","£41,329",,"£42,419",,,"£45,574",,"£44,809","£41,065",,,Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
92,SWF_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
93,CFR_19,URN,134102,,,103313,,103392,103172,103324,103192,103261,103421,,,103467,,,103258,103425,103332,,,103317,103308,,,103937,,103200,103456,103255,,103600,103444,,,,,,,,,,,,,,,,,,,,Unique Reference Number
94,CFR_19,LONDON/NON-LONDON,Non-London,,,Non-London,,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,,,Non-London,,,Non-London,Non-London,Non-London,,,Non-London,Non-London,,,Non-London,,Non-London,Non-London,Non-London,,Non-London,Non-London,,,,,,,,,,,,,,,,,,,,London/Non-London
95,CFR_19,MEDIAN,Primary,,,Primary,,Primary,Primary,Primary,Primary,Primary,Primary,,,Primary,,,Secondary with KS4,Primary,Primary,,,Primary,Primary,,,Primary,,Primary,Primary,Primary,,Special,Primary,,,,,,,,,,,,,,,,,,Primary,Secondary with KS4,Group to compare
96,CFR_19,PUPILS,455 ,,,211 ,,661 ,713 ,664 ,639 ,331 ,256 ,,,202 ,,,"2,164 ",416 ,421 ,,,355 ,305 ,,,628 ,,393 ,208 ,359 ,,122 ,223 ,,,,,,,,,,,,,,,,,,,,Number of pupils (FTE)
97,CFR_19,FSM,35,,,29,,27,21,32,28,21,24,,,22,,,30,20,9,,,31,22,,,24,,45,7,27,,55,16,,,,,,,,,,,,,,,,,,,,Percentage of pupils eligible for Free School Meals (FSM)
98,CFR_19,FSMBAND,Medium,,,Medium,,Medium,Medium,Medium,Medium,Medium,Medium,,,Medium,,,Medium,Low,Low,,,Medium,Medium,,,Medium,,High,Low,Medium,,High,Low,,,,,,,,,,,,,,,,,,,,Free school meals eligibility band
99,CFR_19,GRANTFUNDING,"5,446",,,"5,597",,"5,503","4,961","5,279","5,297","6,015","5,451",,,"5,113",,,"5,482","5,000","4,718",,,"5,245","5,737",,,"5,495",,"5,690","5,072","5,267",,"21,155","4,982",,,,,,,,,,,,,,,,,,"4,848","5,724",Grant funding (&pound; per pupil)
100,CFR_19,SELFGENERATEDINCOME,243,,,139,,53,91,105,143,33,61,,,281,,,70,253,419,,,401,29,,,42,,79,308,50,,428,621,,,,,,,,,,,,,,,,,,188,173,Self generated income (&pound; per pupil)
101,CFR_19,TOTALINCOME,"5,689",,,"5,735",,"5,556","5,052","5,384","5,440","6,049","5,512",,,"5,394",,,"5,553","5,253","5,137",,,"5,647","5,766",,,"5,536",,"5,770","5,380","5,317",,"21,584","5,603",,,,,,,,,,,,,,,,,,"5,081","5,928",Total income (&pound; per pupil)
102,CFR_19,TEACHINGSTAFF,"2,195",,,"2,450",,"2,275","2,452","2,073","2,483","3,405","2,432",,,"2,459",,,"2,229","2,142","2,296",,,"2,653","1,608",,,"2,061",,"2,492","1,973","2,181",,"5,169","2,458",,,,,,,,,,,,,,,,,,"2,284","3,222",Teaching staff (&pound; per pupil)
103,CFR_19,SUPPLYTEACHERS,221,,,183,,349,165,213,152,114,120,,,17,,,619,266,375,,,192,396,,,116,,117,539,127,,0,232,,,,,,,,,,,,,,,,,,105,109,Supply Staff (&pound; per pupil)
104,CFR_19,EDUCATIONSUPPORTSTAFF,903,,,"1,147",,623,839,"1,309","1,061","1,506",994,,,859,,,674,"1,035",702,,,489,"1,375",,,"1,414",,840,961,"1,078",,"8,328",944,,,,,,,,,,,,,,,,,,889,594,Education support staff (&pound; per pupil)
105,CFR_19,PREMISES,476,,,387,,459,220,35,371,316,314,,,177,,,406,297,311,,,525,232,,,374,,116,324,226,,732,206,,,,,,,,,,,,,,,,,,309,356,Premises (incl. Staff costs) (&pound; per pupil)
106,CFR_19,BACKOFFICE,631,,,720,,"1,090",496,860,681,928,730,,,"1,117",,,838,386,789,,,819,"1,460",,,453,,"1,074",622,524,,"4,959","1,041",,,,,,,,,,,,,,,,,,413,565,Back office (incl. Staff costs) (&pound; per pupil)
107,CFR_19,CATERING,224,,,370,,0,117,132,202,545,335,,,355,,,49,421,208,,,316,0,,,209,,325,381,400,,-176,50,,,,,,,,,,,,,,,,,,190,51,Catering (incl. Staff costs) (&pound; per pupil)
108,CFR_19,OTHERSTAFF,181,,,112,,241,142,220,240,194,184,,,121,,,166,128,113,,,153,187,,,205,,65,96,212,,"1,030",229,,,,,,,,,,,,,,,,,,186,104,Other staff costs (&pound; per pupil)
109,CFR_19,ENERGY,64,,,65,,73,62,83,98,88,62,,,96,,,81,65,64,,,63,152,,,46,,66,58,60,,164,99,,,,,,,,,,,,,,,,,,62,96,Energy (&pound; per pupil)
110,CFR_19,LEARNINGRESOURCES,122,,,181,,294,109,102,124,153,230,,,141,,,203,305,200,,,266,293,,,415,,169,184,241,,575,208,,,,,,,,,,,,,,,,,,205,220,Learning resources (not ICT equipment) (&pound; per pupil)
111,CFR_19,ICT,87,,,0,,19,122,17,36,3,35,,,0,,,37,22,28,,,249,0,,,80,,10,25,17,,14,8,,,,,,,,,,,,,,,,,,51,69,ICT learning resources (&pound; per pupil)
112,CFR_19,BOUGHTINPROFESSIONALSERVICES,49,,,9,,178,52,1,0,61,1,,,26,,,30,102,0,,,74,4,,,106,,4,1,5,,10,4,,,,,,,,,,,,,,,,,,93,67,Bought in professional services - curriculum (&pound; per pupil)
113,CFR_19,OTHER,93,,,80,,84,70,162,105,125,44,,,15,,,137,38,101,,,76,63,,,68,,61,34,73,,23,102,,,,,,,,,,,,,,,,,,100,213,Other expenditure (&pound; per pupil)
114,CFR_19,TOTALEXPENDITURE,"5,245",,,"5,703",,"5,683","4,844","5,207","5,553","7,440","5,481",,,"5,383",,,"5,468","5,209","5,188",,,"5,875","5,772",,,"5,545",,"5,339","5,199","5,144",,"20,826","5,582",,,,,,,,,,,,,,,,,,"5,034","5,891",Total expenditure (&pound; per pupil)
115,CFR_19,T1415CAT1,"2,844",,,"3,612",,"2,365","3,226","3,414","2,967","3,398","3,423",,,"2,979",,,"2,671","2,934",SUPP,,,SUPP,"3,202",,,"3,006",,"2,385","2,787","3,049",,"14,067","3,289",,,,,,,,,,,,,,,,,,"2,927","3,825",
116,CFR_19,T1415CAT2,249,,,86,,285,321,150,227,433,127,,,173,,,529,68,220,,,194,96,,,228,,481,506,321,,0,220,,,,,,,,,,,,,,,,,,133,124,
117,CFR_19,T1415CAT3,551,,,"1,802",,"1,356",619,"1,031","1,045",781,903,,,839,,,872,879,779,,,771,944,,,243,,"1,589",563,572,,"4,525",806,,,,,,,,,,,,,,,,,,366,544,
118,CFR_19,T1415CAT4,77,,,57,,51,47,116,76,48,61,,,80,,,114,52,61,,,37,53,,,55,,137,61,51,,168,90,,,,,,,,,,,,,,,,,,61,99,
119,CFR_19,T1415CAT5,"5,343",,,"6,465",,"5,093","4,935","5,487","5,267","5,545","5,570",,,"4,989",,,"5,068","5,210","4,764",,,"4,520","5,428",,,"4,807",,"5,097","5,015","5,088",,"21,279","5,909",,,,,,,,,,,,,,,,,,"4,645","5,944",
120,CFR_19,T1415SUM,1622,,,908,,1036,722,776,952,885,1056,,,918,,,882,1277,3704,,,3518,1133,,,1275,,505,1098,1095,,2519,1504,,,,,,,,,,,,,,,,,,,,
121,CFR_19,T1415CAT1LA,"3,004",,,"2,834",,"3,004","3,004","3,202","3,004","3,004","2,834",,,"3,004",,,"3,919","3,004","2,834",,,"3,004","3,202",,,"3,060",,"3,202","2,834","3,004",,"14,442","2,834",,,,,,,,,,,,,,,,,,,,
122,CFR_19,T1415CAT2LA,194,,,118,,194,194,184,194,194,118,,,194,,,126,194,118,,,194,184,,,171,,184,118,194,,414,118,,,,,,,,,,,,,,,,,,,,
123,CFR_19,T1415CAT3LA,323,,,308,,323,323,358,323,323,308,,,323,,,387,323,308,,,323,358,,,377,,358,308,323,,"1,169",308,,,,,,,,,,,,,,,,,,,,
124,CFR_19,T1415CAT4LA,58,,,56,,58,58,72,58,58,56,,,58,,,110,58,56,,,58,72,,,70,,72,56,58,,178,56,,,,,,,,,,,,,,,,,,,,
125,CFR_19,T1415CAT5LA,"5,210",,,"4,747",,"5,210","5,210","5,758","5,210","5,210","4,747",,,"5,210",,,"7,456","5,210","4,747",,,"5,210","5,758",,,"5,113",,"5,758","4,747","5,210",,"22,905","4,747",,,,,,,,,,,,,,,,,,,,
126,CFR_19,T1516CAT1,"2,907",,,"3,614",,"2,437","3,215","3,640","2,871","3,415","3,192",,,"3,319",,,"2,630","3,064","2,857",,,"2,368","3,381",,,"3,005",,SUPP,SUPP,"3,126",,"14,726","3,249",,,,,,,,,,,,,,,,,,"2,976","3,857",
127,CFR_19,T1516CAT2,211,,,136,,380,347,150,190,465,183,,,122,,,669,404,188,,,297,165,,,236,,565,391,481,,0,248,,,,,,,,,,,,,,,,,,126,122,
128,CFR_19,T1516CAT3,589,,,867,,"1,170",637,763,"1,205",546,877,,,936,,,596,481,746,,,243,448,,,324,,529,548,559,,"4,081",696,,,,,,,,,,,,,,,,,,377,545,
129,CFR_19,T1516CAT4,71,,,47,,62,45,110,89,39,45,,,71,,,78,46,60,,,42,76,,,62,,33,61,67,,133,64,,,,,,,,,,,,,,,,,,58,97,
130,CFR_19,T1516CAT5,"5,153",,,"5,727",,"4,879","5,303","5,453","5,362","5,676","5,425",,,"5,407",,,"4,981","5,947","4,885",,,"4,320","5,680",,,"5,139",,"5,943","4,610","5,553",,"22,102","5,310",,,,,,,,,,,,,,,,,,"4,777","6,013",
131,CFR_19,T1516SUM,1375,,,1063,,830,1059,790,1007,1211,1128,,,959,,,1008,1952,1034,,,1370,1610,,,1512,,4816,3610,1320,,3162,1053,,,,,,,,,,,,,,,,,,,,
132,CFR_19,T1516CAT1LA,"3,120",,,"2,902",,"3,120","3,120","3,120","3,120","2,902","2,902",,,"3,120",,,"3,792","2,902","2,902",,,"3,120","3,347",,,"3,148",,"3,347","2,902","3,120",,"14,439","2,902",,,,,,,,,,,,,,,,,,,,
133,CFR_19,T1516CAT2LA,200,,,122,,200,200,200,200,122,122,,,200,,,154,122,122,,,200,173,,,157,,173,122,200,,392,122,,,,,,,,,,,,,,,,,,,,
134,CFR_19,T1516CAT3LA,859,,,685,,859,859,859,859,685,685,,,859,,,"1,825",685,685,,,859,911,,,413,,911,685,859,,"4,004",685,,,,,,,,,,,,,,,,,,,,
135,CFR_19,T1516CAT4LA,59,,,52,,59,59,59,59,52,52,,,59,,,96,52,52,,,59,60,,,62,,60,52,59,,175,52,,,,,,,,,,,,,,,,,,,,
136,CFR_19,T1516CAT5LA,"5,323",,,"4,789",,"5,323","5,323","5,323","5,323","4,789","4,789",,,"5,323",,,"7,198","4,789","4,789",,,"5,323","5,854",,,"5,117",,"5,854","4,789","5,323",,"22,032","4,789",,,,,,,,,,,,,,,,,,,,
137,CFR_19,T1617CAT1,2691,,,3707,,2601,3218,3442,2888,3086,2991,,,3430,,,3030,3028,3012,,,2328,3092,,,2957,,2784,2913,3122,,16345,3143,,,,,,,,,,,,,,,,,,"3,042","3,919",
138,CFR_19,T1617CAT2,412,,,162,,354,489,211,210,212,132,,,155,,,720,159,133,,,268,58,,,301,,207,497,390,,0,261,,,,,,,,,,,,,,,,,,117,119,
139,CFR_19,T1617CAT3,612,,,793,,1088,302,718,612,513,825,,,870,,,844,453,742,,,591,508,,,369,,1736,596,553,,4609,660,,,,,,,,,,,,,,,,,,384,545,
140,CFR_19,T1617CAT4,68,,,73,,53,75,95,48,51,64,,,66,,,110,67,66,,,48,107,,,71,,44,45,44,,251,87,,,,,,,,,,,,,,,,,,55,94,
141,CFR_19,T1617CAT5,4783,,,5989,,5028,5319,5260,4942,4807,4956,,,6011,,,5908,4982,4825,,,4637,4831,,,5399,,6024,5198,5226,,24957,5301,,,,,,,,,,,,,,,,,,"4,814","6,017",
142,CFR_19,T1617SUM,1000,,,1254,,932,1235,794,1184,945,944,,,1490,,,1204,1275,872,,,1402,1066,,,1701,,1253,1147,1117,,3752,1150,,,,,,,,,,,,,,,,,,,,
143,CFR_19,T1617CAT1LA,"3,089",,,"2,999",,"3,089","3,089","3,089","3,089","2,999","2,999",,,"3,089",,,"3,965","2,999","2,999",,,"3,089","3,406",,,"3,170",,"3,406","2,999","3,089",,"15,116","2,999",,,,,,,,,,,,,,,,,,,,
144,CFR_19,T1617CAT2LA,203,,,133,,203,203,203,203,133,133,,,203,,,246,133,133,,,203,201,,,150,,201,133,203,,644,133,,,,,,,,,,,,,,,,,,,,
145,CFR_19,T1617CAT3LA,5038,,,5716,,5336,5059,5025,5036,4836,5131,,,5735,,,5790,5396,4928,,,5237,4972,,,5126,,6023,5057,5376,,24658,5461,,,,,,,,,,,,,,,,,,,,
146,CFR_19,T1617CAT4LA,743,,,1145,,512,783,1283,773,867,913,,,777,,,701,902,756,,,380,1180,,,1307,,660,917,1049,,10039,910,,,,,,,,,,,,,,,,,,,,
147,CFR_19,T1617CAT5LA,68,,,73,,53,75,95,48,51,64,,,66,,,110,67,66,,,48,107,,,71,,44,45,44,,251,87,,,,,,,,,,,,,,,,,,,,
148,CFR_19,T1718CAT1,"2,969 ",,,"3,727 ",,"2,865 ","3,385 ","3,658 ","2,963 ","4,862 ","3,232 ",,,"3,355 ",,,"2,943 ","3,072 ","2,875 ",,,"2,612 ","3,104 ",,,"3,155 ",,"2,991 ","3,046 ","3,284 ",,"14,563 ","3,364 ",,,,,,,,,,,,,,,,,,"3,078","3,817",
149,CFR_19,T1718CAT2,312 ,,,145 ,,287 ,306 ,106 ,168 ,193 ,95 ,,,156 ,,,692 ,218 ,262 ,,,250 ,481 ,,,225 ,,77 ,451 ,272 ,,-   ,266 ,,,,,,,,,,,,,,,,,,106,114,
150,CFR_19,T1718CAT3,646 ,,,830 ,,755 ,411 ,670 ,931 ,"1,169 ",835 ,,,"1,123 ",,,824 ,422 ,808 ,,,693 ,"1,333 ",,,383 ,,"1,179 ",792 ,572 ,,"3,928 ","1,038 ",,,,,,,,,,,,,,,,,,392,542,
151,CFR_19,T1718CAT4,70 ,,,64 ,,72 ,66 ,110 ,95 ,73 ,48 ,,,87 ,,,63 ,61 ,55 ,,,57 ,109 ,,,33 ,,63 ,53 ,56 ,,148 ,77 ,,,,,,,,,,,,,,,,,,58,91,
152,CFR_19,T1718CAT5,"5,208 ",,,"5,676 ",,"5,386 ","5,084 ","5,487 ","5,101 ","7,578 ","5,237 ",,,"5,616 ",,,"5,622 ","5,191 ","4,926 ",,,"5,169 ","6,294 ",,,"5,382 ",,"5,233 ","5,460 ","5,414 ",,"21,060 ","5,776 ",,,,,,,,,,,,,,,,,,"4,893","5,872",
153,CFR_19,T1718SUM,1211,,,910,,1407,916,943,944,1281,1027,,,895,,,1100,1418,926,,,1557,1267,,,1586,,923,1118,1230,,2421,1031,,,,,,,,,,,,,,,,,,,,
154,CFR_19,T1718CAT1LA,"3,340 ",,,"3,340 ",,"3,060 ","3,060 ","3,340 ","3,340 ","3,060 ","3,060 ",,,"3,340 ",,,"3,607 ","3,060 ","3,060 ",,,"3,340 ","3,060 ",,,"3,232 ",,"3,468 ","3,060 ","3,340 ",,"15,144 ","3,060 ",,,,,,,,,,,,,,,,,,,,
155,CFR_19,T1718CAT2LA,169 ,,,169 ,,98 ,98 ,169 ,169 ,98 ,98 ,,,169 ,,,104 ,98 ,98 ,,,169 ,98 ,,,110 ,,204 ,98 ,169 ,,439 ,98 ,,,,,,,,,,,,,,,,,,,,
156,CFR_19,T1718CAT3LA,909 ,,,909 ,,791 ,791 ,909 ,909 ,791 ,791 ,,,909 ,,,"1,308 ",791 ,791 ,,,909 ,791 ,,,413 ,,"1,162 ",791 ,909 ,,"3,928 ",791 ,,,,,,,,,,,,,,,,,,,,
157,CFR_19,T1718CAT4LA,60 ,,,60 ,,55 ,55 ,60 ,60 ,55 ,55 ,,,60 ,,,83 ,55 ,55 ,,,60 ,55 ,,,63 ,,70 ,55 ,60 ,,210 ,55 ,,,,,,,,,,,,,,,,,,,,
158,CFR_19,T1718CAT5LA,"5,672 ",,,"5,672 ",,"5,160 ","5,160 ","5,672 ","5,672 ","5,160 ","5,160 ",,,"5,672 ",,,"6,372 ","5,160 ","5,160 ",,,"5,672 ","5,160 ",,,"5,179 ",,"6,244 ","5,160 ","5,672 ",,"22,226 ","5,160 ",,,,,,,,,,,,,,,,,,,,
