No,Namespace,Variable,Grendon Primary School - 103205,The Orchard School - 132232,Topcliffe Primary School - 143091,Highters Heath Community School - 103365,Four Dwellings Primary Academy - 139131,Nonsuch Primary School - 142358,Rosslyn School and Day Nursery - 103573,St Thomas More Catholic Primary School - 103441,St Thomas More Catholic Primary School - 147017,Reynalds Cross School - 104131,Our Lady of Compassion Catholic Primary School - 104102,Our Lady of Compassion Catholic Primary School - 148089,Al Khair Primary School - 141001,Lindsworth School - 103632,Stanville Primary School - 103257,Green Meadow Primary School - 141610,Chilcote Primary School - 103298,Quinton Church Primary School - 143439,Perryfields Primary School - 103953,St Nicholas Catholic Primary School - 140529,New Oscott Primary School - 134774,Langley Primary School - 103978,Kingsland Primary School (NC) - 103221,Hargate Primary School - 103905,Sundridge Primary School - 103266,Leycroft Academy - 148653,St Andrew's Catholic Primary School - 104099,St Andrew's Catholic Primary School - 148086,St Francis Xavier Catholic Primary School - 141922,The Bridge School - 144043,Woodcock Hill Primary School - 103372,Lodge Primary School - 103969,Broadmeadow Junior School - 103286,Broadmeadow Infant School - 103288,Langley Primary School - 104080,Elms Farm Community Primary School - 103381,Timberley Academy - 138104,Our Lady's Catholic Primary School - 103449,"Christ Church, Church of England Secondary Academy - 148589",West Bromwich Collegiate Academy - 147182,King's Norton Boys' School - 103562,Four Dwellings Academy - 139047,Shenley Academy - 135911,Perryfields High School Specialist Maths and Computing College - 104012,Perryfields Academy - 148267,Langley School - 137007,Silver Birch School 11-17 Independent Provision - 138971,The British Muslim School - 135792,Shireland Biomedical Utc - 141813,Tile Cross Academy - 144306,National state-funded primary,National state-funded secondary and 16 to 18,Description
63,CENSUS_21,NUMENGFL,254,103,232,158,261,144,0,,300,113,316,,0,115,178,347,314,191,330,198,577,292,321,285,162,,226,,143,58,162,125,212,172,377,293,614,155,,196,636,361,816,769,,844,0,0,125,270,,,No. pupils with English first language
64,CENSUS_21,NUMUNCFL,0,0,0,0,0,0,0,,6,0,0,,0,3,2,0,3,0,0,0,1,0,0,2,3,,0,,0,0,0,1,0,0,0,0,0,0,,6,2,1,1,114,,26,0,0,0,0,,,No. pupils where first language is unclassified
65,CENSUS_21,PNUMEAL,27.8%,28.5%,7.9%,18.1%,28.9%,27.6%,0%,,11.0%,11.7%,6.5%,,0%,1.7%,26.2%,13.7%,30.5%,7.3%,12.9%,5.7%,14.1%,35.1%,6.1%,41.4%,11.8%,,3.4%,,38.6%,31.8%,20.6%,72.3%,4.5%,5.5%,13.1%,18.8%,9.4%,24.0%,,39.0%,11.6%,33.8%,7.4%,19.0%,,14.5%,0%,0%,24.2%,52.4%,,,%  pupils where English not first language
66,CENSUS_21,PNUMENGFL,72.2%,71.5%,92.1%,81.9%,71.1%,72.4%,0%,,87.2%,88.3%,93.5%,,0%,95.8%,73.0%,86.3%,68.9%,92.7%,87.1%,94.3%,85.7%,64.9%,93.9%,58.2%,86.6%,,96.6%,,61.4%,68.2%,79.4%,27.5%,95.5%,94.5%,86.9%,81.2%,90.6%,76.0%,,59.2%,88.1%,66.0%,92.5%,70.6%,,83.0%,0%,0%,75.8%,47.6%,,,% pupils with English first language
67,CENSUS_21,PNUMUNCFL,0%,0%,0%,0%,0%,0%,0%,,1.7%,0%,0%,,0%,2.5%,0.8%,0%,0.7%,0%,0%,0%,0.1%,0%,0%,0.4%,1.6%,,0%,,0%,0%,0%,0.2%,0%,0%,0%,0%,0%,0%,,1.8%,0.3%,0.2%,0.1%,10.5%,,2.6%,0%,0%,0%,0%,,,% pupils where first language is unclassified
68,CENSUS_21,NUMFSM,179,54,165,104,224,118,0,,94,36,47,,0,83,82,144,78,38,64,7,95,151,169,116,109,,31,,34,41,138,121,104,73,109,217,332,88,,106,177,309,452,234,,183,0,0,52,344,,,No. pupils eligible for free school meals
69,CENSUS_21,NUMFSMEVER,203,58,171,122,229,123,,,98,37,48,,,101,89,153,84,45,74,12,98,162,179,138,116,,33,,45,47,142,134,124,73,121,213,370,94,,141,228,364,597,336,,258,,,51,392,,,Number of pupils eligible for FSM at any time during the past 6 years
70,CENSUS_21,PNUMFSMEVER,57.7%,40.3%,67.9%,63.2%,62.4%,61.8%,,,28.5%,28.9%,14.2%,,,84.2%,36.5%,38.1%,18.4%,21.8%,19.5%,5.7%,14.6%,36.0%,52.3%,28.2%,62.0%,,14.1%,,19.3%,55.3%,69.6%,29.5%,55.9%,40.1%,27.9%,59.0%,54.6%,46.1%,,42.6%,31.6%,66.5%,67.7%,30.8%,,25.4%,,,30.9%,69.1%,,,Percentage of pupils eligible for FSM at any time during the past 6 years
71,CENSUS_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
72,SWF_19,LA,330,,330,330,330,330,,330,,,334,,,,330,330,330,330,333,330,330,333,330,333,330,,334,,333,,330,333,330,330,334,330,330,330,,,330,330,330,333,,334,,,333,330,,,Local Authority Number
73,SWF_19,URN,103205,,143091,103365,139131,142358,,103441,,,104102,,,,103257,141610,103298,143439,103953,140529,134774,103978,103221,103905,103266,,104099,,141922,,103372,103969,103286,103288,104080,103381,138104,103449,,,103562,139047,135911,104012,,137007,,,141813,144306,,,Unique Reference Number
74,SWF_19,NTEA,22,,21,13,26,13,,19,,,17,,,,16,19,25,10,22,11,35,24,17,25,10,,14,,11,,8,22,13,11,21,23,31,9,,,40,32,66,70,,77,,,27,47,"260,096","219,269",Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
75,SWF_19,NTEAAS,17,,15,11,18,7,,18,,,30,,,,9,11,20,4,20,8,31,27,22,35,7,,13,,14,,12,21,10,9,23,22,52,9,,,7,11,10,12,,18,,,7,7,"274,954","57,981",Total Number of Teaching Assistants (Headcount)
76,SWF_19,NNONTEA,2,,5,2,5,3,,3,,,7,,,,5,9,3,2,5,3,12,8,4,10,5,,5,,4,,5,3,3,2,7,5,10,4,,,15,17,18,21,,38,,,12,19,"91,158","84,503","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
77,SWF_19,NFTETEA,19.9,,20.8,11.8,22.9,12.6,,17,,,15.1,,,,13.9,17.9,22,10,19.3,9.2,28.4,21.5,15.4,21.1,9.6,,11.7,,11,,7.8,19.9,12.8,10.1,19.3,22.5,30.4,8.8,,,37.1,30.8,63.8,63.4,,67.2,,,24.6,46.8,"231,728","203,686",Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
78,SWF_19,NFTETEAAS,14.6,,13.2,8.8,16.7,6.5,,13.7,,,12.1,,,,7.2,9.7,15,3.5,16.2,4.8,17.6,19.6,14.9,26.8,5.2,,8.3,,10.9,,10.1,17.6,8.3,6.7,17.9,17.2,48.2,6.1,,,6.5,8.8,9.8,10.7,,13.7,,,7,6.4,"178,546","45,918",Total Number of Teaching Assistants (Full-time Equivalent)
79,SWF_19,NFTENONTEA,2,,4.8,1.7,5,2.9,,3,,,5.8,,,,4.6,6.2,3,2,4.4,2,7.6,3.9,2.9,8.7,3.9,,4.4,,3.5,,3.3,2.7,2.7,1.6,6.2,4.8,9.9,3.8,,,12.7,16.3,17.8,19.9,,22.8,,,11.3,18.2,61494.7,"71,228","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
80,SWF_19,RATPUPTEA,17.6,,12.4,17.5,17.0,15.6,,21.2,,,22.2,,,,17.6,23.4,20.1,20.4,19.9,23.0,23.0,20.5,20.1,22.3,20.3,,19.1,,21.3,,26.5,21.6,18.1,18.5,22.3,17.1,20.8,23.6,,,16.9,16.5,16.2,17.2,,15.1,,,10.8,11.8,20.7,16.3,Pupil:Teacher Ratio
81,SWF_19,SALARY,"£40,590",,"£37,725","£40,170","£37,037","£35,927",,"£35,458",,,"£34,321",,,,"£40,430","£34,889","£36,299","£34,572","£36,401","£40,134","£39,524","£38,828","£39,087","£37,120","£40,836",,"£37,744",,"£33,128",,"£43,163","£39,861","£40,598","£39,137","£36,661","£38,866","£37,208","£39,472",,,"£40,922","£43,017","£41,378","£39,192",,"£42,232",,,"£40,576","£42,787","£38,369","£40,571",Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
82,SWF_21,LA,330,333,330,330,330,330,,,330,334,334,,,330,330,330,330,330,333,330,330,333,330,333,330,,334,,333,330,330,333,330,330,334,330,330,330,,333,330,330,330,333,,334,,,333,330,,,Local Authority Number
83,SWF_21,URN,103205,132232,143091,103365,139131,142358,,,147017,104131,104102,,,103632,103257,141610,103298,143439,103953,140529,134774,103978,103221,103905,103266,,104099,,141922,144043,103372,103969,103286,103288,104080,103381,138104,103449,,147182,103562,139047,135911,104012,,137007,,,141813,144306,,,Unique Reference Number
84,SWF_21,NTEA,21,21,24,11,17,12,,,20,19,18,,,20,12,19,23,11,18,12,33,23,17,23,10,,15,,10,14,11,23,14,12,20,23,34,13,,23,49,31,57,73,,73,,,16,46,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
85,SWF_21,NTEAAS,13,48,18,10,14,6,,,13,61,19,,,0,12,10,18,4,18,7,25,29,17,38,7,,9,,11,35,10,20,7,7,21,17,48,7,,4,6,7,10,8,,20,,,4,9,,,Total Number of Teaching Assistants (Headcount)
86,SWF_21,NNONTEA,3,35,4,2,4,2,,,4,11,4,,,49,6,7,3,2,5,3,7,7,6,7,4,,7,,3,3,5,3,3,2,9,3,11,3,,6,18,17,18,16,,38,,,9,19,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
87,SWF_21,NFTETEA,18.9,17.7,23.5,10.2,15.7,12.0,,,18.0,16.5,16.3,,,19.0,11.8,16.9,20.0,11.0,16.4,10.2,27.3,20.6,15.4,20.4,10.0,,11.2,,9.8,13.2,10.2,20.9,13.0,10.7,18.4,21.8,32.5,12.4,,22.2,46.1,30.6,56.2,67.8,,63.4,,,14.9,44.4,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
88,SWF_21,NFTETEAAS,10.5,38.0,15.2,6.9,12.5,5.1,,,10.0,43.7,8.9,,,0.0,9.7,8.8,13.0,3.8,13.2,5.8,16.7,19.0,12.6,29.6,4.7,,6.1,,8.6,31.1,8.9,16.6,6.2,4.9,17.0,13.7,44.0,4.7,,3.5,5.6,5.1,9.4,7.2,,15.2,,,3.8,7.0,,,Total Number of Teaching Assistants (Full-time Equivalent)
89,SWF_21,NFTENONTEA,3.0,24.4,4.0,1.6,4.0,2.0,,,4.0,8.7,3.2,,,44.0,4.7,4.6,3.0,2.0,4.5,2.0,4.3,3.8,3.5,6.1,2.9,,5.4,,2.9,3.0,3.3,2.8,2.8,1.8,7.2,2.9,10.3,2.9,,6.0,14.9,16.3,18.0,15.2,,26.1,,,8.0,18.7,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
90,SWF_21,RATPUPTEA,18.6,8.2,10.7,18.9,22.6,16.6,,,19.1,7.5,20.4,,,6.3,20.2,23.8,22.2,18.7,23.1,20.6,24.1,21,21.5,22.5,18.7,,20.3,,23.1,6.5,20,20.7,17.1,16.2,23.1,16,19.8,16.5,,14.9,15.7,17.9,15.7,16.1,,16,,,11.1,12.8,,,Pupil:Teacher Ratio
91,SWF_21,SALARY,"£42,180","£41,262","£42,434","£41,908","£37,222","£39,082",,,"£41,348","£41,179","£39,020",,,"£47,892","£41,569","£38,554","£40,318","£38,661","£39,884","£44,213","£41,684","£38,097","£43,380","£39,813","£41,606",,"£37,688",,"£38,159","£42,610","£48,475","£40,059","£41,302","£40,491","£39,379","£41,403","£39,839","£40,942",,"£36,570","£41,250","£43,985","£42,924","£38,222",,"£44,975",,,"£43,575","£45,425",,,Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
92,SWF_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
93,CFR_19,URN,103205,132232,,103365,,,,103441,,104131,104102,,,103632,103257,,103298,,103953,,134774,103978,103221,103905,103266,,104099,,,,103372,103969,103286,103288,104080,103381,,103449,,,103562,,,104012,,,,,,,,,Unique Reference Number
94,CFR_19,LONDON/NON-LONDON,Non-London,Non-London,,Non-London,,,,Non-London,,Non-London,Non-London,,,Non-London,Non-London,,Non-London,,Non-London,,Non-London,Non-London,Non-London,Non-London,Non-London,,Non-London,,,,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,,Non-London,,,Non-London,,,Non-London,,,,,,,,,London/Non-London
95,CFR_19,MEDIAN,Primary,Special,,Primary,,,,Primary,,Special,Primary,,,Special,Primary,,Primary,,Primary,,Primary,Primary,Primary,Primary,Primary,,Primary,,,,Primary,Primary,Primary,Primary,Primary,Primary,,Primary,,,Secondary with KS4,,,Secondary with KS4,,,,,,,Primary,Secondary with KS4,Group to compare
96,CFR_19,PUPILS,350 ,148 ,,206 ,,,,360 ,,117 ,335 ,,,117 ,245 ,,442 ,,384 ,,653 ,441 ,310 ,470 ,195 ,,223 ,,,,207 ,430 ,232 ,187 ,431 ,385 ,,208 ,,,628 ,,,"1,091 ",,,,,,,,,Number of pupils (FTE)
97,CFR_19,FSM,42,37,,44,,,,18,,24,8,,,65,29,,12,,12,,9,18,39,19,39,,7,,,,56,17,36,37,16,43,,26,,,15,,,15,,,,,,,,,Percentage of pupils eligible for Free School Meals (FSM)
98,CFR_19,FSMBAND,High,High,,High,,,,Low,,Medium,Low,,,High,Medium,,Low,,Low,,Low,Low,High,Low,High,,Low,,,,High,Low,High,High,Low,High,,Medium,,,Low,,,Low,,,,,,,,,Free school meals eligibility band
99,CFR_19,GRANTFUNDING,"5,871","24,891",,"6,066",,,,"4,812",,"22,336","3,944",,,"29,189","5,978",,"4,550",,"4,699",,"4,252","4,868","6,002","5,380","5,643",,"4,545",,,,"6,491","5,257","5,393","5,914","4,421","5,666",,"5,322",,,"5,580",,,"5,913",,,,,,,"4,848","5,724",Grant funding (&pound; per pupil)
100,CFR_19,SELFGENERATEDINCOME,47,238,,183,,,,321,,517,411,,,"3,646",279,,243,,548,,469,248,124,305,85,,403,,,,337,12,125,123,346,150,,319,,,413,,,56,,,,,,,188,173,Self generated income (&pound; per pupil)
101,CFR_19,TOTALINCOME,"5,918","25,129",,"6,249",,,,"5,133",,"22,853","4,355",,,"32,835","6,256",,"4,793",,"5,246",,"4,721","5,116","6,126","5,686","5,728",,"4,948",,,,"6,828","5,269","5,518","6,036","4,767","5,816",,"5,640",,,"5,993",,,"5,969",,,,,,,"5,081","5,928",Total income (&pound; per pupil)
102,CFR_19,TEACHINGSTAFF,"2,748","6,713",,"2,625",,,,"2,275",,"7,247","1,903",,,"9,826","2,664",,"2,080",,"2,015",,"2,191","2,188","2,372","2,066","2,512",,"2,197",,,,"2,359","2,379","2,581","2,467","2,000","2,795",,"2,257",,,"3,235",,,"3,345",,,,,,,"2,284","3,222",Teaching staff (&pound; per pupil)
103,CFR_19,SUPPLYTEACHERS,141,426,,60,,,,162,,1,57,,,"1,933",76,,207,,111,,28,47,7,-44,13,,187,,,,271,267,129,356,48,137,,23,,,97,,,139,,,,,,,105,109,Supply Staff (&pound; per pupil)
104,CFR_19,EDUCATIONSUPPORTSTAFF,"1,015","10,128",,"1,070",,,,"1,119",,"7,131",868,,,440,867,,"1,073",,"1,287",,857,"1,251","1,170","1,666",800,,919,,,,"1,183","1,077","1,023","1,054","1,009","1,102",,929,,,167,,,558,,,,,,,889,594,Education support staff (&pound; per pupil)
105,CFR_19,PREMISES,396,"1,936",,428,,,,219,,"1,641",271,,,"1,135",363,,85,,349,,198,282,192,359,395,,335,,,,225,265,278,475,383,214,,236,,,323,,,335,,,,,,,309,356,Premises (incl. Staff costs) (&pound; per pupil)
106,CFR_19,BACKOFFICE,710,"1,868",,752,,,,966,,"1,567",379,,,"11,092",920,,560,,355,,614,436,"1,111",441,949,,367,,,,"1,407",309,557,980,357,830,,"1,153",,,"1,245",,,439,,,,,,,413,565,Back office (incl. Staff costs) (&pound; per pupil)
107,CFR_19,CATERING,344,335,,488,,,,246,,216,191,,,-15,265,,194,,132,,97,-25,385,178,183,,186,,,,448,208,243,341,215,347,,341,,,51,,,54,,,,,,,190,51,Catering (incl. Staff costs) (&pound; per pupil)
108,CFR_19,OTHERSTAFF,180,"1,203",,230,,,,202,,"2,135",399,,,"4,342",144,,131,,145,,371,355,275,324,194,,288,,,,247,147,147,143,120,198,,149,,,124,,,203,,,,,,,186,104,Other staff costs (&pound; per pupil)
109,CFR_19,ENERGY,73,380,,137,,,,94,,298,52,,,673,92,,81,,60,,49,58,101,44,74,,63,,,,139,60,69,114,77,57,,39,,,107,,,127,,,,,,,62,96,Energy (&pound; per pupil)
110,CFR_19,LEARNINGRESOURCES,238,264,,353,,,,162,,497,199,,,"1,257",151,,226,,252,,133,194,374,209,257,,132,,,,241,206,123,148,129,182,,162,,,381,,,209,,,,,,,205,220,Learning resources (not ICT equipment) (&pound; per pupil)
111,CFR_19,ICT,3,198,,4,,,,12,,421,114,,,98,40,,5,,31,,9,29,0,87,19,,105,,,,24,49,31,2,82,7,,0,,,35,,,46,,,,,,,51,69,ICT learning resources (&pound; per pupil)
112,CFR_19,BOUGHTINPROFESSIONALSERVICES,3,"1,299",,59,,,,9,,565,82,,,795,37,,122,,214,,9,26,29,35,119,,60,,,,5,66,35,16,63,109,,3,,,0,,,97,,,,,,,93,67,Bought in professional services - curriculum (&pound; per pupil)
113,CFR_19,OTHER,90,113,,83,,,,35,,82,90,,,78,69,,58,,100,,78,124,30,88,138,,51,,,,94,78,86,94,95,62,,36,,,238,,,303,,,,,,,100,213,Other expenditure (&pound; per pupil)
114,CFR_19,TOTALEXPENDITURE,"5,942","24,864",,"6,290",,,,"5,502",,"21,801","4,606",,,"31,655","5,687",,"4,821",,"5,051",,"4,632","4,966","6,046","5,453","5,653",,"4,890",,,,"6,643","5,111","5,303","6,190","4,578","6,041",,"5,328",,,"6,003",,,"5,854",,,,,,,"5,034","5,891",Total expenditure (&pound; per pupil)
115,CFR_19,T1415CAT1,"3,373","18,016",,"3,333",,,,"2,851",,"16,020","2,832",,,"15,643","3,931",,"3,072",,"2,887",,"2,801",SUPP,"3,038","3,319","3,029",,"2,776",,,,"3,316","3,030","3,317",SUPP,"3,117","3,042",,"3,120",,,"3,265",,,"3,719",,,,,,,"2,927","3,825",
116,CFR_19,T1415CAT2,138,"1,055",,353,,,,18,,278,102,,,"2,783",10,,166,,70,,69,189,67,98,196,,212,,,,193,183,106,490,54,307,,236,,,69,,,64,,,,,,,133,124,
117,CFR_19,T1415CAT3,964,"2,672",,"1,101",,,,699,,"1,502",246,,,"11,258",990,,324,,302,,757,372,"1,701",330,"1,152",,289,,,,"1,750",253,864,880,369,985,,"1,613",,,"1,226",,,306,,,,,,,366,544,
118,CFR_19,T1415CAT4,68,474,,84,,,,69,,473,46,,,814,90,,49,,86,,52,67,146,75,61,,50,,,,99,55,129,126,80,51,,26,,,94,,,92,,,,,,,61,99,
119,CFR_19,T1415CAT5,"5,691","27,092",,"6,125",,,,"4,420",,"23,666","4,173",,,"41,107","6,048",,"4,454",,"4,632",,"4,306","4,940","5,790","5,407","5,566",,"4,541",,,,"6,644","4,536","5,216","5,714","4,451","4,970",,"5,842",,,"5,637",,,"5,076",,,,,,,"4,645","5,944",
120,CFR_19,T1415SUM,1148,4875,,1254,,,,783,,5393,947,,,10609,1027,,843,,1287,,627,4312,838,1585,1128,,1214,,,,1286,1015,800,4218,831,585,,847,,,983,,,895,,,,,,,,,
121,CFR_19,T1415CAT1LA,"3,202","16,764",,"3,202",,,,"2,834",,"15,677","2,645",,,"14,442","3,202",,"2,834",,"2,957",,"2,834","3,060","3,202","3,060","3,004",,"2,645",,,,"3,202","3,060","3,202","3,004","2,645","3,202",,"2,834",,,"3,280",,,"3,719",,,,,,,,,
122,CFR_19,T1415CAT2LA,184,"1,141",,184,,,,118,,340,120,,,414,184,,118,,95,,118,171,184,171,194,,120,,,,184,171,184,194,120,184,,118,,,79,,,64,,,,,,,,,
123,CFR_19,T1415CAT3LA,358,"2,436",,358,,,,308,,"1,429",319,,,"1,169",358,,308,,339,,308,377,358,377,323,,319,,,,358,377,358,323,319,358,,308,,,346,,,271,,,,,,,,,
124,CFR_19,T1415CAT4LA,72,482,,72,,,,56,,250,58,,,178,72,,56,,64,,56,70,72,70,58,,58,,,,72,70,72,58,58,72,,56,,,96,,,92,,,,,,,,,
125,CFR_19,T1415CAT5LA,"5,758","26,760",,"5,758",,,,"4,747",,"23,666","4,259",,,"22,905","5,758",,"4,747",,"4,712",,"4,747","5,113","5,758","5,113","5,210",,"4,259",,,,"5,758","5,113","5,758","5,210","4,259","5,758",,"4,747",,,"5,994",,,"5,076",,,,,,,,,
126,CFR_19,T1516CAT1,SUPP,"18,538",,"3,576",,,,"2,963",,"16,453","2,766",,,"12,656","4,101",,"2,957",,"2,955",,"2,862","3,172","3,167","3,459","2,836",,"2,530",,,,"3,670","3,201","3,239","3,342","3,138","3,148",,"3,077",,,"3,800",,,"3,845",,,,,,,"2,976","3,857",
127,CFR_19,T1516CAT2,146,"1,405",,141,,,,3,,109,80,,,"1,187",0,,173,,82,,62,194,23,131,302,,317,,,,144,271,178,547,81,300,,139,,,166,,,124,,,,,,,126,122,
128,CFR_19,T1516CAT3,675,"2,497",,921,,,,608,,"1,615",281,,,"14,146",790,,251,,307,,511,252,721,388,992,,301,,,,"1,124",232,689,802,377,670,,"1,290",,,"1,248",,,349,,,,,,,377,545,
129,CFR_19,T1516CAT4,46,395,,102,,,,57,,586,59,,,"1,115",80,,68,,115,,34,60,140,50,55,,68,,,,100,80,85,112,76,35,,59,,,96,,,86,,,,,,,58,97,
130,CFR_19,T1516CAT5,"5,208","28,417",,"6,235",,,,"4,558",,"24,193","4,043",,,"40,473","6,162",,"4,418",,"4,943",,"4,253","4,836","4,948","5,484","5,497",,"4,581",,,,"7,149","4,888","5,160","5,895","4,534","5,271",,"5,383",,,"6,120",,,"5,470",,,,,,,"4,777","6,013",
131,CFR_19,T1516SUM,4341,5582,,1495,,,,927,,5430,857,,,11369,1191,,969,,1484,,784,1158,897,1456,1312,,1365,,,,2111,1104,969,1092,862,1118,,818,,,810,,,1066,,,,,,,,,
132,CFR_19,T1516CAT1LA,"3,347","16,558",,"3,347",,,,"2,902",,"15,557","2,638",,,"14,439","3,347",,"2,902",,"3,085",,"2,902","3,148","3,347","3,148","3,120",,"2,638",,,,"3,347","3,085","3,120","3,120","2,638","3,347",,"3,120",,,"3,502",,,"3,845",,,,,,,,,
133,CFR_19,T1516CAT2LA,173,800,,173,,,,122,,178,92,,,392,173,,122,,103,,122,157,173,157,200,,92,,,,173,103,200,200,92,173,,200,,,166,,,124,,,,,,,,,
134,CFR_19,T1516CAT3LA,911,"3,324",,911,,,,685,,"1,615",337,,,"4,004",911,,685,,402,,685,413,911,413,859,,337,,,,911,402,859,859,337,911,,859,,,"1,248",,,349,,,,,,,,,
135,CFR_19,T1516CAT4LA,60,458,,60,,,,52,,252,58,,,175,60,,52,,60,,52,62,60,62,59,,58,,,,60,60,59,59,58,60,,59,,,106,,,86,,,,,,,,,
136,CFR_19,T1516CAT5LA,"5,854","26,904",,"5,854",,,,"4,789",,"22,678","4,343",,,"22,032","5,854",,"4,789",,"4,784",,"4,789","5,117","5,854","5,117","5,323",,"4,343",,,,"5,854","4,784","5,323","5,323","4,343","5,854",,"5,323",,,"6,212",,,"5,470",,,,,,,,,
137,CFR_19,T1617CAT1,3430,17488,,3554,,,,3347,,16493,2603,,,11630,4083,,2698,,3569,,2930,3300,3211,3763,3046,,2713,,,,3669,3309,3379,3017,2997,3234,,3427,,,3665,,,4127,,,,,,,"3,042","3,919",
138,CFR_19,T1617CAT2,213,1085,,83,,,,48,,157,68,,,1160,18,,96,,134,,45,96,86,45,220,,157,,,,129,417,199,377,64,440,,81,,,174,,,93,,,,,,,117,119,
139,CFR_19,T1617CAT3,641,2170,,819,,,,562,,1750,245,,,14430,763,,243,,426,,629,329,654,389,897,,256,,,,1445,330,887,830,350,770,,1341,,,1197,,,356,,,,,,,384,545,
140,CFR_19,T1617CAT4,68,384,,169,,,,36,,316,51,,,1042,101,,60,,90,,40,57,149,57,71,,43,,,,145,62,65,102,63,47,,55,,,79,,,99,,,,,,,55,94,
141,CFR_19,T1617CAT5,5554,25758,,6004,,,,5017,,23714,3953,,,37306,6176,,4077,,5679,,4549,4694,5350,5795,5679,,4284,,,,6713,5073,5407,5296,4361,5644,,5969,,,6088,,,5705,,,,,,,"4,814","6,017",
142,CFR_19,T1617SUM,1202,4631,,1379,,,,1024,,4998,986,,,9044,1211,,980,,1460,,905,912,1250,1541,1445,,1115,,,,1325,955,877,970,887,1153,,1065,,,973,,,1030,,,,,,,,,
143,CFR_19,T1617CAT1LA,"3,406","16,757",,"3,406",,,,"2,999",,"15,642","2,616",,,"15,116","3,406",,"2,999",,"3,029",,"2,999","3,170","3,406","3,170","3,089",,"2,616",,,,"3,406","3,029","3,089","3,089","2,616","3,406",,"3,089",,,"3,509",,,"4,127",,,,,,,,,
144,CFR_19,T1617CAT2LA,201,774,,201,,,,133,,223,92,,,644,201,,133,,105,,133,150,201,150,203,,92,,,,201,105,203,203,92,201,,203,,,174,,,93,,,,,,,,,
145,CFR_19,T1617CAT3LA,5569,26496,,6059,,,,4927,,24427,4028,,,37205,5988,,4371,,5715,,4418,4919,5014,6126,5567,,4383,,,,7074,4850,5417,5374,4512,5702,,5789,,,5859,,,5541,,,,,,,,,
146,CFR_19,T1617CAT4LA,892,10554,,918,,,,912,,8727,820,,,15,1187,,985,,1399,,892,1216,1016,1586,700,,704,,,,1093,1154,1050,858,924,1028,,741,,,295,,,651,,,,,,,,,
147,CFR_19,T1617CAT5LA,68,384,,169,,,,36,,316,51,,,1042,101,,60,,90,,40,57,149,57,71,,43,,,,145,62,65,102,63,47,,55,,,79,,,99,,,,,,,,,
148,CFR_19,T1718CAT1,"3,405 ","17,351 ",,"3,611 ",,,,"3,499 ",,"15,277 ","2,708 ",,,"9,630 ","3,987 ",,"3,086 ",,"3,083 ",,"3,140 ","3,384 ","3,176 ","3,746 ","3,288 ",,"3,211 ",,,,"3,724 ","3,309 ","3,910 ","3,799 ","2,919 ","4,067 ",,"3,257 ",,,"3,906 ",,,"4,453 ",,,,,,,"3,078","3,817",
149,CFR_19,T1718CAT2,193 ,575 ,,82 ,,,,70 ,,140 ,72 ,,,"1,031 ",-   ,,95 ,,88 ,,38 ,54 ,173 ,5 ,77 ,,122 ,,,,93 ,363 ,183 ,495 ,93 ,441 ,,19 ,,,191 ,,,170 ,,,,,,,106,114,
150,CFR_19,T1718CAT3,775 ,"1,787 ",,998 ,,,,672 ,,"1,664 ",271 ,,,"11,407 ",878 ,,581 ,,310 ,,711 ,428 ,546 ,458 ,"1,147 ",,294 ,,,,"1,695 ",282 ,753 ,"1,077 ",337 ,"1,090 ",,"1,420 ",,,"1,021 ",,,445 ,,,,,,,392,542,
151,CFR_19,T1718CAT4,61 ,326 ,,-   ,,,,68 ,,360 ,30 ,,,429 ,76 ,,78 ,,55 ,,35 ,53 ,135 ,60 ,53 ,,51 ,,,,92 ,48 ,64 ,106 ,57 ,50 ,,46 ,,,104 ,,,120 ,,,,,,,58,91,
152,CFR_19,T1718CAT5,"5,630 ","25,822 ",,"6,219 ",,,,"5,276 ",,"22,310 ","4,077 ",,,"29,429 ","5,976 ",,"4,926 ",,"4,933 ",,"4,739 ","4,920 ","5,361 ","5,373 ","5,702 ",,"4,643 ",,,,"6,861 ","4,956 ","6,009 ","6,701 ","4,370 ","6,971 ",,"5,751 ",,,"6,389 ",,,"6,259 ",,,,,,,"4,893","5,872",
