No,Namespace,Variable,Greenfields Primary School - 133603,Montgomery Primary Academy - 138864,Nishkam Primary School Birmingham - 137492,The Rosary Catholic Primary School - 148439,The Rosary Catholic Primary School - 103428,"St Michael's CofE Primary Academy, Handsworth - 138433",Somerville Primary (NC) School - 103256,Birchfield Primary School - 146075,Welford Primary School - 103328,Edgbaston High School for Girls - 103567,Parkfield Community School - 139162,Sacred Heart Catholic School - 103477,Sacred Heart Catholic School - 147109,Benson Community School - 103362,Conway Primary School - 143086,St Paul's School - 135208,Ark Tindal Primary Academy - 138397,Nechells Primary E-ACT Academy - 138396,Marlborough Junior School - 103312,Marlborough Junior School - 145243,Clifton Primary School - 134840,Yew Tree Community Junior and Infant School (NC) - 142858,Westminster Primary School - 143943,Marlborough Primary School - 146701,Marlborough Infant School - 103232,Summerfield Junior and Infant School - 103196,Highfield Junior and Infant School - 142570,Nelson Mandela School - 103384,"The Olive School, Small Heath - 147452",Shaw Hill Primary School - 103157,Canterbury Cross Primary School - 143942,St Clare's Catholic Primary School - 103476,Nansen Primary School - 138799,City Road Primary School - 146385,Oasis Academy Foundry - 140161,Holy Trinity CE Primary Academy (Handsworth) - 140463,Hamd House School - 131687,Leigh Primary School - 140502,Park Hill Primary School - 103241,St John and Monica Catholic Primary School - 103478,"St Marys C of E Primary and Nursery, Academy, Handsworth - 139041",King Edward VI Handsworth School - 137047,Darul Uloom Islamic High School - 103586,Jamia Islamia Birmingham - 134571,St Paul's School for Girls - 103531,Broadway Academy - 139841,Elmhurst Ballet School - 134908,Rockwood Academy - 138059,"Eden Boys' Leadership Academy, Birmingham East - 145878",Al-Noor Girls Secondary School - 136037,National state-funded primary,National state-funded secondary and 16 to 18,Description
62,CENSUS_21,NUMEAL,0,477,108,,176,104,706,569,277,0,565,,93,307,301,0,320,113,,,775,437,394,548,,318,689,366,414,392,310,210,712,336,155,138,0,439,176,136,228,337,0,0,427,961,,291,183,,,,No.  pupils where English not first language
63,CENSUS_21,NUMENGFL,0,65,312,,249,73,37,126,153,0,127,,82,130,109,0,93,62,,,97,40,67,92,,99,67,97,4,82,176,86,66,88,64,46,0,30,223,71,199,835,0,0,580,250,,578,229,,,,No. pupils with English first language
64,CENSUS_21,NUMUNCFL,0,0,0,,0,0,0,0,1,0,2,,1,0,1,0,1,0,,,2,0,0,0,,1,0,2,0,1,0,0,0,3,4,0,0,0,0,1,2,4,0,0,3,1,,4,35,,,,No. pupils where first language is unclassified
65,CENSUS_21,PNUMEAL,0%,88.0%,25.7%,,41.4%,58.8%,95.0%,81.9%,64.3%,0%,81.4%,,52.8%,70.3%,73.2%,0%,77.3%,64.6%,,,88.7%,91.6%,85.5%,85.6%,,76.1%,91.1%,78.7%,99.0%,82.5%,63.8%,70.9%,91.5%,78.7%,69.5%,75.0%,0%,93.6%,44.1%,65.4%,53.1%,28.7%,0%,0%,42.3%,79.3%,,33.3%,40.9%,,,,%  pupils where English not first language
66,CENSUS_21,PNUMENGFL,0%,12.0%,74.3%,,58.6%,41.2%,5.0%,18.1%,35.5%,0%,18.3%,,46.6%,29.7%,26.5%,0%,22.5%,35.4%,,,11.1%,8.4%,14.5%,14.4%,,23.7%,8.9%,20.9%,1.0%,17.3%,36.2%,29.1%,8.5%,20.6%,28.7%,25.0%,0%,6.4%,55.9%,34.1%,46.4%,71.0%,0%,0%,57.4%,20.6%,,66.2%,51.2%,,,,% pupils with English first language
67,CENSUS_21,PNUMUNCFL,0%,0%,0%,,0%,0%,0%,0%,0.2%,0%,0.3%,,0.6%,0%,0.2%,0%,0.2%,0%,,,0.2%,0%,0%,0%,,0.2%,0%,0.4%,0%,0.2%,0%,0%,0%,0.7%,1.8%,0%,0%,0%,0%,0.5%,0.5%,0.3%,0%,0%,0.3%,0.1%,,0.5%,7.8%,,,,% pupils where first language is unclassified
68,CENSUS_21,NUMFSM,0,201,43,,141,101,238,197,195,0,269,,100,239,212,0,169,99,,,346,182,143,179,,189,225,148,135,157,149,144,303,136,127,89,0,134,144,50,98,152,0,0,187,446,,306,123,,,,No. pupils eligible for free school meals
69,CENSUS_21,NUMFSMEVER,,238,54,,147,110,274,204,208,,281,,115,259,218,,182,103,,,388,186,157,204,,193,239,180,147,170,156,153,334,146,129,96,,140,156,76,123,168,,,232,605,,522,190,,,,Number of pupils eligible for FSM at any time during the past 6 years
70,CENSUS_21,PNUMFSMEVER,,43.9%,12.9%,,34.6%,62.1%,36.9%,29.4%,48.3%,,40.5%,,65.3%,59.3%,53.0%,,44.0%,58.9%,,,44.4%,39.0%,34.1%,31.9%,,46.2%,31.6%,38.7%,35.2%,35.8%,32.1%,51.7%,42.9%,34.2%,57.8%,52.2%,,29.9%,39.1%,36.5%,28.7%,14.3%,,,23.0%,49.9%,,59.8%,42.5%,,,,Percentage of pupils eligible for FSM at any time during the past 6 years
71,CENSUS_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
72,SWF_19,LA,,330,330,,330,330,330,330,330,,330,330,,330,330,,330,330,330,,330,330,330,,330,330,330,330,,330,330,330,330,330,330,330,,330,330,330,330,330,,,330,330,,330,330,,,,Local Authority Number
73,SWF_19,URN,,138864,137492,,103428,138433,103256,146075,103328,,139162,103477,,103362,143086,,138397,138396,103312,,134840,142858,143943,,103232,103196,142570,103384,,103157,143942,103476,138799,146385,140161,140463,,140502,103241,103478,139041,137047,,,103531,139841,,138059,145878,,,,Unique Reference Number
74,SWF_19,NTEA,,35,16,,23,9,36,32,23,,33,10,,25,33,,30,9,15,,53,36,23,,17,18,24,24,,20,22,25,39,21,8,8,,29,29,10,16,65,,,75,87,,36,15,,"260,096","219,269",Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
75,SWF_19,NTEAAS,,24,14,,11,12,44,27,21,,30,9,,19,24,,7,8,15,,47,14,24,,20,30,31,24,,24,19,21,31,26,7,10,,24,27,5,17,2,,,9,18,,8,1,,"274,954","57,981",Total Number of Teaching Assistants (Headcount)
76,SWF_19,NNONTEA,,12,7,,7,3,5,7,9,,10,5,,8,12,,11,6,3,,10,9,7,,6,7,8,7,,5,8,6,6,3,2,5,,5,5,3,5,20,,,21,47,,20,6,,"91,158","84,503","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
77,SWF_19,NFTETEA,,32,15.8,,20.8,9,33.7,31.2,20.6,,31.4,9.2,,23.4,29.6,,29.8,9,14.8,,47.7,34.8,22.2,,14.6,17.5,24,21.4,,19.1,21.1,23.7,39,20.1,7.5,8,,25.7,27.1,9.1,14.1,58.8,,,66.1,76.9,,36,12.6,,"231,728","203,686",Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
78,SWF_19,NFTETEAAS,,19.6,12.5,,9.6,10,31.8,21.7,17.2,,24.2,7.2,,17,17.9,,3.4,6.8,11.8,,39.1,10.6,17.8,,14.5,23.8,28.3,18,,18.3,14.1,17,31,19.4,5.4,7.9,,18.2,22.1,4.2,12.7,1.6,,,7.5,13.3,,8,1,,"178,546","45,918",Total Number of Teaching Assistants (Full-time Equivalent)
79,SWF_19,NFTENONTEA,,10.8,5.1,,6.4,2,4.3,6.4,7.2,,7.1,4.3,,7.1,10.3,,8.4,5.3,2.9,,9,7,5.5,,2.3,4.8,5.4,6.3,,4.4,5.8,4.4,6,3,2,4.7,,4.5,4.2,2.1,3.4,18.1,,,17.9,40.6,,20,5,,61494.7,"71,228","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
80,SWF_19,RATPUPTEA,,17.6,26.6,,20.4,21.9,21.6,22.8,21.2,,22.8,22.4,,21.6,14.4,,13.5,19.3,24.4,,18.2,12.7,20.4,,19.8,24.1,34.9,21.3,,24.1,21.8,17.5,23.9,21.9,29.0,22.8,,20.8,18.8,23.1,28.8,18.5,,,14.8,15.7,,19.4,14.4,,20.7,16.3,Pupil:Teacher Ratio
81,SWF_19,SALARY,,"£30,161","£38,191",,"£39,489","£43,329","£40,532","£33,898","£40,942",,"£33,671","£40,176",,"£40,337","£46,308",,"£32,018","£34,952","£38,036",,"£35,286","£35,131","£37,875",,"£37,976","£40,740","£31,012","£40,920",,"£43,521","£37,699","£40,213","£37,192","£32,744","£36,106","£42,426",,"£40,083","£39,779","£38,343","£38,534","£40,591",,,"£42,587","£40,919",,"£43,715","£34,170",,"£38,369","£40,571",Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
82,SWF_21,LA,,330,330,,330,330,330,330,330,,330,,330,330,330,,330,330,,,330,330,330,330,,330,330,330,330,330,330,330,330,330,330,330,,330,330,330,330,330,,,330,330,,330,330,,,,Local Authority Number
83,SWF_21,URN,,138864,137492,,103428,138433,103256,146075,103328,,139162,,147109,103362,143086,,138397,138396,,,134840,142858,143943,146701,,103196,142570,103384,147452,103157,143942,103476,138799,146385,140161,140463,,140502,103241,103478,139041,137047,,,103531,139841,,138059,145878,,,,Unique Reference Number
84,SWF_21,NTEA,,21,17,,20,9,33,29,21,,34,,9,23,25,,29,10,,,48,34,21,29,,28,40,24,19,24,18,19,26,20,15,11,,23,23,11,19,69,,,49,84,,30,29,,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
85,SWF_21,NTEAAS,,14,11,,10,10,40,25,19,,32,,10,15,20,,5,8,,,42,14,16,29,,9,42,19,12,15,14,15,32,20,8,6,,23,22,7,15,3,,,5,18,,7,1,,,,Total Number of Teaching Assistants (Headcount)
86,SWF_21,NNONTEA,,5,6,,5,4,5,6,6,,5,,2,6,6,,9,3,,,12,12,6,8,,3,8,6,13,4,9,4,5,5,3,3,,8,5,4,4,26,,,26,53,,14,9,,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
87,SWF_21,NFTETEA,,18.5,16.6,,18.8,9.0,31.3,27.2,18.4,,32.8,,8.8,20.8,23.0,,28.0,8.0,,,43.6,30.8,20.6,27.2,,27.7,36.9,20.8,18.0,22.7,17.3,17.7,25.5,18.7,12.7,11.0,,21.7,21.6,9.5,16.8,62.2,,,40.8,75.6,,30.0,26.8,,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
88,SWF_21,NFTETEAAS,,11.2,10.2,,8.6,8.3,29.9,21.8,15.4,,25.4,,8.9,13.8,14.2,,3.8,7.0,,,34.2,10.9,11.4,20.8,,7.7,31.7,14.3,11.6,11.8,11.7,11.2,30.6,13.4,5.1,4.0,,17.1,16.6,5.4,11.4,3.0,,,4.7,15.5,,7.0,1.0,,,,Total Number of Teaching Assistants (Full-time Equivalent)
89,SWF_21,NFTENONTEA,,4.6,4.0,,5.0,3.8,4.3,5.0,6.0,,4.8,,1.4,5.2,5.4,,6.5,3.0,,,9.9,9.6,4.9,6.0,,3.0,6.1,5.1,7.5,3.4,5.5,3.7,4.7,4.9,3.0,2.8,,6.9,4.2,3.1,3.1,22.1,,,22.8,43.7,,14.0,7.2,,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
90,SWF_21,RATPUPTEA,,28.5,25.3,,21.8,19.7,22.3,24.5,22.5,,20.5,,20,20.4,17.3,,14.6,21.9,,,19.1,14.7,21.4,22.6,,14.3,20.5,21.1,23.2,19.7,26.3,16.3,29.7,22,17.5,16.7,,20.9,18,21.9,24.9,18.9,,,24.8,16,,29.1,16.7,,,,Pupil:Teacher Ratio
91,SWF_21,SALARY,,"£33,339","£41,532",,"£42,033","£37,797","£44,107","£38,125","£44,794",,"£40,979",,"£48,187","£42,317","£39,244",,"£35,023","£41,088",,,"£40,151","£38,131","£42,297","£41,314",,"£36,327","£39,186","£40,767","£38,177","£42,254","£41,274","£42,840","£39,464","£37,380","£38,393","£41,083",,"£40,487","£44,956","£41,111","£39,450","£45,390",,,"£42,692","£43,917",,"£46,470","£37,400",,,,Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
92,SWF_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
93,CFR_19,URN,,,,,103428,,103256,,103328,,,103477,,103362,,,,,,,134840,,,,,103196,,103384,,103157,,103476,,,,,,,103241,103478,,,,,103531,,,,,,,,Unique Reference Number
94,CFR_19,LONDON/NON-LONDON,,,,,Non-London,,Non-London,,Non-London,,,Non-London,,Non-London,,,,,,,Non-London,,,,,Non-London,,Non-London,,Non-London,,Non-London,,,,,,,Non-London,Non-London,,,,,Non-London,,,,,,,,London/Non-London
95,CFR_19,MEDIAN,,,,,Primary,,Primary,,Primary,,,Primary,,Primary,,,,,,,Primary,,,,,Primary,,Primary,,Primary,,Primary,,,,,,,Primary,Primary,,,,,Secondary with KS4,,,,,,Primary,Secondary with KS4,Group to compare
96,CFR_19,PUPILS,,,,,425 ,,729 ,,436 ,,,206 ,,506 ,,,,,,,870 ,,,,,423 ,,457 ,,460 ,,414 ,,,,,,,509 ,210 ,,,,,981 ,,,,,,,,Number of pupils (FTE)
97,CFR_19,FSM,,,,,24,,21,,28,,,47,,41,,,,,,,30,,,,,38,,34,,23,,30,,,,,,,35,28,,,,,18,,,,,,,,Percentage of pupils eligible for Free School Meals (FSM)
98,CFR_19,FSMBAND,,,,,Medium,,Medium,,Medium,,,High,,High,,,,,,,Medium,,,,,High,,Medium,,Medium,,Medium,,,,,,,Medium,Medium,,,,,Low,,,,,,,,Free school meals eligibility band
99,CFR_19,GRANTFUNDING,,,,,"5,413",,"5,319",,"5,771",,,"6,075",,"6,185",,,,,,,"5,975",,,,,"5,856",,"5,509",,"5,215",,"5,578",,,,,,,"5,827","5,580",,,,,"5,624",,,,,,"4,848","5,724",Grant funding (&pound; per pupil)
100,CFR_19,SELFGENERATEDINCOME,,,,,222,,62,,96,,,209,,18,,,,,,,12,,,,,164,,150,,130,,186,,,,,,,29,60,,,,,211,,,,,,188,173,Self generated income (&pound; per pupil)
101,CFR_19,TOTALINCOME,,,,,"5,635",,"5,381",,"5,868",,,"6,284",,"6,203",,,,,,,"5,988",,,,,"6,020",,"5,660",,"5,346",,"5,765",,,,,,,"5,856","5,641",,,,,"5,836",,,,,,"5,081","5,928",Total income (&pound; per pupil)
102,CFR_19,TEACHINGSTAFF,,,,,"2,390",,"2,126",,"2,317",,,"1,925",,"2,359",,,,,,,"2,329",,,,,"2,254",,"2,332",,"2,222",,"2,806",,,,,,,"2,841","2,159",,,,,"3,596",,,,,,"2,284","3,222",Teaching staff (&pound; per pupil)
103,CFR_19,SUPPLYTEACHERS,,,,,338,,495,,228,,,490,,435,,,,,,,347,,,,,82,,114,,387,,63,,,,,,,203,54,,,,,107,,,,,,105,109,Supply Staff (&pound; per pupil)
104,CFR_19,EDUCATIONSUPPORTSTAFF,,,,,563,,"1,051",,"1,388",,,"1,240",,"1,001",,,,,,,957,,,,,"1,555",,"1,136",,936,,"1,102",,,,,,,"1,112",744,,,,,424,,,,,,889,594,Education support staff (&pound; per pupil)
105,CFR_19,PREMISES,,,,,315,,202,,363,,,395,,356,,,,,,,132,,,,,248,,187,,276,,140,,,,,,,235,310,,,,,235,,,,,,309,356,Premises (incl. Staff costs) (&pound; per pupil)
106,CFR_19,BACKOFFICE,,,,,"1,082",,537,,702,,,"1,012",,"1,100",,,,,,,"1,494",,,,,827,,"1,069",,886,,"1,007",,,,,,,959,908,,,,,675,,,,,,413,565,Back office (incl. Staff costs) (&pound; per pupil)
107,CFR_19,CATERING,,,,,419,,260,,188,,,432,,254,,,,,,,2,,,,,372,,10,,5,,354,,,,,,,1,469,,,,,58,,,,,,190,51,Catering (incl. Staff costs) (&pound; per pupil)
108,CFR_19,OTHERSTAFF,,,,,143,,166,,144,,,280,,251,,,,,,,211,,,,,159,,134,,134,,142,,,,,,,259,428,,,,,75,,,,,,186,104,Other staff costs (&pound; per pupil)
109,CFR_19,ENERGY,,,,,39,,56,,77,,,49,,88,,,,,,,75,,,,,101,,78,,82,,68,,,,,,,94,79,,,,,76,,,,,,62,96,Energy (&pound; per pupil)
110,CFR_19,LEARNINGRESOURCES,,,,,164,,268,,119,,,356,,262,,,,,,,283,,,,,171,,176,,311,,163,,,,,,,262,172,,,,,224,,,,,,205,220,Learning resources (not ICT equipment) (&pound; per pupil)
111,CFR_19,ICT,,,,,34,,35,,44,,,7,,5,,,,,,,49,,,,,7,,68,,1,,3,,,,,,,23,3,,,,,96,,,,,,51,69,ICT learning resources (&pound; per pupil)
112,CFR_19,BOUGHTINPROFESSIONALSERVICES,,,,,19,,20,,46,,,1,,5,,,,,,,50,,,,,6,,4,,5,,2,,,,,,,19,3,,,,,81,,,,,,93,67,Bought in professional services - curriculum (&pound; per pupil)
113,CFR_19,OTHER,,,,,44,,115,,95,,,36,,88,,,,,,,143,,,,,87,,115,,77,,8,,,,,,,84,37,,,,,159,,,,,,100,213,Other expenditure (&pound; per pupil)
114,CFR_19,TOTALEXPENDITURE,,,,,"5,550",,"5,330",,"5,709",,,"6,224",,"6,203",,,,,,,"6,072",,,,,"5,867",,"5,424",,"5,322",,"5,859",,,,,,,"6,092","5,367",,,,,"5,805",,,,,,"5,034","5,891",Total expenditure (&pound; per pupil)
115,CFR_19,T1415CAT1,,,,,"2,312",,"2,942",,"2,947",,,"3,421",,"2,837",,,,,,,"3,295",,,,,"3,142",,"3,797",,"3,273",,"3,328",,,,,,,"2,940","3,447",,,,,"3,862",,,,,,"2,927","3,825",
116,CFR_19,T1415CAT2,,,,,544,,281,,441,,,0,,187,,,,,,,174,,,,,120,,75,,481,,218,,,,,,,250,113,,,,,118,,,,,,133,124,
117,CFR_19,T1415CAT3,,,,,"1,193",,886,,710,,,561,,"1,864",,,,,,,858,,,,,895,,963,,825,,754,,,,,,,695,476,,,,,847,,,,,,366,544,
118,CFR_19,T1415CAT4,,,,,60,,29,,71,,,78,,60,,,,,,,62,,,,,106,,56,,55,,80,,,,,,,87,61,,,,,96,,,,,,61,99,
119,CFR_19,T1415CAT5,,,,,"5,056",,"5,190",,"5,569",,,"5,800",,"5,758",,,,,,,"5,289",,,,,"5,491",,"5,560",,"5,901",,"5,476",,,,,,,"4,945","5,547",,,,,"5,843",,,,,,"4,645","5,944",
120,CFR_19,T1415SUM,,,,,947,,1052,,1400,,,1740,,810,,,,,,,900,,,,,1228,,669,,1267,,1096,,,,,,,973,1450,,,,,920,,,,,,,,
121,CFR_19,T1415CAT1LA,,,,,"3,004",,"3,202",,"3,004",,,"3,202",,"3,202",,,,,,,"3,202",,,,,"3,202",,"3,202",,"3,004",,"3,004",,,,,,,"3,004","3,202",,,,,"3,280",,,,,,,,
122,CFR_19,T1415CAT2LA,,,,,194,,184,,194,,,184,,184,,,,,,,184,,,,,184,,184,,194,,194,,,,,,,194,184,,,,,79,,,,,,,,
123,CFR_19,T1415CAT3LA,,,,,323,,358,,323,,,358,,358,,,,,,,358,,,,,358,,358,,323,,323,,,,,,,323,358,,,,,346,,,,,,,,
124,CFR_19,T1415CAT4LA,,,,,58,,72,,58,,,72,,72,,,,,,,72,,,,,72,,72,,58,,58,,,,,,,58,72,,,,,96,,,,,,,,
125,CFR_19,T1415CAT5LA,,,,,"5,210",,"5,758",,"5,210",,,"5,758",,"5,758",,,,,,,"5,758",,,,,"5,758",,"5,758",,"5,210",,"5,210",,,,,,,"5,210","5,758",,,,,"5,994",,,,,,,,
126,CFR_19,T1516CAT1,,,,,"2,308",,"3,127",,"2,893",,,"3,313",,"3,344",,,,,,,"3,180",,,,,"3,763",,"3,645",,"3,398",,"3,274",,,,,,,"2,936","3,726",,,,,"3,743",,,,,,"2,976","3,857",
127,CFR_19,T1516CAT2,,,,,611,,253,,569,,,168,,275,,,,,,,304,,,,,131,,204,,497,,156,,,,,,,299,73,,,,,88,,,,,,126,122,
128,CFR_19,T1516CAT3,,,,,"1,178",,"1,048",,706,,,721,,"1,146",,,,,,,757,,,,,557,,584,,701,,849,,,,,,,583,892,,,,,127,,,,,,377,545,
129,CFR_19,T1516CAT4,,,,,53,,38,,56,,,103,,62,,,,,,,42,,,,,72,,52,,48,,77,,,,,,,61,66,,,,,75,,,,,,58,97,
130,CFR_19,T1516CAT5,,,,,"5,091",,"5,729",,"5,241",,,"6,422",,"6,549",,,,,,,"6,412",,,,,"5,375",,"5,402",,"5,800",,"5,284",,,,,,,"4,957","7,103",,,,,"5,449",,,,,,"4,777","6,013",
131,CFR_19,T1516SUM,,,,,941,,1263,,1017,,,2117,,1722,,,,,,,2129,,,,,852,,917,,1156,,928,,,,,,,1078,2346,,,,,1416,,,,,,,,
132,CFR_19,T1516CAT1LA,,,,,"3,120",,"3,120",,"3,120",,,"3,347",,"3,347",,,,,,,"3,347",,,,,"3,347",,"3,347",,"3,120",,"3,120",,,,,,,"3,120","3,347",,,,,"3,909",,,,,,,,
133,CFR_19,T1516CAT2LA,,,,,200,,200,,200,,,173,,173,,,,,,,173,,,,,173,,173,,200,,200,,,,,,,200,173,,,,,115,,,,,,,,
134,CFR_19,T1516CAT3LA,,,,,859,,859,,859,,,911,,911,,,,,,,911,,,,,911,,911,,859,,859,,,,,,,859,911,,,,,"1,181",,,,,,,,
135,CFR_19,T1516CAT4LA,,,,,59,,59,,59,,,60,,60,,,,,,,60,,,,,60,,60,,59,,59,,,,,,,59,60,,,,,94,,,,,,,,
136,CFR_19,T1516CAT5LA,,,,,"5,323",,"5,323",,"5,323",,,"5,854",,"5,854",,,,,,,"5,854",,,,,"5,854",,"5,854",,"5,323",,"5,323",,,,,,,"5,323","5,854",,,,,"6,391",,,,,,,,
137,CFR_19,T1617CAT1,,,,,2416,,2919,,2867,,,3139,,3171,,,,,,,3174,,,,,3695,,3476,,3234,,3507,,,,,,,3112,4025,,,,,3868,,,,,,"3,042","3,919",
138,CFR_19,T1617CAT2,,,,,416,,208,,520,,,346,,134,,,,,,,527,,,,,82,,118,,330,,154,,,,,,,359,84,,,,,62,,,,,,117,119,
139,CFR_19,T1617CAT3,,,,,983,,985,,627,,,646,,1328,,,,,,,628,,,,,786,,586,,716,,906,,,,,,,589,823,,,,,486,,,,,,384,545,
140,CFR_19,T1617CAT4,,,,,50,,30,,46,,,77,,65,,,,,,,75,,,,,77,,56,,58,,69,,,,,,,68,54,,,,,70,,,,,,55,94,
141,CFR_19,T1617CAT5,,,,,5169,,5058,,5388,,,6457,,5732,,,,,,,5821,,,,,6115,,5152,,5408,,5613,,,,,,,5388,6405,,,,,5640,,,,,,"4,814","6,017",
142,CFR_19,T1617SUM,,,,,1304,,916,,1328,,,2249,,1034,,,,,,,1417,,,,,1475,,916,,1070,,977,,,,,,,1260,1419,,,,,1154,,,,,,,,
143,CFR_19,T1617CAT1LA,,,,,"3,089",,"3,089",,"3,089",,,"3,406",,"3,406",,,,,,,"3,406",,,,,"3,406",,"3,406",,"3,089",,"3,089",,,,,,,"3,089","3,406",,,,,"3,825",,,,,,,,
144,CFR_19,T1617CAT2LA,,,,,203,,203,,203,,,201,,201,,,,,,,201,,,,,201,,201,,203,,203,,,,,,,203,201,,,,,102,,,,,,,,
145,CFR_19,T1617CAT3LA,,,,,5462,,5224,,5473,,,6192,,5704,,,,,,,5684,,,,,5951,,5244,,5402,,5492,,,,,,,5127,6234,,,,,5785,,,,,,,,
146,CFR_19,T1617CAT4LA,,,,,336,,901,,1067,,,1252,,880,,,,,,,882,,,,,1360,,1011,,853,,1017,,,,,,,802,1082,,,,,367,,,,,,,,
147,CFR_19,T1617CAT5LA,,,,,50,,30,,46,,,77,,65,,,,,,,75,,,,,77,,56,,58,,69,,,,,,,68,54,,,,,70,,,,,,,,
148,CFR_19,T1718CAT1,,,,,"2,729 ",,"3,312 ",,"3,440 ",,,"3,366 ",,"3,207 ",,,,,,,"3,217 ",,,,,"4,098 ",,"3,837 ",,"3,264 ",,"3,878 ",,,,,,,"3,767 ","5,183 ",,,,,"3,825 ",,,,,,"3,078","3,817",
149,CFR_19,T1718CAT2,,,,,434 ,,531 ,,331 ,,,221 ,,190 ,,,,,,,336 ,,,,,62 ,,58 ,,407 ,,103 ,,,,,,,276 ,11 ,,,,,173 ,,,,,,106,114,
150,CFR_19,T1718CAT3,,,,,"1,092 ",,708 ,,658 ,,,861 ,,"1,174 ",,,,,,,548 ,,,,,891 ,,889 ,,748 ,,"1,261 ",,,,,,,741 ,"1,185 ",,,,,544 ,,,,,,392,542,
151,CFR_19,T1718CAT4,,,,,51 ,,63 ,,58 ,,,73 ,,69 ,,,,,,,45 ,,,,,80 ,,62 ,,30 ,,68 ,,,,,,,80 ,59 ,,,,,90 ,,,,,,58,91,
152,CFR_19,T1718CAT5,,,,,"5,568 ",,"5,702 ",,"5,603 ",,,"6,244 ",,"5,731 ",,,,,,,"5,668 ",,,,,"6,224 ",,"5,926 ",,"5,569 ",,"6,336 ",,,,,,,"5,904 ","7,885 ",,,,,"5,828 ",,,,,,"4,893","5,872",
153,CFR_19,T1718SUM,,,,,1262,,1088,,1116,,,1723,,1091,,,,,,,1522,,,,,1093,,1080,,1120,,1026,,,,,,,1040,1447,,,,,1196,,,,,,,,
154,CFR_19,T1718CAT1LA,,,,,"3,340 ",,"3,060 ",,"3,340 ",,,"3,468 ",,"3,468 ",,,,,,,"3,340 ",,,,,"3,340 ",,"3,340 ",,"3,340 ",,"3,340 ",,,,,,,"3,340 ","3,340 ",,,,,"3,842 ",,,,,,,,
155,CFR_19,T1718CAT2LA,,,,,169 ,,98 ,,169 ,,,204 ,,204 ,,,,,,,169 ,,,,,169 ,,169 ,,169 ,,169 ,,,,,,,169 ,169 ,,,,,173 ,,,,,,,,
156,CFR_19,T1718CAT3LA,,,,,909 ,,791 ,,909 ,,,"1,162 ",,"1,162 ",,,,,,,909 ,,,,,909 ,,909 ,,909 ,,909 ,,,,,,,909 ,909 ,,,,,"1,021 ",,,,,,,,
157,CFR_19,T1718CAT4LA,,,,,60 ,,55 ,,60 ,,,70 ,,70 ,,,,,,,60 ,,,,,60 ,,60 ,,60 ,,60 ,,,,,,,60 ,60 ,,,,,90 ,,,,,,,,
158,CFR_19,T1718CAT5LA,,,,,"5,672 ",,"5,160 ",,"5,672 ",,,"6,244 ",,"6,244 ",,,,,,,"5,672 ",,,,,"5,672 ",,"5,672 ",,"5,672 ",,"5,672 ",,,,,,,"5,672 ","5,672 ",,,,,"6,380 ",,,,,,,,
159,CFR_19,T1819CAT1,,,,,"2,953",,"3,177",,"3,705",,,"3,165",,"3,360",,,,,,,"3,286",,,,,"3,809",,"3,468",,"3,158",,"3,908",,,,,,,"3,953","2,903",,,,,"4,020",,,,,,,,2018-19 Teaching and Education Support Staff Costs (&pound; per pupil)
160,CFR_19,T1819CAT2,,,,,338,,495,,228,,,490,,435,,,,,,,347,,,,,82,,114,,387,,63,,,,,,,203,54,,,,,107,,,,,,,,2018-19 Supply Staff Costs (&pound; per pupil)
161,CFR_19,T1819CAT3,,,,,"1,082",,537,,702,,,"1,012",,"1,100",,,,,,,"1,494",,,,,827,,"1,069",,886,,"1,007",,,,,,,959,908,,,,,675,,,,,,,,2018-19 Back Office (&pound; per pupil)
162,CFR_19,T1819CAT4,,,,,39,,56,,77,,,49,,88,,,,,,,75,,,,,101,,78,,82,,68,,,,,,,94,79,,,,,76,,,,,,,,2018-19 Energy (&pound; per pupil)
163,CFR_19,T1819CAT5,,,,,"5,550",,"5,330",,"5,709",,,"6,224",,"6,203",,,,,,,"6,072",,,,,"5,867",,"5,424",,"5,322",,"5,859",,,,,,,"6,092","5,367",,,,,"5,805",,,,,,,,2018-19 Total Expenditure (&pound; per pupil)
164,CFR_19,T1819SUM,,,,,1138,,1065,,997,,,1508,,1220,,,,,,,870,,,,,1048,,695,,809,,813,,,,,,,883,1423,,,,,927,,,,,,,,
