No,Namespace,Variable,Al-Ameen Primary School - 130244,Rookery School - 137168,St Matthew's CofE Primary School - 104000,Moseley Church of England Primary School - 103398,Brookvale Primary School - 139465,Thornton Primary School - 103268,Cherry Orchard Primary School - 103178,Ward End Primary School - 103217,Uffculme School - 103605,St Philip's Catholic Primary School - 141929,Redhill Primary School - 103247,Victoria Park Primary - 138033,"St James Church of England Primary School, Handsworth - 103401",Erdington Hall Primary School - 138194,St Bernadette's Catholic Primary School - 103460,Shireland Technology Primary School - 147191,St Mary and St John Junior and Infant School - 146268,Harborne Primary School - 132261,St Mary and St John Junior and Infant School - 103442,"The Olive School, Birmingham - 142888",Springfield Primary Academy - 144722,Springfield Primary School - 134083,St Augustine's Catholic Primary School - 103431,Wattville Primary School - 132201,Al-Furqan Primary School - 131465,The Pines Special School - 103622,St Mary's Catholic Primary School - 103438,Marsh Hill Primary School - 103233,Kings Heath Primary School - 134098,St Cuthbert's RC Junior and Infant (NC) School - 103470,Moor Green Primary Academy - 139000,Washwood Heath Academy - 139888,Tiverton Academy - 139439,St Edward's Catholic Primary School - 103447,Bearwood Primary School - 103933,Oasis Academy Hobmoor - 139214,"Eden Girls'  Leadership Academy, Birmingham - 147201",Flexible Learning School - 135561,Queensbridge School - 103497,Fox Hollies School and Performing Arts College - 103625,Shireland Collegiate Academy - 135170,Ward End Community College - 135238,Yardleys School - 139994,Stockland Green School - 138137,Lordswood Boys' School - 145120,Lordswood Girls' School and Sixth Form Centre - 136592,Moseley School and Sixth Form - 103519,Erdington Academy - 143413,Queensbury School - 146858,Queensbury School - 103616,National state-funded primary,National state-funded secondary and 16 to 18,Description
61,CENSUS_21,PSENELK,0.8%,9.9%,8.2%,7.9%,10.5%,16.3%,7.4%,20.7%,0%,7.3%,24.4%,5.6%,16.6%,12.7%,16.9%,6.6%,16.0%,7.9%,,16.1%,10.3%,,12.3%,20.4%,9.7%,0%,5.8%,17.7%,16.7%,19.0%,8.9%,11.3%,24.4%,9.2%,10.4%,11.9%,23.9%,5.0%,22.8%,0%,8.2%,,14.7%,17.4%,8.2%,7.2%,12.2%,16.2%,0%,,,,Percentage of eligible pupils with SEN support
62,CENSUS_21,NUMEAL,0,291,230,15,80,332,121,552,57,125,153,338,287,208,145,74,180,212,,273,411,,198,392,494,51,157,114,170,112,190,953,81,82,308,284,264,0,260,39,668,,695,121,196,348,1070,382,43,,,,No.  pupils where English not first language
63,CENSUS_21,NUMENGFL,0,182,121,200,129,237,351,373,177,108,48,303,128,169,510,93,244,492,,212,64,,37,68,132,161,253,293,511,121,259,624,116,311,143,201,104,0,619,69,740,,234,609,177,627,344,597,180,,,,No. pupils with English first language
64,CENSUS_21,NUMUNCFL,0,0,1,0,1,1,2,10,1,0,0,1,1,0,0,0,0,4,,54,0,,0,0,2,0,1,0,0,9,0,102,0,0,0,1,0,0,1,0,10,,2,13,3,3,20,19,11,,,,No. pupils where first language is unclassified
65,CENSUS_21,PNUMEAL,0%,61.5%,65.3%,7.0%,38.1%,58.2%,25.5%,59.0%,24.3%,53.6%,76.1%,52.6%,69.0%,55.2%,22.1%,44.3%,42.5%,29.9%,,50.6%,86.5%,,84.3%,85.2%,78.7%,24.1%,38.2%,28.0%,25.0%,46.3%,42.3%,56.8%,41.1%,20.9%,68.3%,58.4%,71.7%,0%,29.5%,36.1%,47.1%,,74.7%,16.3%,52.1%,35.6%,74.6%,38.3%,18.4%,,,,%  pupils where English not first language
66,CENSUS_21,PNUMENGFL,0%,38.5%,34.4%,93.0%,61.4%,41.6%,74.1%,39.9%,75.3%,46.4%,23.9%,47.2%,30.8%,44.8%,77.9%,55.7%,57.5%,69.5%,,39.3%,13.5%,,15.7%,14.8%,21.0%,75.9%,61.6%,72.0%,75.0%,50.0%,57.7%,37.2%,58.9%,79.1%,31.7%,41.4%,28.3%,0%,70.3%,63.9%,52.2%,,25.1%,82.0%,47.1%,64.1%,24.0%,59.8%,76.9%,,,,% pupils with English first language
67,CENSUS_21,PNUMUNCFL,0%,0%,0.3%,0%,0.5%,0.2%,0.4%,1.1%,0.4%,0%,0%,0.2%,0.2%,0%,0%,0%,0%,0.6%,,10.0%,0%,,0%,0%,0.3%,0%,0.2%,0%,0%,3.7%,0%,6.1%,0%,0%,0%,0.2%,0%,0%,0.1%,0%,0.7%,,0.2%,1.7%,0.8%,0.3%,1.4%,1.9%,4.7%,,,,% pupils where first language is unclassified
68,CENSUS_21,NUMFSM,0,195,119,11,61,209,86,313,93,64,71,196,171,151,265,33,171,63,,146,175,,59,194,182,97,63,173,113,88,155,589,82,89,109,205,102,0,212,59,447,,321,262,147,200,614,456,132,,,,No. pupils eligible for free school meals
69,CENSUS_21,NUMFSMEVER,,196,133,14,73,245,93,357,92,77,80,216,188,170,266,33,183,67,,176,183,,57,208,196,108,65,185,123,86,155,884,96,106,122,258,168,,302,42,545,,435,333,200,206,673,594,115,,,,Number of pupils eligible for FSM at any time during the past 6 years
70,CENSUS_21,PNUMFSMEVER,,41.4%,37.8%,6.5%,34.8%,43.0%,19.6%,38.2%,39.1%,33.0%,39.8%,33.6%,45.2%,45.1%,40.6%,19.8%,43.2%,9.5%,,32.7%,38.5%,,24.3%,45.2%,31.2%,50.9%,15.8%,45.5%,18.1%,35.5%,34.5%,52.7%,48.7%,27.0%,27.1%,53.1%,45.7%,,34.3%,38.9%,38.4%,,46.7%,44.8%,53.2%,21.1%,46.9%,59.5%,49.1%,,,,Percentage of pupils eligible for FSM at any time during the past 6 years
71,CENSUS_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
72,SWF_19,LA,,330,333,330,330,330,330,330,,333,330,333,330,330,330,,330,330,,330,,330,330,330,330,,330,330,330,330,330,330,330,330,333,330,,,330,,333,,330,330,330,330,330,330,,,,,Local Authority Number
73,SWF_19,URN,,137168,104000,103398,139465,103268,103178,103217,,141929,103247,138033,103401,138194,103460,,146268,132261,,142888,,134083,103431,132201,131465,,103438,103233,134098,103470,139000,139888,139439,103447,103933,139214,,,103497,,135170,,139994,138137,145120,136592,103519,143413,,,,,Unique Reference Number
74,SWF_19,NTEA,,27,16,12,11,33,23,42,,11,12,28,21,20,39,,17,42,,15,,28,12,24,41,,28,26,36,13,21,119,11,19,25,18,,,59,,101,,63,51,23,77,86,64,,,"260,096","219,269",Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
75,SWF_19,NTEAAS,,11,14,10,10,23,23,33,,14,11,30,20,7,18,,17,28,,18,,17,11,23,24,,15,11,33,11,12,22,9,13,22,19,,,15,,5,,16,10,2,7,35,14,,,"274,954","57,981",Total Number of Teaching Assistants (Headcount)
76,SWF_19,NNONTEA,,7,3,3,4,10,6,12,,5,4,7,5,4,7,,7,8,,5,,3,3,10,8,,3,7,8,3,6,48,3,3,4,4,,,27,,57,,25,26,10,26,33,28,,,"91,158","84,503","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
77,SWF_19,NFTETEA,,25.4,14.5,9.7,8.5,31.5,20.3,39.2,,10.3,11.2,26.4,18,18.8,35.5,,16.6,30.3,,14.6,,24.8,10,20.7,34.5,,22.2,21.6,32.7,11,20.1,110.6,10.4,17.4,24,17.5,,,55.2,,97,,61.4,50.5,22.5,67.4,81.8,62.9,,,"231,728","203,686",Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
78,SWF_19,NFTETEAAS,,9.1,11.5,6.5,7.8,17.6,16.4,28.2,,12.3,8.5,25.8,15.6,6.7,15.4,,13.7,17.6,,16.2,,11.3,7.9,19.4,18.9,,12.3,8.7,22.5,9.5,10.4,20.4,7.9,10.2,18.5,15.9,,,13.1,,4.1,,14.6,9.9,1.9,6,32.5,12.9,,,"178,546","45,918",Total Number of Teaching Assistants (Full-time Equivalent)
79,SWF_19,NFTENONTEA,,5,2.1,2.7,3.6,8.5,5.3,11,,3.3,2.1,6.8,4.1,3.8,5.9,,5.5,5.4,,4.5,,2.9,3,8.9,6.1,,2.3,5.6,6.9,2.2,5.3,46.1,2.4,2.6,3.4,3.7,,,25.2,,54.3,,22.9,23.9,10,25.1,30.9,26.1,,,61494.7,"71,228","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
80,SWF_19,RATPUPTEA,,17.8,20.5,21.9,25.2,20.0,22.7,22.5,,22.6,18.8,22.0,23.4,21.3,19.2,,25.2,21.6,,24.6,,0.0,23.0,24.1,18.3,,18.8,19.4,21.5,20.9,17.6,13.7,21.2,22.9,18.4,27.5,,,15.8,,13.2,,15.1,14.9,14.4,13.7,16.8,14.2,,,20.7,16.3,Pupil:Teacher Ratio
81,SWF_19,SALARY,,"£39,326","£35,173","£40,821","£38,091","£35,264","£38,436","£40,184",,"£35,213","£41,322","£36,526","£37,550","£34,086","£41,855",,"£36,029","£39,701",,"£34,808",,"£38,426","£39,665","£43,455","£33,699",,"£36,567","£40,414","£39,320","£38,674","£39,204","£39,378","£37,943","£41,029","£39,539","£40,248",,,"£40,360",,"£41,637",,"£42,421","£37,730","£44,912","£41,144","£39,735","£39,104",,,"£38,369","£40,571",Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
82,SWF_21,LA,,330,333,330,330,330,330,330,330,333,330,333,330,330,330,333,330,330,,330,330,,330,330,330,330,330,330,330,330,330,330,330,330,333,330,330,,330,330,333,,330,330,330,330,330,330,,,,,Local Authority Number
83,SWF_21,URN,,137168,104000,103398,139465,103268,103178,103217,103605,141929,103247,138033,103401,138194,103460,147191,146268,132261,,142888,144722,,103431,132201,131465,103622,103438,103233,134098,103470,139000,139888,139439,103447,103933,139214,147201,,103497,103625,135170,,139994,138137,145120,136592,103519,143413,,,,,Unique Reference Number
84,SWF_21,NTEA,,25,22,11,11,30,21,45,25,9,11,31,20,20,36,9,19,44,,26,29,,11,19,43,30,25,21,34,12,21,123,12,19,24,23,22,,65,15,103,,60,49,32,76,90,59,,,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
85,SWF_21,NTEAAS,,10,14,6,9,24,26,32,70,15,9,33,19,11,18,6,16,25,,24,18,,13,23,24,67,13,11,30,11,12,28,12,11,15,20,5,,20,40,7,,16,17,1,10,24,13,,,,,Total Number of Teaching Assistants (Headcount)
86,SWF_21,NNONTEA,,6,4,4,3,10,5,12,6,3,3,6,4,3,7,3,5,10,,9,6,,3,9,11,6,3,7,7,2,6,35,2,4,4,5,7,,25,4,62,,24,17,6,21,36,26,,,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
87,SWF_21,NFTETEA,,23.2,20.3,10.0,9.2,27.2,19.5,41.6,23.4,9.0,10.6,28.8,17.4,20.0,33.8,8.6,17.4,30.2,,25.6,25.3,,10.4,17.0,36.3,28.2,22.8,18.2,30.3,10.6,19.4,116.3,10.8,17.2,23.0,18.1,22.0,,60.4,14.2,99.5,,58.8,47.4,32.0,66.2,85.3,58.5,,,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
88,SWF_21,NFTETEAAS,,8.2,11.0,3.5,6.6,17.5,18.2,26.9,59.0,12.5,7.3,28.7,14.8,9.7,15.2,6.0,14.6,15.3,,23.4,12.4,,7.9,19.0,17.7,52.1,10.9,8.5,19.4,9.0,10.6,26.8,8.7,8.5,12.9,16.6,4.9,,17.4,34.6,6.6,,13.6,9.6,0.9,9.0,23.2,12.5,,,,,Total Number of Teaching Assistants (Full-time Equivalent)
89,SWF_21,NFTENONTEA,,4.2,3.4,3.6,2.9,8.6,4.6,10.6,6.0,2.0,2.0,5.9,4.0,2.8,5.9,3.0,3.7,6.1,,7.4,5.4,,3.0,9.0,8.9,3.9,2.3,6.1,6.1,2.0,5.3,34.0,2.0,2.7,3.4,4.8,7.0,,22.9,3.3,58.6,,22.7,12.0,6.0,20.0,32.8,24.3,,,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
90,SWF_21,RATPUPTEA,,19.4,16.5,21.5,22.9,21,23.3,21.3,10,25.1,19,21.8,23.9,17.9,19.3,18.1,24,23.5,,21.1,18.5,,21.6,25.7,17.3,7.5,18,22.4,21.8,21.8,22.3,14.4,18.2,22.8,18.7,24.6,16.7,,14.6,7.6,14.3,,15.8,15.7,11.8,14.8,16.8,17.1,,,,,Pupil:Teacher Ratio
91,SWF_21,SALARY,,"£43,357","£36,010","£43,334","£40,395","£39,160","£41,282","£44,193","£47,180","£41,196","£43,476","£38,267","£41,054","£36,204","£44,563","£36,894","£40,776","£42,894",,"£36,767","£37,668",,"£42,217","£47,321","£37,365","£41,485","£36,744","£40,586","£43,270","£42,959","£39,141","£41,483","£40,066","£41,856","£44,635","£41,827","£39,892",,"£42,119","£46,021","£44,347",,"£45,804","£41,853","£37,669","£43,964","£40,816","£41,003",,,,,Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
92,SWF_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
93,CFR_19,URN,,,104000,103398,,103268,103178,103217,103605,,103247,,103401,,103460,,,132261,,,,,103431,132201,131465,103622,103438,103233,134098,103470,,,,103447,103933,,,,103497,103625,,,,,,,103519,,,103616,,,Unique Reference Number
94,CFR_19,LONDON/NON-LONDON,,,Non-London,Non-London,,Non-London,Non-London,Non-London,Non-London,,Non-London,,Non-London,,Non-London,,,Non-London,,,,,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,,,,Non-London,Non-London,,,,Non-London,Non-London,,,,,,,Non-London,,,Non-London,,,London/Non-London
95,CFR_19,MEDIAN,,,Primary,Primary,,Primary,Primary,Primary,Special,,Primary,,Primary,,Primary,,,Primary,,,,,Primary,Primary,Primary,Special,Primary,Primary,Primary,Primary,,,,Primary,Primary,,,,Secondary with KS4,Special,,,,,,,Secondary with KS4,,,Special,Primary,Secondary with KS4,Group to compare
96,CFR_19,PUPILS,,,298 ,212 ,,630 ,460 ,884 ,196 ,,211 ,,422 ,,683 ,,,656 ,,,,,230 ,499 ,630 ,167 ,419 ,418 ,703 ,230 ,,,,399 ,442 ,,,,870 ,102 ,,,,,,,"1,371 ",,,234 ,,,Number of pupils (FTE)
97,CFR_19,FSM,,,21,1,,26,14,25,33,,24,,29,,27,,,7,,,,,18,28,22,37,9,30,13,33,,,,19,19,,,,20,48,,,,,,,32,,,54,,,Percentage of pupils eligible for Free School Meals (FSM)
98,CFR_19,FSMBAND,,,Medium,Low,,Medium,Low,Medium,Medium,,Medium,,Medium,,Medium,,,Low,,,,,Low,Medium,Medium,High,Low,Medium,Low,Medium,,,,Low,Low,,,,Low,High,,,,,,,Medium,,,High,,,Free school meals eligibility band
99,CFR_19,GRANTFUNDING,,,"5,314","4,544",,"5,013","4,956","5,046","21,489",,"5,967",,"5,359",,"4,636",,,"4,243",,,,,"5,200","5,273","4,648","18,256","4,220","5,598","4,780","5,546",,,,"4,685","5,009",,,,"6,345","23,233",,,,,,,"6,593",,,"13,682","4,848","5,724",Grant funding (&pound; per pupil)
100,CFR_19,SELFGENERATEDINCOME,,,93,"1,092",,217,317,222,402,,13,,45,,278,,,689,,,,,196,146,411,615,360,85,225,134,,,,339,113,,,,537,847,,,,,,,352,,,219,188,173,Self generated income (&pound; per pupil)
101,CFR_19,TOTALINCOME,,,"5,407","5,637",,"5,230","5,273","5,268","21,890",,"5,980",,"5,404",,"4,914",,,"4,933",,,,,"5,396","5,420","5,060","18,871","4,580","5,683","5,005","5,680",,,,"5,024","5,122",,,,"6,881","24,080",,,,,,,"6,944",,,"13,901","5,081","5,928",Total income (&pound; per pupil)
102,CFR_19,TEACHINGSTAFF,,,"2,115","2,383",,"2,259","1,960","2,205","6,549",,"2,974",,"2,142",,"2,715",,,"2,192",,,,,"2,175","2,295","2,194","6,590","2,221","2,262","2,196","2,352",,,,"2,241","2,511",,,,"3,425","7,461",,,,,,,"3,108",,,"6,289","2,284","3,222",Teaching staff (&pound; per pupil)
103,CFR_19,SUPPLYTEACHERS,,,5,24,,36,297,110,571,,5,,149,,137,,,29,,,,,126,89,161,251,9,129,67,0,,,,102,131,,,,8,616,,,,,,,137,,,248,105,109,Supply Staff (&pound; per pupil)
104,CFR_19,EDUCATIONSUPPORTSTAFF,,,"1,059",770,,805,800,723,"7,834",,"1,228",,995,,698,,,821,,,,,926,"1,297",575,"5,750",792,847,909,"1,316",,,,733,"1,145",,,,915,"8,924",,,,,,,"1,095",,,"3,095",889,594,Education support staff (&pound; per pupil)
105,CFR_19,PREMISES,,,327,380,,306,493,268,976,,406,,73,,140,,,260,,,,,249,208,282,679,198,72,298,278,,,,304,222,,,,921,508,,,,,,,890,,,687,309,356,Premises (incl. Staff costs) (&pound; per pupil)
106,CFR_19,BACKOFFICE,,,467,"1,090",,741,794,834,"4,423",,781,,"1,021",,614,,,994,,,,,787,803,733,"2,613",569,"1,367",888,829,,,,859,370,,,,678,"3,566",,,,,,,"1,033",,,"2,212",413,565,Back office (incl. Staff costs) (&pound; per pupil)
107,CFR_19,CATERING,,,226,218,,257,73,344,153,,319,,4,,343,,,310,,,,,407,322,251,53,270,315,131,350,,,,323,191,,,,100,550,,,,,,,132,,,411,190,51,Catering (incl. Staff costs) (&pound; per pupil)
108,CFR_19,OTHERSTAFF,,,139,206,,228,407,240,574,,189,,211,,196,,,125,,,,,257,167,174,511,224,210,225,170,,,,256,214,,,,72,"1,398",,,,,,,23,,,314,186,104,Other staff costs (&pound; per pupil)
109,CFR_19,ENERGY,,,62,78,,56,58,75,313,,115,,68,,52,,,56,,,,,64,151,90,257,55,69,63,56,,,,94,48,,,,109,99,,,,,,,167,,,171,62,96,Energy (&pound; per pupil)
110,CFR_19,LEARNINGRESOURCES,,,340,196,,217,196,170,414,,108,,179,,305,,,222,,,,,224,125,209,458,160,189,143,143,,,,103,111,,,,363,734,,,,,,,154,,,438,205,220,Learning resources (not ICT equipment) (&pound; per pupil)
111,CFR_19,ICT,,,79,28,,18,43,62,73,,46,,109,,35,,,3,,,,,0,32,12,96,71,33,5,33,,,,3,11,,,,140,87,,,,,,,0,,,1,51,69,ICT learning resources (&pound; per pupil)
112,CFR_19,BOUGHTINPROFESSIONALSERVICES,,,76,0,,41,4,3,7,,6,,110,,74,,,2,,,,,5,4,0,6,0,0,1,21,,,,1,59,,,,18,121,,,,,,,156,,,6,93,67,Bought in professional services - curriculum (&pound; per pupil)
113,CFR_19,OTHER,,,64,117,,105,73,106,23,,102,,170,,12,,,75,,,,,45,70,37,17,45,135,96,41,,,,44,96,,,,189,28,,,,,,,283,,,247,100,213,Other expenditure (&pound; per pupil)
114,CFR_19,TOTALEXPENDITURE,,,"4,960","5,489",,"5,067","5,197","5,139","21,910",,"6,280",,"5,230",,"5,321",,,"5,087",,,,,"5,266","5,562","4,718","17,281","4,612","5,627","5,024","5,588",,,,"5,062","5,109",,,,"6,938","24,091",,,,,,,"7,177",,,"14,120","5,034","5,891",Total expenditure (&pound; per pupil)
115,CFR_19,T1415CAT1,,,"3,531","2,888",,"2,748","2,455","2,678","14,442",,"3,136",,"3,260",,"2,765",,,"2,909",,,,,"3,418","3,302","1,894","17,114","2,650","3,151","3,215","3,693",,,,"2,568","3,362",,,,"3,892","16,944",,,,,,,"3,982",,,"8,845","2,927","3,825",
116,CFR_19,T1415CAT2,,,89,133,,172,270,135,145,,286,,357,,52,,,103,,,,,721,130,478,236,78,132,57,0,,,,228,127,,,,58,480,,,,,,,143,,,79,133,124,
117,CFR_19,T1415CAT3,,,446,995,,758,775,964,"4,512",,"1,233",,754,,666,,,677,,,,,677,"1,165","1,116","3,236",626,"1,251",689,979,,,,699,270,,,,798,"3,644",,,,,,,"2,284",,,"2,492",366,544,
118,CFR_19,T1415CAT4,,,96,85,,55,53,44,175,,90,,134,,56,,,58,,,,,67,139,79,67,61,79,50,75,,,,67,56,,,,131,99,,,,,,,135,,,107,61,99,
119,CFR_19,T1415CAT5,,,"5,456","4,878",,"4,479","4,349","4,577","23,453",,"5,825",,"5,469",,"4,752",,,"4,377",,,,,"6,147","5,631","4,566","23,256","4,817","6,749","4,847","5,733",,,,"4,349","4,720",,,,"6,799","23,144",,,,,,,"7,774",,,"13,758","4,645","5,944",
120,CFR_19,T1415SUM,,,1294,777,,746,796,756,4179,,1080,,964,,1213,,,630,,,,,1264,895,999,2603,1402,2136,836,986,,,,787,905,,,,1920,1977,,,,,,,1230,,,2235,,,
121,CFR_19,T1415CAT1LA,,,"3,060","2,834",,"3,004","2,834","3,202","14,442",,"3,004",,"3,004",,"2,834",,,"2,834",,,,,"3,004","3,004","2,834","14,442","2,834","3,202","2,834","3,004",,,,"2,834","3,060",,,,"3,874","14,442",,,,,,,"3,919",,,"14,442",,,
122,CFR_19,T1415CAT2LA,,,171,118,,194,118,184,414,,194,,194,,118,,,118,,,,,194,194,118,414,118,184,118,194,,,,118,171,,,,106,414,,,,,,,126,,,414,,,
123,CFR_19,T1415CAT3LA,,,377,308,,323,308,358,"1,169",,323,,323,,308,,,308,,,,,323,323,308,"1,169",308,358,308,323,,,,308,377,,,,461,"1,169",,,,,,,387,,,"1,169",,,
124,CFR_19,T1415CAT4LA,,,70,56,,58,56,72,178,,58,,58,,56,,,56,,,,,58,58,56,178,56,72,56,58,,,,56,70,,,,89,178,,,,,,,110,,,178,,,
125,CFR_19,T1415CAT5LA,,,"5,113","4,747",,"5,210","4,747","5,758","22,905",,"5,210",,"5,210",,"4,747",,,"4,747",,,,,"5,210","5,210","4,747","22,905","4,747","5,758","4,747","5,210",,,,"4,747","5,113",,,,"6,538","22,905",,,,,,,"7,456",,,"22,905",,,
126,CFR_19,T1516CAT1,,,"3,585","2,947",,"2,986","2,438","2,627","15,181",,"3,661",,"3,120",,"2,974",,,"3,066",,,,,"3,198","3,548","2,044","16,964","2,827","3,182","3,473","3,606",,,,"2,575","3,252",,,,"4,077","16,446",,,,,,,"3,842",,,"9,071","2,976","3,857",
127,CFR_19,T1516CAT2,,,67,11,,201,387,235,381,,152,,94,,79,,,74,,,,,624,100,273,334,42,246,46,0,,,,300,209,,,,30,374,,,,,,,101,,,25,126,122,
128,CFR_19,T1516CAT3,,,326,"1,271",,614,682,948,"3,960",,980,,810,,601,,,722,,,,,524,"1,013","1,276","3,109",518,439,616,963,,,,869,245,,,,795,"3,524",,,,,,,"2,179",,,"1,823",377,545,
129,CFR_19,T1516CAT4,,,51,69,,54,38,39,158,,61,,140,,45,,,44,,,,,48,72,34,0,50,71,41,65,,,,52,49,,,,118,162,,,,,,,146,,,141,58,97,
130,CFR_19,T1516CAT5,,,"5,632","5,323",,"5,594","4,888","4,882","21,554",,"5,944",,"5,244",,"4,775",,,"4,647",,,,,"5,719","5,636","4,387","22,788","4,322","5,625","5,075","5,658",,,,"4,735","4,899",,,,"6,754","23,252",,,,,,,"8,064",,,"14,265","4,777","6,013",
131,CFR_19,T1516SUM,,,1603,1025,,1739,1343,1033,1874,,1090,,1080,,1076,,,741,,,,,1325,903,760,2381,885,1687,899,1024,,,,939,1144,,,,1734,2746,,,,,,,1796,,,3205,,,
132,CFR_19,T1516CAT1LA,,,"3,148","2,902",,"3,120","2,902","3,120","16,073",,"3,120",,"3,120",,"3,120",,,"2,902",,,,,"2,902","3,120","3,120","16,073","2,902","3,120","2,902","3,120",,,,"2,902","3,148",,,,"3,909","14,439",,,,,,,"3,909",,,"14,439",,,
133,CFR_19,T1516CAT2LA,,,157,122,,200,122,200,384,,200,,200,,200,,,122,,,,,122,200,200,384,122,200,122,200,,,,122,157,,,,115,392,,,,,,,115,,,392,,,
134,CFR_19,T1516CAT3LA,,,413,685,,859,685,859,"3,752",,859,,859,,859,,,685,,,,,685,859,859,"3,752",685,859,685,859,,,,685,413,,,,"1,181","4,004",,,,,,,"1,181",,,"4,004",,,
135,CFR_19,T1516CAT4LA,,,62,52,,59,52,59,50,,59,,59,,59,,,52,,,,,52,59,59,50,52,59,52,59,,,,52,62,,,,94,175,,,,,,,94,,,175,,,
136,CFR_19,T1516CAT5LA,,,"5,117","4,789",,"5,323","4,789","5,323","21,912",,"5,323",,"5,323",,"5,323",,,"4,789",,,,,"4,789","5,323","5,323","21,912","4,789","5,323","4,789","5,323",,,,"4,789","5,117",,,,"6,391","22,032",,,,,,,"6,391",,,"22,032",,,
137,CFR_19,T1617CAT1,,,3491,2892,,2781,2476,2849,16334,,3787,,3152,,3095,,,3205,,,,,2734,3272,2518,18259,3172,3176,3322,3512,,,,2985,3317,,,,4050,17624,,,,,,,3191,,,9165,"3,042","3,919",
138,CFR_19,T1617CAT2,,,5,13,,147,271,239,389,,119,,282,,69,,,127,,,,,353,91,179,227,49,250,53,13,,,,227,130,,,,481,256,,,,,,,139,,,378,117,119,
139,CFR_19,T1617CAT3,,,370,996,,882,371,927,4542,,708,,607,,530,,,730,,,,,468,867,1137,3192,438,433,632,873,,,,809,232,,,,789,3183,,,,,,,2013,,,2213,384,545,
140,CFR_19,T1617CAT4,,,103,52,,55,50,47,329,,111,,125,,58,,,68,,,,,61,159,96,243,61,59,57,52,,,,57,45,,,,126,156,,,,,,,147,,,118,55,94,
141,CFR_19,T1617CAT5,,,5484,5139,,5813,4446,5288,25076,,5728,,5470,,5016,,,5084,,,,,4895,5341,5035,26373,4827,6192,4948,5676,,,,5236,4660,,,,6833,23838,,,,,,,7256,,,13928,"4,814","6,017",
142,CFR_19,T1617SUM,,,1515,1186,,1948,1278,1226,3482,,1003,,1304,,1264,,,954,,,,,1279,952,1105,4452,1107,2274,884,1226,,,,1158,936,,,,1387,2619,,,,,,,1766,,,2054,,,
143,CFR_19,T1617CAT1LA,,,"3,170","2,999",,"3,089","2,999","3,089","16,622",,"3,089",,"3,089",,"3,089",,,"2,999",,,,,"2,999","3,089","3,089","16,622","2,999","3,089","2,999","3,089",,,,"2,999","3,170",,,,"3,825","15,116",,,,,,,"3,825",,,"15,116",,,
144,CFR_19,T1617CAT2LA,,,150,133,,203,133,203,308,,203,,203,,203,,,133,,,,,133,203,203,308,133,203,133,203,,,,133,150,,,,102,644,,,,,,,102,,,644,,,
145,CFR_19,T1617CAT3LA,,,5349,5400,,5134,4629,5165,24386,,5541,,5329,,5135,,,5143,,,,,4995,5394,5137,25281,4850,6060,4795,5422,,,,4880,4606,,,,7426,26925,,,,,,,6999,,,13736,,,
146,CFR_19,T1617CAT4LA,,,1198,541,,779,667,771,8120,,1052,,1024,,623,,,896,,,,,808,1188,499,7264,761,925,1057,1174,,,,804,1147,,,,999,9146,,,,,,,0,,,2698,,,
147,CFR_19,T1617CAT5LA,,,103,52,,55,50,47,329,,111,,125,,58,,,68,,,,,61,159,96,243,61,59,57,52,,,,57,45,,,,126,156,,,,,,,147,,,118,,,
148,CFR_19,T1718CAT1,,,"3,225 ","2,881 ",,"3,025 ","2,639 ","2,644 ","14,426 ",,"4,163 ",,"3,109 ",,"3,278 ",,,"3,155 ",,,,,"3,060 ","3,515 ","2,588 ","12,112 ","2,928 ","3,314 ","3,145 ","3,715 ",,,,"3,078 ","3,561 ",,,,"4,354 ","16,441 ",,,,,,,"4,112 ",,,"10,521 ","3,078","3,817",
149,CFR_19,T1718CAT2,,,51 ,42 ,,114 ,375 ,176 ,701 ,,62 ,,159 ,,169 ,,,78 ,,,,,296 ,183 ,164 ,323 ,5 ,188 ,35 ,11 ,,,,100 ,79 ,,,,8 ,42 ,,,,,,,94 ,,,296 ,106,114,
