No,Namespace,Variable,Silvertrees Academy - 140792,Reaside Academy - 139002,Northfield Road Primary School - 147155,Northfield Road Primary School - 103775,Hydesville Tower School - 104266,Four Oaks Primary School - 131920,St Edward's Catholic Primary School - 125707,St Edward's Catholic Primary School - 148125,Glebefields Primary School - 103925,St Pauls Church of England Academy - 140921,St James Catholic Primary School - 141820,Kings Hill Primary School - 104179,Woodlands - 145224,St Mary of the Angels Catholic Primary School - 104240,Hill West Primary School - 139520,Dudley Wood Primary School - 144078,Wednesbury Oak Academy - 140793,Salisbury Primary School - 104178,Lutley Primary School - 143783,Cradley CofE Primary School - 103846,Moorcroft Wood Primary School - 135016,Butts Primary School - 104147,St Patricks Church of England Primary Academy - 136320,Colley Lane Primary Academy - 142964,Romsley St Kenelm's CofE Primary School - 116846,West Midlands Education and Skills - 146563,Little Sutton Primary School - 103388,"St Patrick's Catholic Primary School, Walsall - 104233",Emmanuel School - 130323,Birchills Church of England Community Academy - 139435,St Martin's Church of England Primary School - 141825,Cooper and Jordan Church of England Primary School - 132073,Netherton CofE Primary School - 144418,Pinfold Street Primary School - 104176,Blowers Green Primary School - 103771,Blowers Green Primary School - 147708,Beaconside Primary and Nursery School - 116768,Little Aston Primary Academy - 148285,Little Aston Primary School - 124127,Caslon Primary Community  School - 103801,Holywell Primary and Nursery School - 132060,Gospel Oak School - 135599,St Francis of Assisi Catholic College - 104255,Aldridge School - A Science College - 137974,Queen Mary's High School - 136777,The Link Academy - 144952,Bloomfield School - 135518,West Walsall E-ACT Academy - 138374,Walsall College - 130483,Dudley College of Technology - 130475,National state-funded primary,National state-funded secondary and 16 to 18,Description
62,CENSUS_21,NUMEAL,111,18,52,,0,98,1,,50,25,7,186,13,23,30,30,33,208,8,4,22,127,33,155,3,0,50,116,0,166,42,17,37,80,,142,3,79,,35,4,81,148,183,287,203,0,677,,,,,No.  pupils where English not first language
63,CENSUS_21,NUMENGFL,245,172,348,,0,323,221,,366,198,204,260,193,203,392,399,400,111,616,203,232,115,202,420,189,0,360,99,0,269,238,456,377,340,,89,243,150,,162,443,1113,985,1376,558,698,0,431,,,,,No. pupils with English first language
64,CENSUS_21,NUMUNCFL,0,0,0,,0,0,0,,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,15,5,0,0,0,0,0,0,,0,0,0,,0,2,1,0,0,1,1,0,2,,,,,No. pupils where first language is unclassified
65,CENSUS_21,PNUMEAL,31.2%,9.5%,13.0%,,0%,23.3%,0.5%,,12.0%,11.2%,3.3%,41.7%,6.3%,10.2%,7.1%,7.0%,7.6%,64.6%,1.3%,1.9%,8.7%,52.5%,14.0%,27.0%,1.6%,0%,11.8%,52.7%,0%,38.2%,15.0%,3.6%,8.9%,19.0%,,61.5%,1.2%,34.5%,,17.8%,0.9%,6.8%,13.1%,11.7%,33.9%,22.5%,0%,61.0%,,,,,%  pupils where English not first language
66,CENSUS_21,PNUMENGFL,68.8%,90.5%,87.0%,,0%,76.7%,99.5%,,88.0%,88.8%,96.7%,58.3%,93.7%,89.8%,92.7%,93.0%,92.4%,34.5%,98.7%,98.1%,91.3%,47.5%,86.0%,73.0%,97.9%,0%,84.7%,45.0%,0%,61.8%,85.0%,96.4%,91.1%,81.0%,,38.5%,98.8%,65.5%,,82.2%,98.7%,93.1%,86.9%,88.3%,66.0%,77.4%,0%,38.8%,,,,,% pupils with English first language
67,CENSUS_21,PNUMUNCFL,0%,0%,0%,,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0.2%,0%,0%,0.9%,0%,0%,0%,0%,0%,0%,0.5%,0%,3.5%,2.3%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,,0%,0.4%,0.1%,0%,0%,0.1%,0.1%,0%,0.2%,,,,,% pupils where first language is unclassified
68,CENSUS_21,NUMFSM,77,114,153,,0,18,37,,190,46,51,154,82,21,57,126,140,126,36,29,118,85,23,158,25,0,22,78,0,178,129,46,159,199,,79,25,8,,81,81,358,155,264,99,304,0,480,,,,,No. pupils eligible for free school meals
69,CENSUS_21,NUMFSMEVER,77,131,163,,,24,38,,210,55,53,175,86,25,72,134,155,136,44,33,127,96,25,172,28,,27,79,,193,142,53,173,222,,87,24,15,,91,88,469,199,365,139,388,,527,,,,,Number of pupils eligible for FSM at any time during the past 6 years
70,CENSUS_21,PNUMFSMEVER,21.6%,68.9%,40.8%,,,5.7%,17.1%,,50.5%,24.7%,25.1%,39.2%,41.7%,11.1%,17.0%,31.2%,35.8%,42.2%,7.1%,15.9%,50.0%,39.7%,10.6%,29.9%,14.5%,,6.4%,35.9%,,44.4%,50.7%,11.2%,41.8%,52.9%,,37.7%,9.8%,6.6%,,46.2%,19.6%,39.2%,17.6%,23.4%,16.4%,43.0%,,47.5%,,,,,Percentage of pupils eligible for FSM at any time during the past 6 years
71,CENSUS_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
72,SWF_19,LA,333,330,,332,,330,937,,333,333,330,335,,335,330,332,333,335,332,332,335,335,334,332,885,,330,335,,335,336,335,332,335,332,,885,,860,332,885,333,335,335,335,332,,335,,,,,Local Authority Number
73,SWF_19,URN,140792,139002,,103775,,131920,125707,,103925,140921,141820,104179,,104240,139520,144078,140793,104178,143783,103846,135016,104147,136320,142964,116846,,103388,104233,,139435,141825,132073,144418,104176,103771,,116768,,124127,103801,132060,135599,104255,137974,136777,144952,,138374,,,,,Unique Reference Number
74,SWF_19,NTEA,15,13,,20,,21,11,,23,10,11,14,,14,26,29,24,14,35,12,11,10,15,33,12,,22,10,,15,13,20,24,20,11,,13,,11,10,24,67,70,103,55,62,,64,,,"260,096","219,269",Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
75,SWF_19,NTEAAS,22,9,,21,,12,10,,28,14,9,24,,11,12,21,26,14,41,7,22,16,16,55,14,,16,11,,32,13,26,23,23,13,,14,,12,15,26,19,12,35,2,20,,12,,,"274,954","57,981",Total Number of Teaching Assistants (Headcount)
76,SWF_19,NNONTEA,5,5,,2,,6,4,,3,2,3,3,,5,7,3,8,5,14,3,6,4,2,6,4,,5,4,,7,4,5,3,6,1,,3,,9,4,5,25,20,25,21,27,,23,,,"91,158","84,503","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
77,SWF_19,NFTETEA,13.6,12.4,,18.8,,19.8,9.8,,21.7,8.7,9.6,14,,11.4,23.6,24.7,22,14,30.3,10.2,9.3,9.4,12.1,30.4,9.1,,18.6,7.8,,15,11.9,16.9,22.2,18.4,10.1,,11.1,,9.6,9.6,19.8,66.2,62.3,95.1,45.9,57.7,,61.8,,,"231,728","203,686",Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
78,SWF_19,NFTETEAAS,18.4,6.6,,17.9,,9.7,7.2,,21.5,9.9,6,18.4,,5.4,8.6,17.3,16.5,8.9,19.9,6.3,14.5,11.2,9.9,36.6,6.7,,8.2,8.7,,29.1,11.4,16.8,15.1,15.8,9.9,,9.7,,7.6,11.1,14.4,16.1,8,27,1.9,17.5,,10.4,,,"178,546","45,918",Total Number of Teaching Assistants (Full-time Equivalent)
79,SWF_19,NFTENONTEA,4.3,3.4,,2,,5.3,2.6,,2.6,1.9,3,3,,2.3,4,2.7,7.3,3.8,7.1,2.1,3,3.1,2,5.3,3.5,,4.5,3.7,,6.3,3.3,4.7,2.8,4.8,0.9,,2.8,,5.1,4,3.7,22.3,18.4,20.4,17.1,19.8,,19.1,,,61494.7,"71,228","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
80,SWF_19,RATPUPTEA,22.9,16.9,,21.5,,21.3,21.1,,19.9,25.2,22.0,27.7,,19.6,17.8,18.0,20.5,22.8,20.9,20.8,25.2,24.9,18.0,20.2,22.3,,22.7,27.8,,29.1,22.9,27.5,18.4,22.6,22.2,,21.5,,23.4,21.6,22.3,16.1,17.1,15.8,16.0,16.5,,14.2,,,20.7,16.3,Pupil:Teacher Ratio
81,SWF_19,SALARY,"£35,644","£35,338",,"£39,730",,"£37,365","£38,550",,"£39,901","£40,337","£42,857","£37,799",,"£38,167","£35,277","£39,280","£35,234","£35,271","£37,904","£36,458","£41,141","£41,627","£37,057","£33,693","£38,896",,"£40,062","£38,771",,"£29,483","£40,408","£39,177","£35,830","£38,625","£45,480",,"£38,661",,"£39,624","£41,610","£38,279","£36,323","£41,139","£38,134","£42,495","£42,909",,"£30,884",,,"£38,369","£40,571",Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
82,SWF_21,LA,333,330,332,,,330,937,,333,333,330,335,937,335,330,332,333,335,332,332,335,335,334,332,885,,330,335,,335,336,335,332,335,,,885,,860,332,885,333,335,335,335,332,,335,,,,,Local Authority Number
83,SWF_21,URN,140792,139002,147155,,,131920,125707,,103925,140921,141820,104179,145224,104240,139520,144078,140793,104178,143783,103846,135016,104147,136320,142964,116846,,103388,104233,,139435,141825,132073,144418,104176,,,116768,,124127,103801,132060,135599,104255,137974,136777,144952,,138374,,,,,Unique Reference Number
84,SWF_21,NTEA,13,10,18,,,20,10,,22,11,11,10,27,9,26,28,23,14,31,12,12,10,14,31,13,,23,7,,16,15,18,24,21,,,18,,11,10,26,82,64,102,52,66,,58,,,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
85,SWF_21,NTEAAS,19,7,19,,,11,12,,25,14,9,23,91,15,16,21,29,10,20,7,19,16,12,41,20,,16,8,,22,13,23,22,21,,,14,,10,12,30,21,17,36,5,20,,9,,,,,Total Number of Teaching Assistants (Headcount)
86,SWF_21,NNONTEA,5,4,8,,,6,2,,4,2,6,2,19,5,5,4,5,4,20,3,2,4,2,4,4,,5,4,,4,4,6,3,6,,,4,,9,5,5,19,18,27,16,23,,20,,,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
87,SWF_21,NFTETEA,12.6,9.8,17.8,,,18.8,9.3,,20.6,10.5,9.2,10.0,22.5,7.4,23.0,22.7,20.7,14.0,27.5,10.0,9.5,9.6,11.5,27.2,10.0,,19.5,5.6,,16.0,14.7,16.3,21.6,19.4,,,16.0,,9.2,8.5,19.8,81.8,57.0,94.9,46.5,59.8,,57.1,,,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
88,SWF_21,NFTETEAAS,15.2,4.9,14.6,,,8.2,8.4,,19.2,10.7,6.8,17.3,66.4,7.8,11.4,16.4,20.7,7.8,14.2,6.3,13.2,11.6,6.7,28.1,10.2,,7.8,6.1,,18.0,11.4,14.8,15.6,15.9,,,8.7,,6.0,9.4,17.1,18.9,13.6,28.0,3.4,17.5,,7.7,,,,,Total Number of Teaching Assistants (Full-time Equivalent)
89,SWF_21,NFTENONTEA,4.0,2.8,6.1,,,5.3,1.6,,3.0,1.9,4.9,2.0,17.0,2.3,2.3,3.7,5.0,3.4,10.9,2.1,1.7,3.3,1.9,3.3,3.5,,4.5,3.8,,3.6,3.3,5.0,2.3,5.3,,,2.9,,5.2,4.2,3.7,16.4,17.7,22.0,13.5,19.6,,17.2,,,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
90,SWF_21,RATPUPTEA,25.5,19.4,22.5,,,22.4,23.8,,19.6,20.5,23.1,41.6,9.2,30.2,18.4,18.2,20.4,22.3,22.7,20.7,24.3,23.5,20.1,20.4,19.3,,21.8,38.2,,26.2,18.2,28.1,18.7,21.6,,,14.8,,24.9,23.1,22.1,14.6,19.9,16.4,18.2,15.1,,19.5,,,,,Pupil:Teacher Ratio
91,SWF_21,SALARY,"£37,060","£43,648","£40,577",,,"£41,299","£39,258",,"£39,185","£40,075","£46,483","£44,325","£43,795","£41,048","£38,500","£39,868","£36,286","£35,088","£40,800","£40,459","£43,531","£42,506","£39,417","£39,361","£40,789",,"£43,159","£38,187",,"£39,696","£41,682","£41,675","£38,822","£38,886",,,"£39,493",,"£44,170","£43,263","£40,020","£36,413","£43,349","£40,755","£44,067","£38,762",,"£35,413",,,,,Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
92,SWF_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
93,CFR_19,URN,,,,103775,,131920,125707,,103925,,,104179,,104240,,,,104178,,103846,135016,104147,,,116846,,103388,104233,,,,132073,,104176,103771,,116768,,124127,103801,132060,,104255,,,,,,,,,,Unique Reference Number
94,CFR_19,LONDON/NON-LONDON,,,,Non-London,,Non-London,Non-London,,Non-London,,,Non-London,,Non-London,,,,Non-London,,Non-London,Non-London,Non-London,,,Non-London,,Non-London,Non-London,,,,Non-London,,Non-London,Non-London,,Non-London,,Non-London,Non-London,Non-London,,Non-London,,,,,,,,,,London/Non-London
95,CFR_19,MEDIAN,,,,Primary,,Primary,Primary,,Primary,,,Primary,,Primary,,,,Primary,,Primary,Primary,Primary,,,Primary,,Primary,Primary,,,,Primary,,Primary,Primary,,Primary,,Primary,Primary,Primary,,Secondary with KS4,,,,,,,,Primary,Secondary with KS4,Group to compare
96,CFR_19,PUPILS,,,,404 ,,422 ,206 ,,432 ,,,388 ,,224 ,,,,319 ,,212 ,235 ,235 ,,,202 ,,422 ,217 ,,,,466 ,,415 ,224 ,,239 ,,225 ,207 ,442 ,,"1,065 ",,,,,,,,,,Number of pupils (FTE)
97,CFR_19,FSM,,,,31,,4,14,,34,,,31,,8,,,,23,,9,35,31,,,10,,4,25,,,,6,,38,23,,8,,3,29,12,,8,,,,,,,,,,Percentage of pupils eligible for Free School Meals (FSM)
98,CFR_19,FSMBAND,,,,Medium,,Low,Low,,Medium,,,Medium,,Low,,,,Medium,,Low,Medium,Medium,,,Low,,Low,Medium,,,,Low,,High,Medium,,Low,,Low,Medium,Low,,Low,,,,,,,,,,Free school meals eligibility band
99,CFR_19,GRANTFUNDING,,,,"5,057",,"4,204","4,617",,"5,319",,,"5,112",,"4,748",,,,"5,392",,"4,499","5,933","5,633",,,"4,353",,"4,638","5,530",,,,"4,067",,"5,264","5,803",,"4,670",,"4,312","6,018","4,244",,"5,159",,,,,,,,"4,848","5,724",Grant funding (&pound; per pupil)
100,CFR_19,SELFGENERATEDINCOME,,,,134,,656,220,,43,,,21,,70,,,,104,,419,212,109,,,288,,225,130,,,,291,,180,64,,119,,176,508,79,,15,,,,,,,,188,173,Self generated income (&pound; per pupil)
101,CFR_19,TOTALINCOME,,,,"5,191",,"4,860","4,837",,"5,362",,,"5,133",,"4,819",,,,"5,496",,"4,918","6,145","5,742",,,"4,641",,"4,863","5,660",,,,"4,357",,"5,444","5,867",,"4,789",,"4,488","6,526","4,324",,"5,174",,,,,,,,"5,081","5,928",Total income (&pound; per pupil)
102,CFR_19,TEACHINGSTAFF,,,,"2,202",,"2,217","2,148",,"2,363",,,"2,067",,"2,298",,,,"2,206",,"2,363","2,380","2,231",,,"2,301",,"2,273","2,100",,,,"1,869",,"2,130","2,649",,"2,236",,"2,173","2,284","2,088",,"3,259",,,,,,,,"2,284","3,222",Teaching staff (&pound; per pupil)
103,CFR_19,SUPPLYTEACHERS,,,,120,,43,71,,172,,,54,,227,,,,374,,4,27,21,,,39,,16,49,,,,49,,228,22,,101,,35,111,151,,236,,,,,,,,105,109,Supply Staff (&pound; per pupil)
104,CFR_19,EDUCATIONSUPPORTSTAFF,,,,"1,170",,709,893,,"1,229",,,"1,117",,605,,,,740,,883,"1,604","1,250",,,643,,633,"1,051",,,,936,,899,"1,186",,885,,604,"1,835",725,,332,,,,,,,,889,594,Education support staff (&pound; per pupil)
105,CFR_19,PREMISES,,,,264,,259,381,,240,,,367,,365,,,,335,,281,314,380,,,311,,323,592,,,,367,,349,580,,324,,281,569,275,,359,,,,,,,,309,356,Premises (incl. Staff costs) (&pound; per pupil)
106,CFR_19,BACKOFFICE,,,,446,,"1,087",515,,312,,,338,,326,,,,399,,432,389,589,,,409,,681,542,,,,248,,414,656,,281,,338,609,285,,448,,,,,,,,413,565,Back office (incl. Staff costs) (&pound; per pupil)
107,CFR_19,CATERING,,,,185,,22,206,,186,,,202,,154,,,,238,,133,275,216,,,193,,186,228,,,,189,,196,237,,156,,176,235,127,,21,,,,,,,,190,51,Catering (incl. Staff costs) (&pound; per pupil)
108,CFR_19,OTHERSTAFF,,,,83,,138,396,,169,,,280,,275,,,,276,,85,376,310,,,210,,130,340,,,,260,,295,78,,327,,216,233,269,,219,,,,,,,,186,104,Other staff costs (&pound; per pupil)
109,CFR_19,ENERGY,,,,56,,60,110,,75,,,67,,61,,,,68,,50,65,69,,,34,,58,88,,,,88,,45,69,,57,,58,89,43,,90,,,,,,,,62,96,Energy (&pound; per pupil)
110,CFR_19,LEARNINGRESOURCES,,,,247,,141,240,,307,,,112,,95,,,,172,,176,225,217,,,208,,81,227,,,,149,,266,158,,125,,165,274,215,,134,,,,,,,,205,220,Learning resources (not ICT equipment) (&pound; per pupil)
111,CFR_19,ICT,,,,206,,24,71,,76,,,58,,71,,,,68,,193,74,50,,,11,,41,54,,,,93,,57,137,,113,,133,249,19,,60,,,,,,,,51,69,ICT learning resources (&pound; per pupil)
112,CFR_19,BOUGHTINPROFESSIONALSERVICES,,,,112,,5,65,,175,,,69,,139,,,,87,,84,155,151,,,99,,0,164,,,,72,,140,52,,65,,124,108,99,,22,,,,,,,,93,67,Bought in professional services - curriculum (&pound; per pupil)
113,CFR_19,OTHER,,,,83,,88,-534,,136,,,60,,-103,,,,62,,42,89,89,,,95,,83,29,,,,38,,82,109,,134,,-154,115,128,,133,,,,,,,,100,213,Other expenditure (&pound; per pupil)
114,CFR_19,TOTALEXPENDITURE,,,,"5,173",,"4,794","4,562",,"5,441",,,"4,791",,"4,513",,,,"5,025",,"4,727","5,972","5,572",,,"4,552",,"4,505","5,463",,,,"4,358",,"5,101","5,932",,"4,806",,"4,147","6,711","4,424",,"5,312",,,,,,,,"5,034","5,891",Total expenditure (&pound; per pupil)
115,CFR_19,T1415CAT1,,,,"3,225",,"2,822","2,476",,"3,125",,,"2,817",,SUPP,,,,"3,171",,"2,751","3,925","3,584",,,"2,671",,"2,368","3,138",,,,NA,,"2,677",SUPP,,"2,956",,"2,615","3,683",SUPP,,"3,476",,,,,,,,"2,927","3,825",
116,CFR_19,T1415CAT2,,,,104,,26,39,,131,,,332,,74,,,,325,,58,56,127,,,42,,103,390,,,,NA,,283,168,,70,,6,164,58,,253,,,,,,,,133,124,
117,CFR_19,T1415CAT3,,,,386,,678,284,,265,,,552,,311,,,,573,,332,395,404,,,367,,619,595,,,,NA,,457,391,,186,,382,408,215,,460,,,,,,,,366,544,
118,CFR_19,T1415CAT4,,,,49,,44,89,,94,,,100,,64,,,,91,,54,61,68,,,41,,44,86,,,,NA,,68,SUPP,,56,,55,90,42,,99,,,,,,,,61,99,
119,CFR_19,T1415CAT5,,,,"4,868",,"4,280","3,859",,"4,844",,,"5,030",,"4,787",,,,"5,347",,"4,258","5,844","5,708",,,"4,005",,"3,884","5,505",,,,NA,,"5,075","5,542",,"4,323",,"4,182","5,883","3,641",,"5,388",,,,,,,,"4,645","5,944",
120,CFR_19,T1415SUM,,,,1104,,710,971,,1229,,,1229,,4338,,,,1187,,1063,1407,1525,,,884,,750,1296,,,,NA,,1590,4983,,1055,,1124,1538,3326,,1100,,,,,,,,,,
121,CFR_19,T1415CAT1LA,,,,"3,462",,"2,834","2,697",,"3,086",,,"3,263",,"2,956",,,,"3,054",,"2,783","3,054","3,054",,,"2,935",,"2,834","2,956",,,,NA,,"3,054","3,049",,"2,935",,"2,689","3,462","2,935",,"3,476",,,,,,,,,,
122,CFR_19,T1415CAT2LA,,,,158,,118,126,,184,,,172,,133,,,,194,,131,194,194,,,88,,118,133,,,,NA,,194,126,,88,,123,158,88,,253,,,,,,,,,,
123,CFR_19,T1415CAT3LA,,,,337,,308,250,,341,,,444,,349,,,,472,,311,472,472,,,229,,308,349,,,,NA,,472,313,,229,,247,337,229,,403,,,,,,,,,,
124,CFR_19,T1415CAT4LA,,,,82,,56,59,,74,,,97,,57,,,,66,,61,66,66,,,52,,56,57,,,,NA,,66,68,,52,,64,82,52,,99,,,,,,,,,,
125,CFR_19,T1415CAT5LA,,,,"5,754",,"4,747","4,197",,"4,922",,,"5,548",,"4,517",,,,"5,232",,"4,322","5,232","5,232",,,"4,456",,"4,747","4,517",,,,NA,,"5,232","4,852",,"4,456",,"4,196","5,754","4,456",,"5,388",,,,,,,,,,
126,CFR_19,T1516CAT1,,,,"3,251",,"2,761","2,581",,"3,056",,,"2,919",,"3,111",,,,"2,912",,"2,973","3,722","3,663",,,"2,663",,"2,534","3,101",,,,"2,630",,"2,720","3,491",,"3,206",,"2,694","3,499",SUPP,,"3,577",,,,,,,,"2,976","3,857",
127,CFR_19,T1516CAT2,,,,166,,60,156,,217,,,119,,53,,,,304,,66,32,80,,,50,,83,239,,,,107,,377,179,,135,,0,142,99,,255,,,,,,,,126,122,
128,CFR_19,T1516CAT3,,,,363,,577,286,,269,,,377,,294,,,,372,,359,329,369,,,407,,601,413,,,,292,,374,457,,259,,366,463,253,,465,,,,,,,,377,545,
129,CFR_19,T1516CAT4,,,,61,,60,88,,92,,,75,,63,,,,51,,56,48,60,,,34,,112,68,,,,99,,42,69,,58,,56,87,37,,90,,,,,,,,58,97,
130,CFR_19,T1516CAT5,,,,"5,060",,"4,297","3,869",,"4,870",,,"4,729",,"4,456",,,,"4,868",,"4,487","5,582","5,698",,,"4,100",,"4,264","5,155",,,,"4,070",,"4,885","5,418",,"4,797",,"4,096","5,633","3,905",,"5,371",,,,,,,,"4,777","6,013",
131,CFR_19,T1516SUM,,,,1219,,839,758,,1236,,,1239,,935,,,,1229,,1033,1451,1526,,,946,,934,1334,,,,942,,1372,1222,,1139,,980,1442,3516,,984,,,,,,,,,,
132,CFR_19,T1516CAT1LA,,,,"3,251",,"2,902","2,778",,"3,056",,,"3,103",,"2,961",,,,"3,104",,"2,850","3,104","3,104",,,"2,989",,"2,902","3,104",,,,"2,961",,"3,104","3,251",,"2,989",,"2,755","3,251","2,989",,"3,577",,,,,,,,,,
133,CFR_19,T1516CAT2LA,,,,154,,122,114,,239,,,154,,103,,,,156,,118,156,156,,,90,,122,156,,,,103,,156,154,,90,,105,154,90,,255,,,,,,,,,,
134,CFR_19,T1516CAT3LA,,,,405,,685,320,,301,,,381,,317,,,,359,,356,359,359,,,380,,685,359,,,,317,,359,405,,380,,390,405,380,,465,,,,,,,,,,
135,CFR_19,T1516CAT4LA,,,,66,,52,56,,67,,,74,,63,,,,60,,64,60,60,,,45,,52,60,,,,63,,60,66,,45,,60,66,45,,90,,,,,,,,,,
136,CFR_19,T1516CAT5LA,,,,"5,121",,"4,789","4,347",,"4,870",,,"5,562",,"4,627",,,,"5,185",,"4,501","5,185","5,185",,,"4,631",,"4,789","5,185",,,,"4,627",,"5,185","5,121",,"4,631",,"4,255","5,121","4,631",,"5,371",,,,,,,,,,
137,CFR_19,T1617CAT1,,,,2996,,2826,2682,,3046,,,3024,,2853,,,,2916,,3079,3590,3453,,,2822,,2764,2778,,,,2576,,3013,3529,,3215,,2845,2932,2654,,3703,,,,,,,,"3,042","3,919",
138,CFR_19,T1617CAT2,,,,424,,43,47,,183,,,168,,72,,,,345,,74,1,92,,,93,,42,556,,,,13,,171,42,,44,,86,220,78,,239,,,,,,,,117,119,
139,CFR_19,T1617CAT3,,,,388,,631,272,,307,,,332,,324,,,,380,,440,321,344,,,448,,557,229,,,,268,,472,472,,260,,349,391,305,,452,,,,,,,,384,545,
140,CFR_19,T1617CAT4,,,,41,,47,81,,76,,,61,,48,,,,64,,50,44,63,,,32,,93,78,,,,49,,52,50,,52,,53,67,34,,79,,,,,,,,55,94,
141,CFR_19,T1617CAT5,,,,5052,,4693,4234,,4745,,,4959,,4208,,,,4973,,4683,5170,5417,,,4768,,4273,4987,,,,3699,,5254,5403,,4561,,4359,4721,3808,,5356,,,,,,,,"4,814","6,017",
142,CFR_19,T1617SUM,,,,1203,,1146,1152,,1133,,,1374,,911,,,,1268,,1040,1214,1465,,,1373,,817,1346,,,,793,,1546,1310,,990,,1026,1111,737,,883,,,,,,,,,,
143,CFR_19,T1617CAT1LA,,,,"3,283",,"2,999","2,812",,"3,334",,,"3,149",,"2,814",,,,"3,133",,"2,914","3,133","3,133",,,"3,064",,"2,999","3,133",,,,"2,814",,"3,133","3,283",,"3,064",,"2,877","3,283","3,064",,"3,703",,,,,,,,,,
144,CFR_19,T1617CAT2LA,,,,102,,133,112,,203,,,112,,95,,,,163,,98,163,163,,,81,,133,163,,,,95,,163,102,,81,,99,102,81,,239,,,,,,,,,,
145,CFR_19,T1617CAT3LA,,,,5123,,4738,4307,,4941,,,4957,,4161,,,,4941,,4661,5163,5182,,,4505,,4245,4936,,,,3685,,5209,5438,,4641,,4167,4801,3945,,5104,,,,,,,,,,
146,CFR_19,T1617CAT4LA,,,,1126,,664,844,,1023,,,1017,,580,,,,986,,732,1434,1203,,,607,,721,1177,,,,884,,897,997,,887,,668,962,703,,346,,,,,,,,,,
147,CFR_19,T1617CAT5LA,,,,41,,47,81,,76,,,61,,48,,,,64,,50,44,63,,,32,,93,78,,,,49,,52,50,,52,,53,67,34,,79,,,,,,,,,,
148,CFR_19,T1718CAT1,,,,"3,130 ",,"2,821 ","2,882 ",,"3,546 ",,,"3,160 ",,"2,856 ",,,,"2,683 ",,"2,952 ","3,879 ","3,531 ",,,"3,068 ",,"2,839 ","2,747 ",,,,"2,678 ",,"3,018 ","3,587 ",,"3,266 ",,"2,911 ","3,811 ","2,706 ",,"3,697 ",,,,,,,,"3,078","3,817",
149,CFR_19,T1718CAT2,,,,236 ,,66 ,-   ,,177 ,,,155 ,,37 ,,,,383 ,,101 ,8 ,42 ,,,46 ,,18 ,51 ,,,,72 ,,215 ,132 ,,71 ,,89 ,223 ,159 ,,353 ,,,,,,,,106,114,
150,CFR_19,T1718CAT3,,,,401 ,,846 ,307 ,,290 ,,,341 ,,282 ,,,,420 ,,402 ,366 ,503 ,,,380 ,,525 ,862 ,,,,281 ,,414 ,552 ,,227 ,,396 ,491 ,233 ,,313 ,,,,,,,,392,542,
151,CFR_19,T1718CAT4,,,,55 ,,57 ,108 ,,71 ,,,72 ,,54 ,,,,39 ,,47 ,45 ,59 ,,,35 ,,110 ,70 ,,,,42 ,,43 ,59 ,,54 ,,56 ,80 ,37 ,,88 ,,,,,,,,58,91,
152,CFR_19,T1718CAT5,,,,"5,133 ",,"4,700 ","4,379 ",,"5,364 ",,,"5,056 ",,"4,310 ",,,,"4,984 ",,"4,413 ","5,701 ","5,651 ",,,"4,720 ",,"4,301 ","5,106 ",,,,"3,930 ",,"5,349 ","5,472 ",,"4,849 ",,"4,576 ","6,384 ","4,168 ",,"5,244 ",,,,,,,,"4,893","5,872",
153,CFR_19,T1718SUM,,,,1311,,910,1082,,1280,,,1328,,1081,,,,1459,,911,1403,1516,,,1191,,809,1376,,,,857,,1659,1142,,1231,,1124,1779,1033,,793,,,,,,,,,,
154,CFR_19,T1718CAT1LA,,,,"3,340 ",,"3,060 ","2,836 ",,"3,232 ",,,"3,341 ",,"2,991 ",,,,"2,991 ",,"2,906 ","3,341 ","3,341 ",,,"3,208 ",,"3,060 ","3,341 ",,,,"2,991 ",,"3,341 ","2,906 ",,"3,208 ",,"2,984 ","3,340 ","3,208 ",,"3,813 ",,,,,,,,,,
