No,Namespace,Variable,Grestone Academy - 139904,Blakesley Hall Primary School - 103300,Crocketts Community Primary School - 103941,St Peters CofE Primary School - 134476,Stechford Primary School - 103262,Corpus Christi Catholic Primary School - 103424,Galton Valley Primary School - 135288,Water Mill Primary School - 103326,St Bernard's Catholic Primary School - 103462,The Regis Academy - 148359,Dorrington Academy - 138218,Featherstone Primary School - 103318,Raddlebarn Primary School - 103246,Uplands Manor Primary School and Nursery - 131184,St Dunstan's Catholic Primary School - 103455,Hodge Hill Primary School - 143869,St Gregory's Catholic Primary School - 141924,Yarnfield Primary School - 139378,Yorkmead Junior and Infant School - 103284,Cherry Oak School - 103626,Wilson Stuart School - 138281,Birches Green Junior School - 103168,Birches Green Infant School - 103169,Birches Green Junior School - 148887,Our Lady of Fatima Catholic Primary School - 141484,Beaufort School - 103627,Yardley Primary School - 133996,Abbey Infant School - 103930,Saint Barnabas Church of England Primary School - 103412,Saint Barnabas Church of England Primary School - 147478,Abbey Junior School - 103929,St Margaret Mary RC Junior and Infant School - 103453,St Mary's Church of England Primary School - 103410,Tame Valley Academy - 139011,Colebourne Primary School - 103263,Riverside Education - 142338,Oscott Manor School - 103628,Hodge Hill College - 103503,St John Wall Catholic School - 103534,Selly Park  Girls' School - 103498,Braidwood School for the Deaf - 103611,Bishop Challoner Catholic College - 103560,Hodge Hill Girls' School - 103483,Baskerville School - 103606,Al-Burhan Grammar School - 134034,North Birmingham Academy - 136032,Sandwell Academy - 134993,King Edward VI Camp Hill School for Girls - 137044,King Edward VI Camp Hill School for Boys - 137045,Imedia School - 143040,National state-funded primary,National state-funded secondary and 16 to 18,Description
61,CENSUS_21,PSENELK,12.7%,20.9%,22.5%,14.3%,7.0%,18.4%,11.4%,18.1%,7.6%,,13.3%,13.1%,18.1%,10.3%,13.7%,12.4%,10.2%,9.7%,8.7%,0%,0%,22.0%,19.6%,,7.0%,0%,16.6%,3.0%,,10.8%,7.5%,7.8%,11.1%,15.1%,13.4%,10.1%,0%,12.8%,23.7%,13.8%,0%,12.5%,13.5%,0%,0%,20.6%,6.6%,1.8%,2.0%,0%,,,Percentage of eligible pupils with SEN support
62,CENSUS_21,NUMEAL,266,248,275,121,214,96,414,84,252,,295,148,68,335,52,512,76,400,274,25,89,71,57,,41,32,241,42,,85,70,184,115,79,114,0,24,409,400,530,37,180,379,20,0,322,556,274,236,0,,,No.  pupils where English not first language
63,CENSUS_21,NUMENGFL,189,317,205,317,207,314,95,93,150,,310,257,324,574,343,210,189,231,176,85,144,151,137,,172,44,554,252,,361,290,211,299,146,349,0,84,781,219,197,35,1061,369,140,0,830,778,825,723,0,,,No. pupils with English first language
64,CENSUS_21,NUMUNCFL,2,0,0,9,6,3,2,0,7,,34,1,0,7,0,28,0,0,0,0,0,1,0,,0,2,37,3,,0,0,0,1,0,0,0,0,6,0,4,0,1,0,0,0,10,2,3,1,0,,,No. pupils where first language is unclassified
65,CENSUS_21,PNUMEAL,58.2%,43.9%,57.3%,27.1%,50.1%,23.2%,81.0%,47.5%,61.6%,,46.2%,36.5%,17.3%,36.6%,13.2%,68.3%,28.7%,63.4%,60.9%,22.7%,38.2%,31.8%,29.4%,,19.2%,41.0%,29.0%,14.1%,,19.1%,19.4%,46.6%,27.7%,35.1%,24.6%,0%,22.2%,34.2%,64.6%,72.5%,51.4%,14.5%,50.7%,12.5%,0%,27.7%,41.6%,24.9%,24.6%,0%,,,%  pupils where English not first language
66,CENSUS_21,PNUMENGFL,41.4%,56.1%,42.7%,70.9%,48.5%,76.0%,18.6%,52.5%,36.7%,,48.5%,63.3%,82.7%,62.7%,86.8%,28.0%,71.3%,36.6%,39.1%,77.3%,61.8%,67.7%,70.6%,,80.8%,56.4%,66.6%,84.8%,,80.9%,80.6%,53.4%,72.0%,64.9%,75.4%,0%,77.8%,65.3%,35.4%,26.9%,48.6%,85.4%,49.3%,87.5%,0%,71.4%,58.2%,74.9%,75.3%,0%,,,% pupils with English first language
67,CENSUS_21,PNUMUNCFL,0.4%,0%,0%,2.0%,1.4%,0.7%,0.4%,0%,1.7%,,5.3%,0.2%,0%,0.8%,0%,3.7%,0%,0%,0%,0%,0%,0.4%,0%,,0%,2.6%,4.4%,1.0%,,0%,0%,0%,0.2%,0%,0%,0%,0%,0.5%,0%,0.5%,0%,0.1%,0%,0%,0%,0.9%,0.1%,0.3%,0.1%,0%,,,% pupils where first language is unclassified
68,CENSUS_21,NUMFSM,189,217,99,80,126,182,126,77,101,,190,157,88,302,117,204,33,268,110,64,108,110,82,,31,38,244,50,,138,73,162,88,143,97,0,56,396,241,324,38,287,215,69,0,551,234,134,118,0,,,No. pupils eligible for free school meals
69,CENSUS_21,NUMFSMEVER,244,236,112,85,140,212,144,83,115,,214,167,94,332,124,231,41,278,128,71,96,133,79,,41,42,269,50,,147,81,168,100,152,107,,43,573,337,403,28,318,323,51,,586,251,155,143,,,,Number of pupils eligible for FSM at any time during the past 6 years
70,CENSUS_21,PNUMFSMEVER,53.4%,41.8%,23.3%,19.0%,32.8%,51.3%,28.2%,46.9%,28.1%,,33.5%,41.1%,24.0%,36.2%,31.4%,30.8%,15.5%,44.1%,28.4%,64.5%,41.2%,59.6%,40.7%,,19.2%,53.8%,32.3%,16.8%,,33.0%,22.5%,42.5%,24.1%,67.6%,23.1%,,39.8%,47.9%,54.4%,55.1%,38.9%,25.6%,43.2%,31.9%,,50.4%,18.8%,14.1%,14.9%,,,,Percentage of pupils eligible for FSM at any time during the past 6 years
71,CENSUS_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
72,SWF_19,LA,330,330,333,330,330,330,333,330,330,,330,330,330,333,330,330,333,330,330,,,330,330,,330,,330,333,330,,333,330,330,330,330,,,330,330,330,,330,330,,,330,333,330,330,,,,Local Authority Number
73,SWF_19,URN,139904,103300,103941,134476,103262,103424,135288,103326,103462,,138218,103318,103246,131184,103455,143869,141924,139378,103284,,,103168,103169,,141484,,133996,103930,103412,,103929,103453,103410,139011,103263,,,103503,103534,103498,,103560,103483,,,136032,134993,137044,137045,,,,Unique Reference Number
74,SWF_19,NTEA,32,31,24,22,21,21,23,12,21,,34,18,25,42,22,38,11,29,24,,,14,11,,11,,46,16,21,,15,19,20,14,24,,,86,44,52,,94,47,,,72,99,68,54,,"260,096","219,269",Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
75,SWF_19,NTEAAS,22,31,46,19,18,17,31,11,12,,23,16,16,56,15,27,13,18,14,,,7,13,,8,,20,19,20,,16,17,13,7,19,,,12,12,5,,12,6,,,5,17,3,4,,"274,954","57,981",Total Number of Teaching Assistants (Headcount)
76,SWF_19,NNONTEA,7,8,18,7,6,7,8,4,4,,6,6,4,15,6,6,2,4,6,,,3,4,,5,,8,3,5,,8,6,5,2,4,,,35,18,23,,40,30,,,23,30,21,13,,"91,158","84,503","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
77,SWF_19,NFTETEA,27.6,30.6,21.7,20,19.4,19.3,21.7,9.6,18.7,,30.5,18,22.2,39.8,18.4,34.4,11,29,19.4,,,12.7,10.4,,9.7,,41.6,12.2,19.4,,14.1,17,19.3,11.6,22.4,,,83.6,42.2,47.6,,88,43.4,,,70.6,95.2,58.7,47.5,,"231,728","203,686",Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
78,SWF_19,NFTETEAAS,19.2,25.9,31.8,13.8,15.4,13.9,25,8.7,9.7,,17.9,11.4,12.3,41.9,11.9,21.7,8.4,15.8,12.5,,,6.3,10.3,,5.9,,16.3,13.3,13.6,,10.9,13.6,10.3,6.2,16.1,,,10.8,9.2,4.8,,10.9,5.4,,,4.5,17,1.9,3,,"178,546","45,918",Total Number of Teaching Assistants (Full-time Equivalent)
79,SWF_19,NFTENONTEA,7,6.8,7.5,4.9,5.1,5,7.3,3.1,3.1,,4.5,3.7,3.8,12,4.4,6,2,4,5,,,2.8,3.4,,3.5,,6.8,2.2,4.3,,6.6,5.4,4.2,2,3.3,,,34.2,12.9,18.7,,35.3,25.9,,,21.5,30,18.4,12,,61494.7,"71,228","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
80,SWF_19,RATPUPTEA,20.9,20.0,22.1,22.1,22.2,21.6,21.9,19.7,22.3,,20.6,22.9,18.4,22.9,22.1,22.8,22.6,22.0,22.6,,,18.1,19.7,,21.8,,20.2,24.2,21.3,,25.4,21.7,21.7,19.1,19.2,,,14.5,14.5,14.4,,13.8,17.3,,,14.3,13.4,18.2,18.8,,20.7,16.3,Pupil:Teacher Ratio
81,SWF_19,SALARY,"£37,099","£39,433","£39,410","£38,336","£38,506","£38,241","£40,548","£39,114","£40,439",,"£37,927","£35,866","£37,396","£38,879","£38,884","£34,545","£37,932","£36,550","£36,432",,,"£37,226","£39,150",,"£39,040",,"£38,844","£36,105","£37,159",,"£40,924","£37,379","£39,360","£34,978","£38,773",,,"£37,482","£38,469","£44,256",,"£43,727","£41,041",,,"£37,888",SUPP,"£38,435","£39,340",,"£38,369","£40,571",Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
82,SWF_21,LA,330,330,333,330,330,330,333,330,330,,330,330,330,333,330,330,333,330,330,330,330,330,330,,330,330,330,333,,330,333,330,330,330,330,,330,330,330,330,330,330,330,330,,330,333,330,330,,,,Local Authority Number
83,SWF_21,URN,139904,103300,103941,134476,103262,103424,135288,103326,103462,,138218,103318,103246,131184,103455,143869,141924,139378,103284,103626,138281,103168,103169,,141484,103627,133996,103930,,147478,103929,103453,103410,139011,103263,,103628,103503,103534,103498,103611,103560,103483,103606,,136032,134993,137044,137045,,,,Unique Reference Number
84,SWF_21,NTEA,26,31,26,20,20,23,24,13,22,,35,17,24,40,22,37,11,29,24,12,38,14,11,,9,12,48,16,,16,15,21,23,10,22,,15,87,52,59,16,95,47,25,,76,99,72,54,,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
85,SWF_21,NTEAAS,16,29,48,17,17,14,30,9,10,,19,13,12,55,14,20,15,22,16,36,79,6,11,,9,28,19,16,,17,14,19,11,7,14,,29,12,13,7,16,9,5,30,,5,18,4,4,,,,Total Number of Teaching Assistants (Headcount)
86,SWF_21,NNONTEA,5,7,15,6,7,5,8,4,4,,6,7,4,15,6,5,1,5,5,7,27,3,5,,4,2,9,2,,9,7,6,5,3,5,,7,34,17,21,8,42,23,29,,18,30,22,23,,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
87,SWF_21,NFTETEA,23.6,30.1,21.3,17.8,19.4,22.1,22.5,9.6,20.4,,33.3,17.0,20.3,36.1,18.8,34.4,10.6,28.7,21.1,10.8,32.1,12.8,10.4,,8.5,10.1,43.8,13.0,,15.0,15.0,19.4,21.6,8.8,21.2,,14.2,85.6,48.8,51.2,14.6,90.5,44.2,24.2,,73.2,99.0,60.9,47.4,,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
88,SWF_21,NFTETEAAS,13.7,22.2,34.1,12.4,14.5,11.2,24.6,7.4,8.0,,14.9,10.5,10.6,43.0,12.2,16.9,10.8,21.5,14.0,29.4,63.8,4.6,7.9,,6.8,21.5,15.5,10.2,,12.8,8.7,15.2,9.2,6.2,10.9,,24.4,10.8,10.3,5.8,14.6,8.1,4.3,24.2,,4.6,18.0,1.9,3.0,,,,Total Number of Teaching Assistants (Full-time Equivalent)
89,SWF_21,NFTENONTEA,5.0,6.0,7.8,4.3,6.0,3.6,7.4,3.1,3.1,,4.5,5.2,4.0,10.6,4.6,5.0,1.0,4.7,4.1,6.0,22.4,3.0,3.5,,2.6,1.8,8.2,2.0,,6.2,5.3,5.7,4.2,3.0,3.5,,6.4,33.4,13.7,17.8,7.1,38.0,20.0,26.3,,16.1,30.0,19.7,22.0,,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
90,SWF_21,RATPUPTEA,19.2,18.8,21.2,24.5,21.5,18.7,21.5,18.4,20,,18.4,23.9,18.9,24.5,20.4,21.8,24.5,21,20.5,10.2,7.3,17.4,17.8,,25.2,7.7,19,21.7,,29.1,24,20.3,19.2,24.3,21,,7.6,14,12.7,14.3,4.9,13.7,16.9,6.6,,15.9,13.5,18.1,20.3,,,,Pupil:Teacher Ratio
91,SWF_21,SALARY,"£39,398","£43,502","£38,695","£43,423","£41,896","£39,132","£41,536","£41,837","£42,290",,"£40,918","£39,535","£41,710","£40,185","£39,484","£37,344","£37,643","£33,981","£41,093","£42,428","£46,778","£39,586","£44,383",,"£40,287","£36,872","£42,017","£39,695",,"£39,727","£43,430","£39,856","£42,667","£43,201","£41,986",,"£45,932","£40,546","£39,263","£44,783","£44,446","£46,323","£45,034","£45,088",,"£39,404",NA,"£40,631","£41,135",,,,Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
92,SWF_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
93,CFR_19,URN,,103300,103941,134476,103262,103424,135288,103326,103462,,,103318,103246,131184,103455,,,,103284,103626,,103168,103169,,,103627,133996,103930,103412,,103929,103453,103410,,103263,,103628,103503,103534,103498,103611,103560,103483,103606,,,,,,,,,Unique Reference Number
94,CFR_19,LONDON/NON-LONDON,,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,,,Non-London,Non-London,Non-London,Non-London,,,,Non-London,Non-London,,Non-London,Non-London,,,Non-London,Non-London,Non-London,Non-London,,Non-London,Non-London,Non-London,,Non-London,,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,,,,,,,,,London/Non-London
95,CFR_19,MEDIAN,,Primary,Primary,Primary,Primary,Primary,Primary,Primary,Primary,,,Primary,Primary,Primary,Primary,,,,Primary,Special,,Primary,Primary,,,Special,Primary,Primary,Primary,,Primary,Primary,Primary,,Primary,,Special,Secondary with KS4,Secondary with KS4,Secondary with KS4,Special,Secondary with KS4,Secondary with KS4,Special,,,,,,,Primary,Secondary with KS4,Group to compare
96,CFR_19,PUPILS,,613 ,481 ,440 ,431 ,416 ,475 ,190 ,417 ,,,413 ,409 ,909 ,407 ,,,,438 ,112 ,,230 ,205 ,,,76 ,839 ,295 ,414 ,,358 ,369 ,418 ,,429 ,,115 ,"1,215 ",613 ,684 ,62 ,"1,213 ",750 ,131 ,,,,,,,,,Number of pupils (FTE)
97,CFR_19,FSM,,33,17,15,22,31,19,27,16,,,28,16,25,24,,,,19,37,,41,46,,,42,24,11,21,,15,29,17,,17,,42,27,33,35,53,16,20,43,,,,,,,,,Percentage of pupils eligible for Free School Meals (FSM)
98,CFR_19,FSMBAND,,Medium,Low,Low,Medium,Medium,Low,Medium,Low,,,Medium,Low,Medium,Medium,,,,Low,High,,High,High,,,High,Medium,Low,Medium,,Low,Medium,Low,,Low,,High,Medium,Medium,Medium,High,Low,Low,High,,,,,,,,,Free school meals eligibility band
99,CFR_19,GRANTFUNDING,,"5,490","5,855","4,619","5,207","5,104","5,680","5,782","4,638",,,"4,928","4,874","5,252","4,639",,,,"4,967","17,671",,"5,446","6,803",,,"20,712","4,662","5,131","4,653",,"5,128","4,693","4,525",,"4,670",,"19,957","6,597","6,827","6,612","20,015","5,759","6,186","33,535",,,,,,,"4,848","5,724",Grant funding (&pound; per pupil)
100,CFR_19,SELFGENERATEDINCOME,,178,134,457,144,198,35,329,298,,,88,426,78,119,,,,136,"1,533",,199,163,,,192,178,4,432,,205,241,233,,675,,187,170,165,87,419,"2,294",111,397,,,,,,,188,173,Self generated income (&pound; per pupil)
101,CFR_19,TOTALINCOME,,"5,668","5,988","5,076","5,351","5,302","5,716","6,111","4,937",,,"5,016","5,300","5,330","4,759",,,,"5,102","19,204",,"5,646","6,966",,,"20,904","4,839","5,134","5,085",,"5,333","4,934","4,758",,"5,344",,"20,144","6,767","6,991","6,699","20,434","8,053","6,298","33,932",,,,,,,"5,081","5,928",Total income (&pound; per pupil)
102,CFR_19,TEACHINGSTAFF,,"2,259","1,837","2,113","2,016","2,193","2,199","2,579","2,283",,,"1,939","2,575","1,909","2,139",,,,"2,138","4,445",,"2,646","2,338",,,"6,553","2,392","1,905","1,982",,"1,945","2,112","2,126",,"2,372",,"6,278","3,162","2,267","3,765","11,477","3,886","2,885","11,954",,,,,,,"2,284","3,222",Teaching staff (&pound; per pupil)
103,CFR_19,SUPPLYTEACHERS,,509,16,108,148,90,51,130,148,,,131,38,146,144,,,,116,280,,254,159,,,306,28,124,46,,118,9,285,,140,,"1,289",79,0,160,"1,129",84,299,309,,,,,,,105,109,Supply Staff (&pound; per pupil)
104,CFR_19,EDUCATIONSUPPORTSTAFF,,"1,148","1,911",972,949,984,"1,658","1,322",794,,,693,717,"1,314",920,,,,982,"9,054",,715,"1,499",,,"7,989",572,"1,258",743,,"1,301",918,598,,936,,"6,141",227,99,298,"5,460",804,305,"5,891",,,,,,,889,594,Education support staff (&pound; per pupil)
105,CFR_19,PREMISES,,287,316,450,468,177,44,421,292,,,342,201,406,310,,,,195,"1,026",,300,74,,,221,304,315,361,,393,495,178,,504,,"1,341",458,308,459,"1,826",381,501,"1,412",,,,,,,309,356,Premises (incl. Staff costs) (&pound; per pupil)
106,CFR_19,BACKOFFICE,,720,439,689,"1,206",502,834,604,531,,,384,861,386,541,,,,543,"1,882",,824,"2,329",,,"3,632",863,400,"1,111",,455,558,704,,852,,"1,862","1,396","1,148","1,102","5,111",885,"1,142","9,952",,,,,,,413,565,Back office (incl. Staff costs) (&pound; per pupil)
107,CFR_19,CATERING,,291,182,264,369,331,68,390,356,,,246,349,197,227,,,,308,694,,350,365,,,-441,238,329,248,,66,340,205,,101,,465,79,113,185,"-6,505",89,48,208,,,,,,,190,51,Catering (incl. Staff costs) (&pound; per pupil)
108,CFR_19,OTHERSTAFF,,147,248,190,174,165,158,261,140,,,189,212,215,152,,,,256,217,,141,177,,,"2,008",160,241,202,,260,211,190,,144,,"1,475",44,"2,154",62,813,61,65,"3,137",,,,,,,186,104,Other staff costs (&pound; per pupil)
109,CFR_19,ENERGY,,67,56,67,52,38,0,64,45,,,66,70,82,88,,,,49,62,,81,58,,,0,49,55,48,,85,37,46,,127,,145,112,108,99,102,96,79,354,,,,,,,62,96,Energy (&pound; per pupil)
110,CFR_19,LEARNINGRESOURCES,,180,245,262,233,363,169,272,161,,,475,254,179,125,,,,195,349,,298,105,,,291,160,177,248,,347,180,157,,207,,"1,086",277,288,105,716,477,228,851,,,,,,,205,220,Learning resources (not ICT equipment) (&pound; per pupil)
111,CFR_19,ICT,,50,92,1,35,136,61,3,38,,,27,0,35,24,,,,33,29,,0,8,,,3,34,31,4,,96,91,18,,0,,41,39,20,67,462,62,137,188,,,,,,,51,69,ICT learning resources (&pound; per pupil)
112,CFR_19,BOUGHTINPROFESSIONALSERVICES,,0,74,0,120,24,49,6,13,,,7,1,109,95,,,,5,89,,5,26,,,156,25,42,0,,64,53,51,,1,,297,54,1,105,195,"1,185",3,7,,,,,,,93,67,Bought in professional services - curriculum (&pound; per pupil)
113,CFR_19,OTHER,,63,123,86,82,40,102,99,40,,,97,89,92,35,,,,78,25,,121,111,,,38,63,95,26,,122,46,89,,77,,67,213,109,292,181,157,185,83,,,,,,,100,213,Other expenditure (&pound; per pupil)
114,CFR_19,TOTALEXPENDITURE,,"5,722","5,540","5,203","5,851","5,043","5,393","6,153","4,841",,,"4,597","5,367","5,070","4,801",,,,"4,897","18,154",,"5,735","7,248",,,"20,757","4,888","4,972","5,020",,"5,252","5,051","4,647",,"5,460",,"20,488","6,139","6,617","6,699","20,968","8,167","5,875","34,345",,,,,,,"5,034","5,891",Total expenditure (&pound; per pupil)
115,CFR_19,T1415CAT1,,"3,040","3,759","2,821","2,642","3,055","3,099",SUPP,"2,831",,,"2,470","2,812","3,224","2,896",,,,"2,967","11,234",,SUPP,"3,950",,,SUPP,"2,431","2,875","2,583",,"2,807","2,951","2,719",,"3,026",,"14,064","3,176","3,917","3,855","16,476","4,318","3,380","18,664",,,,,,,"2,927","3,825",
116,CFR_19,T1415CAT2,,740,126,273,98,283,378,312,173,,,108,71,308,338,,,,251,"1,342",,193,44,,,208,96,95,124,,243,146,32,,300,,"1,592",61,72,369,414,82,228,"3,204",,,,,,,133,124,
117,CFR_19,T1415CAT3,,573,426,"1,427","1,153",366,406,818,443,,,912,967,262,455,,,,668,"4,049",,878,"1,349",,,"3,398",837,307,922,,403,590,688,,714,,"4,483","1,586","1,492","1,042","7,638",730,"1,144","8,599",,,,,,,366,544,
118,CFR_19,T1415CAT4,,124,108,77,64,47,0,70,27,,,79,63,89,62,,,,42,135,,78,90,,,367,51,48,52,,100,55,53,,87,,178,105,59,103,183,116,76,224,,,,,,,61,99,
119,CFR_19,T1415CAT5,,"5,524","5,784","5,486","4,977","4,827","5,592","4,964","4,254",,,"4,577","4,510","5,158","4,693",,,,"4,755","18,250",,"5,124","6,530",,,"23,992","4,556","4,230","4,410",,"4,672","4,861","4,361",,"5,076",,"22,905","7,087","6,726","7,475","22,903","6,656","6,248","37,701",,,,,,,"4,645","5,944",
120,CFR_19,T1415SUM,,1047,1365,888,1020,1076,1709,3764,780,,,1008,597,1275,942,,,,827,1490,,3975,1097,,,20019,1141,905,729,,1119,1119,869,,949,,2588,2159,1186,2106,-1808,1410,1420,7010,,,,,,,,,
121,CFR_19,T1415CAT1LA,,"3,004","3,060","2,834","3,004","3,004","3,060","3,004","2,834",,,"3,004","2,834","3,060","3,004",,,,"3,004","14,442",,"3,202","3,202",,,"14,442","3,004","2,957","2,834",,"2,957","3,004","2,834",,"2,834",,"14,442","3,919","3,874","3,919","14,442","3,280","3,874","14,442",,,,,,,,,
122,CFR_19,T1415CAT2LA,,194,171,118,194,194,171,194,118,,,194,118,171,194,,,,194,414,,184,184,,,414,194,95,118,,95,194,118,,118,,414,126,106,126,414,79,106,414,,,,,,,,,
123,CFR_19,T1415CAT3LA,,323,377,308,323,323,377,323,308,,,323,308,377,323,,,,323,"1,169",,358,358,,,"1,169",323,339,308,,339,323,308,,308,,"1,169",387,461,387,"1,169",346,461,"1,169",,,,,,,,,
124,CFR_19,T1415CAT4LA,,58,70,56,58,58,70,58,56,,,58,56,70,58,,,,58,178,,72,72,,,178,58,64,56,,64,58,56,,56,,178,110,89,110,178,96,89,178,,,,,,,,,
125,CFR_19,T1415CAT5LA,,"5,210","5,113","4,747","5,210","5,210","5,113","5,210","4,747",,,"5,210","4,747","5,113","5,210",,,,"5,210","22,905",,"5,758","5,758",,,"22,905","5,210","4,712","4,747",,"4,712","5,210","4,747",,"4,747",,"22,905","7,456","6,538","7,456","22,905","5,994","6,538","22,905",,,,,,,,,
126,CFR_19,T1516CAT1,,"3,035","3,498","2,984","2,782","3,230","3,192","2,866","2,908",,,"2,479","3,089","3,063","3,027",,,,"3,123","12,756",,"3,016","3,835",,,"15,747","2,596","3,127","2,543",,"2,789","3,309","2,608",,"2,918",,"14,213","2,887","4,077","3,782","15,143","4,320","3,502","20,573",,,,,,,"2,976","3,857",
127,CFR_19,T1516CAT2,,824,96,188,78,239,151,378,86,,,91,95,180,280,,,,218,853,,208,106,,,236,75,85,110,,160,63,273,,162,,880,201,55,262,684,48,274,"2,253",,,,,,,126,122,
128,CFR_19,T1516CAT3,,418,370,727,726,423,364,734,466,,,636,802,274,466,,,,607,"7,877",,841,"1,233",,,"2,427",706,402,768,,421,489,638,,615,,"3,025","1,449","1,890",997,"3,695","1,295","1,205","8,945",,,,,,,377,545,
129,CFR_19,T1516CAT4,,118,81,97,33,54,0,53,47,,,79,54,55,46,,,,35,147,,37,33,,,0,47,50,47,,106,70,38,,107,,261,94,54,98,35,127,76,187,,,,,,,58,97,
130,CFR_19,T1516CAT5,,"5,732","5,542","4,951","4,655","5,113","5,184","5,047","4,513",,,"4,919","5,029","4,850","4,734",,,,"4,925","26,199",,"5,396","6,438",,,"21,969","4,642","4,813","4,280",,"4,727","5,323","4,418",,"4,822",,"20,932","5,840","7,408","6,375","19,001","6,778","6,212","39,114",,,,,,,"4,777","6,013",
131,CFR_19,T1516SUM,,1337,1497,955,1036,1167,1477,1016,1006,,,1634,989,1278,915,,,,942,4566,,1294,1231,,,3559,1218,1149,812,,1251,1392,861,,1020,,2553,1209,1332,1236,-556,988,1155,7156,,,,,,,,,
132,CFR_19,T1516CAT1LA,,"3,120","3,148","2,902","2,902","3,120","3,085","2,902","2,902",,,"3,120","2,902","3,148","2,902",,,,"3,120","14,439",,"3,347","3,347",,,"14,439","3,120","3,085","2,902",,"3,085","3,120","2,902",,"2,902",,"14,439","3,792","3,909","3,792","14,439","3,502","3,502","14,439",,,,,,,,,
133,CFR_19,T1516CAT2LA,,200,157,122,122,200,103,122,122,,,200,122,157,122,,,,200,392,,173,173,,,392,200,103,122,,103,200,122,,122,,392,154,115,154,392,166,166,392,,,,,,,,,
134,CFR_19,T1516CAT3LA,,859,413,685,685,859,402,685,685,,,859,685,413,685,,,,859,"4,004",,911,911,,,"4,004",859,402,685,,402,859,685,,685,,"4,004","1,825","1,181","1,825","4,004","1,248","1,248","4,004",,,,,,,,,
135,CFR_19,T1516CAT4LA,,59,62,52,52,59,60,52,52,,,59,52,62,52,,,,59,175,,60,60,,,175,59,60,52,,60,59,52,,52,,175,96,94,96,175,106,106,175,,,,,,,,,
136,CFR_19,T1516CAT5LA,,"5,323","5,117","4,789","4,789","5,323","4,784","4,789","4,789",,,"5,323","4,789","5,117","4,789",,,,"5,323","22,032",,"5,854","5,854",,,"22,032","5,323","4,784","4,789",,"4,784","5,323","4,789",,"4,789",,"22,032","7,198","6,391","7,198","22,032","6,212","6,212","22,032",,,,,,,,,
137,CFR_19,T1617CAT1,,3005,3850,2968,3136,3294,3215,3149,3048,,,2889,2970,3071,3138,,,,3125,17473,,2950,3383,,,18035,2789,2956,2437,,3029,3398,3084,,3208,,15064,3038,3830,3850,16307,4374,3509,20915,,,,,,,"3,042","3,919",
138,CFR_19,T1617CAT2,,833,35,160,100,243,104,424,50,,,110,179,251,165,,,,95,787,,384,47,,,770,96,224,286,,151,6,435,,151,,840,186,0,252,320,47,233,2554,,,,,,,117,119,
139,CFR_19,T1617CAT3,,504,349,594,692,505,427,958,471,,,736,727,269,437,,,,534,3549,,917,884,,,3768,773,332,914,,484,783,719,,572,,2890,1928,1933,1237,4731,716,1229,8790,,,,,,,384,545,
140,CFR_19,T1617CAT4,,116,60,77,60,37,0,66,38,,,44,48,80,45,,,,46,250,,94,56,,,391,61,43,47,,81,45,38,,117,,87,94,86,84,165,92,67,323,,,,,,,55,94,
141,CFR_19,T1617CAT5,,5548,5868,5071,5410,5186,5150,5731,4626,,,5252,4854,4861,4652,,,,4857,25381,,6097,5421,,,24939,4738,4511,4465,,4841,5441,5358,,5346,,21495,6844,7921,7330,20315,6907,6258,39855,,,,,,,"4,814","6,017",
