No,Namespace,Variable,Hall Green Infant School - 103210,Firs Primary School - 143089,Warren Farm Primary School - 138303,Woodhouse Primary Academy - 139637,Stirchley Primary School - 143433,Lightwoods Primary School - 103947,Hall Green Junior School - 103209,Paganel Primary School - 134281,Billesley Primary School - 138888,Paget Primary School - 103240,Lightwoods Primary Academy - 148333,Audley Primary School - 143437,St Wilfrid's Catholic Junior and Infant School - 103451,St Wilfrid's Catholic Junior and Infant School - 148083,The Oaklands Primary School - 139183,Christ The King Catholic Primary School - 103423,Calshot Primary School - 103391,Hamstead Junior School - 103895,Kingsthorne Primary School - 103368,Ferndale Primary School - 103982,Hamstead Infant School - 103896,Heathlands Primary Academy - 140890,Barr View Primary & Nursery Academy - 138694,Our Lady and St Rose of Lima Catholic Primary School - 103443,Jervoise School - 142353,Allens Croft Primary School - 103243,Woodthorpe Junior and Infant School - 103334,Lyndon Green Junior School - 103228,Yenton Primary School - 133729,Yenton Primary School - 146722,World's End Infant and Nursery School - 103337,World's End Junior School - 103279,Holy Trinity CofE Primary School - 103986,Our Lady of Lourdes Catholic Primary School - 103430,Lyndon Green Infant School - 103229,Lakey Lane Junior and Infant School - 103223,Gunter Primary School - 103208,Moat Farm Junior School - 103948,Moat Farm Infant School - 103949,Bleakhouse Primary School - 103934,George Betts Primary Academy - 139565,Holly Lodge High School College of Science - 104018,Kings Heath Boys - 103486,St Edmund Campion Catholic School & Sixth Form Centre - 103537,St Edmund Campion Catholic School - 147707,Bristnall Hall Academy - 139043,Dame Elizabeth Cadbury School - 143438,Fortis Academy - 143435,Cockshut Hill School - 142388,TLG North Birmingham - 135608,National state-funded primary,National state-funded secondary and 16 to 18,Description
59,CENSUS_21,PSENELSE,0.2%,0.3%,0.3%,5.0%,1.4%,1.1%,1.7%,0.5%,2.5%,4.3%,,0.8%,1.3%,,0.7%,0.7%,0.2%,1.7%,0.5%,4.0%,1.4%,0.2%,2.4%,0.4%,1.4%,6.9%,0.5%,4.9%,,0%,1.8%,2.5%,1.1%,0.9%,4.7%,0.9%,0.5%,2.7%,2.0%,2.3%,1.9%,1.0%,0.8%,,0.5%,8.4%,1.0%,0.4%,0.5%,50.0%,,,Percentage of SEN pupils with an EHC plan
60,CENSUS_21,TSENELK,48,43,60,77,39,27,64,62,127,78,,142,51,,51,88,31,19,44,35,16,43,55,27,45,88,22,51,,101,17,30,59,27,22,87,41,55,131,49,53,181,86,,146,118,188,178,159,1,,,Number of eligible pupils with SEN support
61,CENSUS_21,PSENELK,11.8%,12.4%,18.5%,16.7%,18.1%,7.6%,13.3%,16.9%,18.8%,19.8%,,16.2%,13.1%,,12.5%,21.8%,6.8%,8.1%,11.7%,5.6%,7.7%,9.7%,12.2%,11.9%,21.6%,24.4%,10.7%,13.8%,,17.1%,5.2%,8.3%,12.8%,12.2%,7.9%,19.5%,20.5%,11.4%,32.1%,11.2%,12.4%,11.8%,13.1%,,13.9%,12.2%,23.0%,11.1%,16.3%,12.5%,,,Percentage of eligible pupils with SEN support
62,CENSUS_21,NUMEAL,285,210,47,160,59,63,196,119,315,100,,297,159,,132,80,126,63,117,146,56,139,104,52,29,76,39,63,,119,87,103,319,19,22,184,28,77,62,94,245,841,416,,293,251,122,530,316,0,,,No.  pupils where English not first language
63,CENSUS_21,NUMENGFL,123,136,274,296,156,292,285,247,361,293,,579,229,,276,323,325,172,258,479,153,304,344,174,179,285,167,306,,468,224,254,143,203,255,261,172,405,346,344,182,695,242,,727,678,690,1051,661,0,,,No. pupils with English first language
64,CENSUS_21,NUMUNCFL,0,1,3,6,0,0,0,0,0,0,,0,1,,0,0,3,0,0,0,0,1,1,0,0,0,0,0,,4,17,3,0,0,0,1,0,0,0,0,0,0,0,,32,42,7,25,0,0,,,No. pupils where first language is unclassified
65,CENSUS_21,PNUMEAL,69.9%,60.5%,14.5%,34.6%,27.4%,17.7%,40.7%,32.5%,46.6%,25.4%,,33.9%,40.9%,,32.4%,19.9%,27.8%,26.8%,31.2%,23.4%,26.8%,31.3%,23.2%,23.0%,13.9%,21.1%,18.9%,17.1%,,20.1%,26.5%,28.6%,69.0%,8.6%,7.9%,41.3%,14.0%,16.0%,15.2%,21.5%,57.4%,54.8%,63.2%,,27.9%,25.8%,14.9%,33.0%,32.3%,0%,,,%  pupils where English not first language
66,CENSUS_21,PNUMENGFL,30.1%,39.2%,84.6%,64.1%,72.6%,82.3%,59.3%,67.5%,53.4%,74.6%,,66.1%,58.9%,,67.6%,80.1%,71.6%,73.2%,68.8%,76.6%,73.2%,68.5%,76.6%,77.0%,86.1%,78.9%,81.1%,82.9%,,79.2%,68.3%,70.6%,31.0%,91.4%,92.1%,58.5%,86.0%,84.0%,84.8%,78.5%,42.6%,45.2%,36.8%,,69.1%,69.8%,84.2%,65.4%,67.7%,0%,,,% pupils with English first language
67,CENSUS_21,PNUMUNCFL,0%,0.3%,0.9%,1.3%,0%,0%,0%,0%,0%,0%,,0%,0.3%,,0%,0%,0.7%,0%,0%,0%,0%,0.2%,0.2%,0%,0%,0%,0%,0%,,0.7%,5.2%,0.8%,0%,0%,0%,0.2%,0%,0%,0%,0%,0%,0%,0%,,3.0%,4.3%,0.9%,1.6%,0%,0%,,,% pupils where first language is unclassified
68,CENSUS_21,NUMFSM,81,169,126,196,64,32,120,208,278,176,,438,187,,169,170,87,69,209,123,41,198,123,95,113,180,44,96,,293,136,133,120,47,70,154,84,126,90,97,111,443,247,,390,285,303,635,452,0,,,No. pupils eligible for free school meals
69,CENSUS_21,NUMFSMEVER,81,222,135,195,62,38,130,218,298,174,,461,198,,187,180,92,89,226,146,41,206,138,94,124,216,48,120,,321,113,174,131,53,70,166,93,159,91,121,127,561,349,,441,366,369,786,564,,,,Number of pupils eligible for FSM at any time during the past 6 years
70,CENSUS_21,PNUMFSMEVER,19.9%,64.0%,41.7%,42.2%,28.8%,10.7%,27.0%,59.6%,44.1%,44.3%,,52.6%,50.9%,,45.8%,44.7%,20.3%,37.9%,60.3%,23.4%,19.6%,46.4%,30.7%,41.6%,59.6%,59.8%,23.3%,32.5%,,54.3%,34.5%,48.3%,28.4%,23.9%,25.3%,37.2%,46.5%,33.0%,22.3%,27.6%,29.7%,36.5%,53.0%,,41.9%,37.7%,45.1%,48.9%,57.7%,,,,Percentage of pupils eligible for FSM at any time during the past 6 years
71,CENSUS_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
72,SWF_19,LA,330,330,330,330,330,333,330,330,330,330,,330,330,,330,330,330,333,330,333,333,330,330,330,330,330,330,330,330,,330,330,333,330,330,330,330,333,333,333,333,333,330,330,,333,330,330,330,,,,Local Authority Number
73,SWF_19,URN,103210,143089,138303,139637,143433,103947,103209,134281,138888,103240,,143437,103451,,139183,103423,103391,103895,103368,103982,103896,140890,138694,103443,142353,103243,103334,103228,133729,,103337,103279,103986,103430,103229,103223,103208,103948,103949,103934,139565,104018,103486,103537,,139043,143438,143435,142388,,,,Unique Reference Number
74,SWF_19,NTEA,20,20,18,19,12,16,30,19,41,22,,49,25,,25,22,23,13,22,28,11,22,24,12,12,23,10,21,26,,16,23,20,16,15,29,11,23,21,12,21,104,50,76,,70,57,110,65,,"260,096","219,269",Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
75,SWF_19,NTEAAS,10,21,17,20,8,18,9,13,29,20,,44,15,,15,17,19,5,18,49,15,22,19,8,7,23,6,11,16,,28,11,22,5,14,20,14,17,29,9,31,31,18,3,,48,9,28,10,,"274,954","57,981",Total Number of Teaching Assistants (Headcount)
76,SWF_19,NNONTEA,4,6,6,9,5,5,6,5,11,8,,13,4,,5,6,4,3,5,7,5,6,5,3,5,6,2,3,3,,6,10,5,4,4,4,4,9,8,2,10,27,18,36,,27,13,44,26,,"91,158","84,503","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
77,SWF_19,NFTETEA,17.4,18.8,16.4,17.9,11.6,13.9,26.2,17.6,38.4,19.8,,41.1,21.8,,24.5,21.6,20.6,11.8,19.6,25.6,10.1,20.1,21.6,12,11,22.4,9.8,20.2,23.7,,14,20,18.8,11.8,12.7,21.9,9.6,21.8,18.9,11.7,19,101.2,48.8,72.7,,65.6,56.2,107.8,63.6,,"231,728","203,686",Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
78,SWF_19,NFTETEAAS,8.4,17.5,11.6,16.7,5.2,11.2,5.7,11.3,23.9,16.1,,33.8,11.5,,14.5,14.2,11.4,3.2,14.3,32,9.8,18.3,16.1,7.1,6,17.8,4.3,8,13.1,,18.8,9.4,16,3.2,10.8,15.1,11.3,14.7,19.6,6.6,24.1,29.7,15,2.1,,34.3,8.7,24.1,9.6,,"178,546","45,918",Total Number of Teaching Assistants (Full-time Equivalent)
79,SWF_19,NFTENONTEA,3.1,4.7,4.3,5.9,3.8,4.4,5.5,4.9,10.1,6.7,,10.5,3.7,,2.8,4.8,2.6,1.6,5,6.2,2.2,4.1,4.6,2.9,4.5,4.9,1.9,2.1,3,,3.8,7.7,4,2.3,3.4,3.3,3.4,7.1,4.5,1.8,6.5,24.5,15.3,32.7,,24.1,12.4,39.6,24.6,,61494.7,"71,228","Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
80,SWF_19,RATPUPTEA,22.1,21.3,20.2,25.3,18.6,21.8,18.3,23.1,16.6,20.9,,20.9,18.8,,17.4,18.3,21.6,19.8,21.1,22.9,19.4,21.9,20.6,19.2,19.7,16.7,21.6,18.3,22.0,,22.5,18.3,24.0,19.9,21.9,19.5,23.1,22.2,21.1,20.5,22.8,14.7,12.2,13.9,,14.3,12.7,16.1,16.7,,20.7,16.3,Pupil:Teacher Ratio
81,SWF_19,SALARY,"£37,065","£38,911","£34,862","£36,841","£42,011","£39,424","£35,276","£36,321","£38,606","£40,371",,"£39,706","£37,599",,"£37,116","£39,976","£39,984","£40,109","£39,221","£37,044","£38,130","£38,184","£40,442","£37,699","£41,282","£37,123","£37,958","£40,318","£37,993",,"£41,573","£35,381","£39,145","£39,927","£40,593","£41,420","£41,167","£40,497","£37,980","£38,077","£45,380","£40,484","£38,233","£39,839",,"£39,283","£36,642","£39,097","£39,908",,"£38,369","£40,571",Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
82,SWF_21,LA,330,330,330,330,330,333,330,330,330,330,,,330,,330,330,330,333,330,333,333,330,330,330,330,330,330,330,,330,330,330,333,330,330,330,330,333,333,333,333,333,330,,,333,330,330,330,,,,Local Authority Number
83,SWF_21,URN,103210,143089,138303,139637,143433,103947,103209,134281,138888,103240,,,103451,,139183,103423,103391,103895,103368,103982,103896,140890,138694,103443,142353,103243,103334,103228,,146722,103337,103279,103986,103430,103229,103223,103208,103948,103949,103934,139565,104018,103486,,,139043,143438,143435,142388,,,,Unique Reference Number
84,SWF_21,NTEA,17,20,19,24,13,17,28,21,43,26,,,22,,18,21,23,13,19,28,10,20,22,11,11,25,12,18,,29,16,23,21,14,16,29,12,21,18,19,23,105,57,,,66,62,122,76,,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Headcount)
85,SWF_21,NTEAAS,10,13,17,19,9,19,10,12,29,14,,,14,,11,17,17,6,15,46,15,17,13,8,6,21,6,10,,16,24,13,20,4,15,17,9,19,34,17,26,20,14,,,42,5,19,9,,,,Total Number of Teaching Assistants (Headcount)
86,SWF_21,NNONTEA,4,5,3,9,4,6,6,5,8,6,,,4,,5,5,4,3,6,6,5,7,5,3,5,6,3,3,,4,5,10,4,5,4,4,4,7,7,8,9,25,19,,,24,14,50,35,,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Headcount)"
87,SWF_21,NFTETEA,16.4,19.4,17.2,21.6,12.3,15.5,25.8,20.2,40.5,23.6,,,18.9,,17.7,21.0,20.3,11.5,17.6,26.1,9.0,18.4,21.2,10.6,10.6,23.4,10.9,17.4,,26.8,14.4,19.0,20.4,10.1,12.9,22.0,11.0,20.0,15.6,18.2,21.4,101.0,55.0,,,61.2,61.4,117.1,71.5,,,,Total Number of Classroom Teachers and Teachers in the Leadership Group (Full-time Equivalent)
88,SWF_21,NFTETEAAS,7.8,10.7,11.6,15.4,6.9,12.4,7.0,10.6,21.5,11.7,,,10.1,,10.9,14.1,10.8,3.7,12.0,29.1,9.8,13.7,10.9,7.1,4.9,18.5,4.2,6.8,,12.8,15.1,11.4,17.5,2.7,11.1,12.8,7.3,16.5,23.9,12.1,20.7,19.0,11.4,,,30.3,5.0,15.2,8.7,,,,Total Number of Teaching Assistants (Full-time Equivalent)
89,SWF_21,NFTENONTEA,3.5,4.3,2.7,6.2,2.9,5.0,5.5,5.0,7.3,5.8,,,3.3,,4.2,3.7,2.8,1.8,6.0,5.3,2.2,5.1,4.6,2.9,4.9,5.5,2.9,2.1,,4.0,3.3,7.1,3.4,3.3,3.4,3.3,3.5,5.8,4.0,5.3,6.1,23.1,16.5,,,21.3,13.9,45.0,34.0,,,,"Total Number of Non Classroom-Based School Support Staff, Excluding Auxiliary Staff (Full-time Equivalent)"
90,SWF_21,RATPUPTEA,23.3,17.9,18.4,21.4,16.9,22.9,18.6,17.7,16.4,16.1,,,19.9,,22.5,18.7,21.3,20.4,20.8,23.4,21.7,23.5,20.8,21.3,19.6,15.4,18.9,21.2,,22.1,21.2,18.9,21.3,21.4,21.5,19.6,18.1,24.1,24.9,23.4,19.5,15.2,12,,,15.9,13.3,13.7,13.7,,,,Pupil:Teacher Ratio
91,SWF_21,SALARY,"£40,114","£39,868","£36,653","£40,918","£41,988","£40,607","£39,275","£37,231","£39,899","£40,159",,,"£40,595",,"£39,750","£41,770","£41,273","£42,170","£41,186","£38,267","£41,658","£41,656","£39,532","£41,528","£41,788","£41,446","£39,050","£42,506",,"£40,695","£43,732","£38,451","£41,662","£42,603","£43,145","£43,190","£40,784","£43,684","£38,243","£39,380","£45,331","£42,765","£41,645",,,"£42,735","£36,282","£44,123","£43,141",,,,Mean Gross FTE Salary of All Teachers (Classroom Teachers and Those in the Leadership Group) (£s)
92,SWF_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
93,CFR_19,URN,103210,,,,,103947,103209,134281,,103240,,,103451,,,103423,103391,103895,103368,103982,103896,,,103443,,103243,103334,103228,133729,,103337,103279,103986,103430,103229,103223,103208,103948,103949,103934,,104018,103486,103537,,,,,,,,,Unique Reference Number
94,CFR_19,LONDON/NON-LONDON,Non-London,,,,,Non-London,Non-London,Non-London,,Non-London,,,Non-London,,,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,,,Non-London,,Non-London,Non-London,Non-London,Non-London,,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,Non-London,,Non-London,Non-London,Non-London,,,,,,,,,London/Non-London
95,CFR_19,MEDIAN,Primary,,,,,Primary,Primary,Primary,,Primary,,,Primary,,,Primary,Primary,Primary,Primary,Primary,Primary,,,Primary,,Primary,Primary,Primary,Primary,,Primary,Primary,Primary,Primary,Primary,Primary,Primary,Primary,Primary,Primary,,Secondary with KS4,Secondary with KS4,Secondary with KS4,,,,,,,Primary,Secondary with KS4,Group to compare
96,CFR_19,PUPILS,385 ,,,,,303 ,480 ,406 ,,413 ,,,409 ,,,394 ,445 ,235 ,415 ,586 ,196 ,,,230 ,,374 ,212 ,369 ,520 ,,315 ,365 ,452 ,235 ,278 ,428 ,222 ,485 ,400 ,239 ,,"1,482 ",595 ,"1,008 ",,,,,,,,,Number of pupils (FTE)
97,CFR_19,FSM,14,,,,,4,12,38,,38,,,32,,,38,14,23,57,11,12,,,22,,40,12,16,41,,34,30,23,17,19,24,37,19,15,16,,21,28,27,,,,,,,,,Percentage of pupils eligible for Free School Meals (FSM)
98,CFR_19,FSMBAND,Low,,,,,Low,Low,High,,High,,,Medium,,,High,Low,Medium,High,Low,Low,,,Medium,,High,Low,Low,High,,Medium,Medium,Medium,Low,Low,Medium,High,Low,Low,Low,,Medium,Medium,Medium,,,,,,,,,Free school meals eligibility band
99,CFR_19,GRANTFUNDING,"4,813",,,,,"6,319","4,327","6,100",,"5,889",,,"5,280",,,"5,599","5,054","4,914","5,693","5,343","5,379",,,"5,160",,"6,578","4,925","5,095","5,057",,"5,957","5,091","5,021","4,992","5,848","5,211","5,607","4,701","5,145","4,962",,"5,911","7,290","6,208",,,,,,,"4,848","5,724",Grant funding (&pound; per pupil)
100,CFR_19,SELFGENERATEDINCOME,"1,780",,,,,"1,153",168,191,,141,,,"1,345",,,102,325,140,127,254,195,,,138,,181,825,461,166,,343,579,40,489,250,129,145,151,304,39,,68,428,110,,,,,,,188,173,Self generated income (&pound; per pupil)
101,CFR_19,TOTALINCOME,"6,593",,,,,"7,472","4,495","6,291",,"6,031",,,"6,625",,,"5,701","5,379","5,054","5,819","5,597","5,574",,,"5,298",,"6,758","5,750","5,556","5,223",,"6,300","5,669","5,061","5,481","6,098","5,340","5,752","4,852","5,449","5,001",,"5,979","7,718","6,318",,,,,,,"5,081","5,928",Total income (&pound; per pupil)
102,CFR_19,TEACHINGSTAFF,"2,878",,,,,"2,283","2,468","1,846",,"2,351",,,"2,096",,,"2,698","2,228","2,699","2,383","2,045","2,138",,,"2,550",,"2,619","2,315","2,484","2,046",,"2,375","2,326","2,014","2,307","2,389","2,570","2,243","2,142","1,943","2,144",,"3,262","3,663","3,521",,,,,,,"2,284","3,222",Teaching staff (&pound; per pupil)
103,CFR_19,SUPPLYTEACHERS,285,,,,,123,29,850,,293,,,482,,,0,53,81,227,30,211,,,0,,100,339,178,97,,90,65,183,162,324,92,78,174,105,74,,288,1,59,,,,,,,105,109,Supply Staff (&pound; per pupil)
104,CFR_19,EDUCATIONSUPPORTSTAFF,"1,131",,,,,"1,803",325,803,,972,,,860,,,"1,241",760,361,918,"1,390","1,294",,,968,,"1,293",470,532,691,,"1,681","1,072","1,087",400,"1,213",801,"1,492","1,068","1,406",816,,891,397,166,,,,,,,889,594,Education support staff (&pound; per pupil)
105,CFR_19,PREMISES,292,,,,,497,451,679,,254,,,304,,,293,24,268,204,452,397,,,505,,18,781,407,321,,317,394,333,225,263,215,389,246,330,412,,689,259,320,,,,,,,309,356,Premises (incl. Staff costs) (&pound; per pupil)
106,CFR_19,BACKOFFICE,"1,107",,,,,611,703,720,,"1,030",,,"2,277",,,818,"1,412",609,948,472,609,,,553,,"1,234",843,683,940,,894,510,296,"1,250",746,773,984,444,534,446,,291,"1,956","1,463",,,,,,,413,565,Back office (incl. Staff costs) (&pound; per pupil)
107,CFR_19,CATERING,150,,,,,227,26,259,,325,,,312,,,267,265,58,275,176,343,,,337,,184,335,319,301,,11,138,201,450,344,355,84,50,309,61,,65,246,114,,,,,,,190,51,Catering (incl. Staff costs) (&pound; per pupil)
108,CFR_19,OTHERSTAFF,393,,,,,429,176,126,,208,,,210,,,91,283,105,209,265,184,,,82,,196,141,149,144,,263,135,166,147,249,234,170,95,255,208,,35,181,81,,,,,,,186,104,Other staff costs (&pound; per pupil)
109,CFR_19,ENERGY,148,,,,,111,67,74,,58,,,61,,,6,93,68,60,96,66,,,64,,0,69,94,75,,132,65,42,67,113,53,100,46,66,58,,24,110,96,,,,,,,62,96,Energy (&pound; per pupil)
110,CFR_19,LEARNINGRESOURCES,113,,,,,315,214,223,,317,,,300,,,109,136,355,164,167,174,,,231,,176,316,403,100,,116,402,331,229,281,122,219,246,147,275,,153,324,235,,,,,,,205,220,Learning resources (not ICT equipment) (&pound; per pupil)
111,CFR_19,ICT,15,,,,,59,116,108,,15,,,45,,,45,0,39,2,57,5,,,79,,36,32,98,21,,0,28,31,7,117,0,2,25,55,72,,224,71,78,,,,,,,51,69,ICT learning resources (&pound; per pupil)
112,CFR_19,BOUGHTINPROFESSIONALSERVICES,63,,,,,456,0,2,,5,,,0,,,81,10,0,8,64,17,,,68,,42,6,143,73,,4,216,146,2,3,3,5,14,100,144,,20,3,1,,,,,,,93,67,Bought in professional services - curriculum (&pound; per pupil)
113,CFR_19,OTHER,69,,,,,99,77,51,,81,,,7,,,44,85,200,61,-21,77,,,36,,95,83,68,59,,46,59,128,45,77,71,84,80,-269,92,,140,234,198,,,,,,,100,213,Other expenditure (&pound; per pupil)
114,CFR_19,TOTALEXPENDITURE,"6,643",,,,,"7,012","4,651","5,742",,"5,909",,,"6,955",,,"5,692","5,348","4,842","5,460","5,193","5,515",,,"5,471",,"5,992","5,728","5,559","4,867",,"5,928","5,411","4,958","5,290","6,120","5,290","5,851","4,632","4,979","4,800",,"6,083","7,445","6,331",,,,,,,"5,034","5,891",Total expenditure (&pound; per pupil)
115,CFR_19,T1415CAT1,"3,136",,,,,"4,321","2,354","3,422",,"3,093",,,"3,045",,,"4,011","2,748","2,997","3,011","3,632","3,149",,,"2,874",,"3,849","2,672",SUPP,"2,913",,"3,471","3,060","3,056","2,700","3,146","3,012","3,177","2,982","2,828",SUPP,,"3,524","4,227","3,095",,,,,,,"2,927","3,825",
116,CFR_19,T1415CAT2,117,,,,,137,24,347,,81,,,292,,,13,107,74,80,3,329,,,124,,193,160,70,13,,158,261,297,155,352,139,186,181,164,234,,294,8,491,,,,,,,133,124,
117,CFR_19,T1415CAT3,618,,,,,621,929,876,,714,,,600,,,791,"1,405",556,"1,348",419,675,,,634,,811,800,660,803,,797,583,304,"1,335",814,970,941,381,457,337,,420,"2,061","1,293",,,,,,,366,544,
118,CFR_19,T1415CAT4,155,,,,,94,80,84,,60,,,57,,,39,112,43,52,77,81,,,58,,160,56,120,86,,120,88,49,82,42,38,77,55,86,78,,14,92,48,,,,,,,61,99,
119,CFR_19,T1415CAT5,"4,973",,,,,"6,523","4,014","5,684",,"5,204",,,"4,882",,,"5,565","5,192","4,861","5,407","5,346","5,470",,,"4,936",,"6,318","4,539","5,082","4,945",,"5,447","5,428","4,672","5,414","5,588","4,944","5,195","4,495","4,700","4,746",,"5,769","7,462","5,983",,,,,,,"4,645","5,944",
120,CFR_19,T1415SUM,947,,,,,1350,627,955,,1256,,,888,,,711,820,1191,916,1215,1236,,,1246,,1305,851,4232,1130,,901,1436,966,1142,1234,785,814,896,1165,4097,,1517,1074,1056,,,,,,,,,
121,CFR_19,T1415CAT1LA,"2,834",,,,,"2,957","2,834","3,202",,"3,202",,,"3,004",,,"3,202","2,834","2,957","3,202","2,957","3,060",,,"3,004",,"3,202","2,834","2,834","3,004",,"3,004","3,004","3,060","3,004","2,834","3,004","3,202","3,060","2,957","2,957",,"3,813","3,919","3,874",,,,,,,,,
122,CFR_19,T1415CAT2LA,118,,,,,95,118,184,,184,,,194,,,184,118,95,184,95,171,,,194,,184,118,118,194,,194,194,171,194,118,194,184,171,95,95,,157,126,106,,,,,,,,,
123,CFR_19,T1415CAT3LA,308,,,,,339,308,358,,358,,,323,,,358,308,339,358,339,377,,,323,,358,308,308,323,,323,323,377,323,308,323,358,377,339,339,,481,387,461,,,,,,,,,
124,CFR_19,T1415CAT4LA,56,,,,,64,56,72,,72,,,58,,,72,56,64,72,64,70,,,58,,72,56,56,58,,58,58,70,58,56,58,72,70,64,64,,28,110,89,,,,,,,,,
125,CFR_19,T1415CAT5LA,"4,747",,,,,"4,712","4,747","5,758",,"5,758",,,"5,210",,,"5,758","4,747","4,712","5,758","4,712","5,113",,,"5,210",,"5,758","4,747","4,747","5,210",,"5,210","5,210","5,113","5,210","4,747","5,210","5,758","5,113","4,712","4,712",,"6,127","7,456","6,538",,,,,,,,,
126,CFR_19,T1516CAT1,"3,198",,,,,"4,286","2,348","2,844",,"3,134",,,"2,913",,,"3,665","2,862","3,233","2,841","3,666","3,198",,,"3,106",,"3,495","2,801","3,134","2,987",,"3,870","2,951","3,452","2,708","3,409","2,969","3,455","2,860","2,957","2,869",,"3,572","4,286","3,395",,,,,,,"2,976","3,857",
127,CFR_19,T1516CAT2,230,,,,,103,54,499,,245,,,286,,,36,124,54,181,-30,334,,,127,,46,277,77,45,,199,200,216,140,352,102,149,242,305,158,,281,4,274,,,,,,,126,122,
128,CFR_19,T1516CAT3,608,,,,,581,639,856,,517,,,859,,,600,881,567,934,479,675,,,"1,107",,982,619,762,795,,642,659,352,"1,357","1,321",703,835,460,427,362,,410,"1,821","1,500",,,,,,,377,545,
129,CFR_19,T1516CAT4,134,,,,,88,21,62,,52,,,44,,,43,67,42,37,83,103,,,42,,51,46,105,57,,115,75,53,71,128,28,49,48,83,69,,11,73,58,,,,,,,58,97,
130,CFR_19,T1516CAT5,"5,177",,,,,"6,672","3,886","5,237",,"5,405",,,"5,106",,,"5,532","4,906","4,669","4,992","5,397","5,699",,,"5,896",,"5,766","4,620","5,150","4,959",,"6,029","4,991","5,633","5,368","6,725","4,770","5,462","4,784","4,976","4,475",,"5,202","7,363","6,328",,,,,,,"4,777","6,013",
131,CFR_19,T1516SUM,1007,,,,,1614,824,976,,1457,,,1004,,,1188,972,773,999,1199,1389,,,1514,,1192,877,1072,1075,,1203,1106,1560,1092,1515,968,974,1174,1204,1017,,928,1179,1101,,,,,,,,,
132,CFR_19,T1516CAT1LA,"2,902",,,,,"3,085","2,902","3,347",,"3,347",,,"3,120",,,"3,347","2,902","3,085","3,347","3,085","3,148",,,"3,120",,"3,347","2,902","2,902","3,347",,"3,120","3,120","3,148","3,120","2,902","3,120","3,347","3,085","3,085","3,085",,"3,855","3,792","3,909",,,,,,,,,
133,CFR_19,T1516CAT2LA,122,,,,,103,122,173,,173,,,200,,,173,122,103,173,103,157,,,200,,173,122,122,173,,200,200,157,200,122,200,173,103,103,103,,205,154,115,,,,,,,,,
134,CFR_19,T1516CAT3LA,685,,,,,402,685,911,,911,,,859,,,911,685,402,911,402,413,,,859,,911,685,685,911,,859,859,413,859,685,859,911,402,402,402,,430,"1,825","1,181",,,,,,,,,
135,CFR_19,T1516CAT4LA,52,,,,,60,52,60,,60,,,59,,,60,52,60,60,60,62,,,59,,60,52,52,60,,59,59,62,59,52,59,60,60,60,60,,34,96,94,,,,,,,,,
136,CFR_19,T1516CAT5LA,"4,789",,,,,"4,784","4,789","5,854",,"5,854",,,"5,323",,,"5,854","4,789","4,784","5,854","4,784","5,117",,,"5,323",,"5,854","4,789","4,789","5,854",,"5,323","5,323","5,117","5,323","4,789","5,323","5,854","4,784","4,784","4,784",,"5,961","7,198","6,391",,,,,,,,,
137,CFR_19,T1617CAT1,2912,,,,,4616,2404,2990,,3282,,,2899,,,3676,2815,3254,3200,3676,2933,,,3248,,4221,3003,3229,3242,,3728,3666,3246,2678,3371,3042,3525,3093,3036,2935,,3873,4402,3522,,,,,,,"3,042","3,919",
138,CFR_19,T1617CAT2,395,,,,,131,65,414,,315,,,360,,,63,100,66,231,86,313,,,0,,223,272,218,62,,153,357,317,103,293,147,146,335,161,70,,281,19,232,,,,,,,117,119,
139,CFR_19,T1617CAT3,630,,,,,668,703,991,,960,,,824,,,588,479,458,801,370,608,,,610,,833,722,644,993,,797,647,276,1301,963,736,752,500,469,380,,426,2000,1321,,,,,,,384,545,
140,CFR_19,T1617CAT4,96,,,,,126,50,83,,72,,,56,,,37,102,36,54,95,79,,,61,,57,72,118,85,,107,75,49,64,79,41,95,43,74,86,,12,94,120,,,,,,,55,94,
141,CFR_19,T1617CAT5,5336,,,,,7410,4560,5710,,6197,,,5150,,,5606,4776,4779,5567,5666,5126,,,5207,,6856,4971,5510,5415,,5812,6075,5064,5470,5773,5062,5674,5039,4983,4678,,5604,7869,6173,,,,,,,"4,814","6,017",
